Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,214.000000,214.809998,212.009995,213.339996,204.794144,2857300
2017-10-16,213.500000,214.550003,209.710007,213.860001,205.293335,4037000
2017-10-23,213.860001,214.809998,202.029999,204.990005,196.778656,6918300
2017-10-30,204.820007,206.929993,200.539993,204.059998,195.885880,6065400
2017-11-06,204.000000,204.020004,198.080002,199.770004,191.767746,4792600
2017-11-13,199.130005,201.750000,197.750000,197.770004,189.847839,4661200
2017-11-20,198.009995,200.759995,197.710007,200.000000,191.988525,3807900
2017-11-27,200.000000,207.850006,199.759995,202.639999,194.522766,6134100
2017-12-04,203.750000,204.610001,198.869995,201.070007,193.015686,6469900
2017-12-11,201.199997,201.330002,195.690002,198.839996,190.875000,7301800
2017-12-18,199.160004,203.449997,196.750000,202.639999,194.522766,6197600
2017-12-25,202.850006,204.639999,201.179993,203.449997,195.300308,2637400
2018-01-01,203.539993,206.250000,199.500000,204.699997,196.500244,6476500
2018-01-08,204.850006,211.750000,204.250000,210.589996,202.154312,6430300
2018-01-15,211.009995,211.619995,206.000000,209.100006,200.723999,5830400
2018-01-22,209.080002,227.710007,201.399994,226.240005,218.055832,13564000
2018-01-29,226.500000,229.539993,220.839996,221.720001,213.699326,8319200
2018-02-05,220.440002,222.350006,203.899994,212.100006,204.427338,11891800
2018-02-12,214.169998,226.000000,207.500000,224.190002,216.079987,12294600
2018-02-19,223.000000,224.889999,219.759995,221.000000,213.005402,4294100
2018-02-26,222.970001,227.779999,217.649994,223.339996,215.260742,7625600
2018-03-05,220.639999,230.000000,219.300003,229.949997,221.631622,6904900
2018-03-12,229.500000,229.949997,220.589996,222.740005,214.682449,6239200
2018-03-19,222.649994,226.899994,217.830002,218.809998,210.894608,5213000
2018-03-26,221.929993,225.779999,216.699997,220.899994,212.908981,6122000
2018-04-02,220.509995,222.029999,213.770004,215.740005,207.935669,9191700
2018-04-09,217.009995,219.820007,213.910004,218.410004,210.509064,6305800
2018-04-16,219.729996,227.699997,218.339996,223.110001,215.967529,6302600
2018-04-23,222.919998,229.740005,203.279999,203.710007,197.188599,13952100
2018-04-30,203.789993,205.250000,191.000000,195.070007,188.825211,10956000
2018-05-07,195.970001,204.470001,195.000000,203.919998,197.391861,7575700
2018-05-14,203.679993,204.440002,200.080002,202.520004,196.036697,6769100
2018-05-21,204.139999,208.880005,202.380005,208.119995,201.457413,6087500
2018-05-28,206.339996,206.789993,200.089996,203.470001,196.956284,5725900
2018-06-04,203.910004,204.660004,199.050003,202.580002,196.094772,6560500
2018-06-11,202.679993,204.110001,193.330002,195.800003,189.531830,10543600
2018-06-18,194.729996,196.500000,187.309998,189.380005,183.317337,7943500
2018-06-25,188.259995,190.720001,184.210007,186.410004,180.442429,7137800
2018-07-02,185.190002,193.350006,184.649994,188.839996,182.794632,5784100
2018-07-09,189.210007,195.070007,188.699997,192.740005,187.488983,6774500
2018-07-16,193.139999,196.130005,190.460007,195.279999,189.959778,5948700
2018-07-23,195.279999,204.059998,192.779999,198.649994,193.237976,9424200
2018-07-30,198.649994,200.350006,191.850006,194.089996,188.802200,9583100
2018-08-06,193.679993,196.440002,190.660004,191.809998,186.584305,6118300
2018-08-13,191.929993,194.169998,190.479996,193.679993,188.403366,4521200
2018-08-20,194.250000,195.619995,191.369995,192.589996,187.343063,4230700
2018-08-27,193.000000,196.399994,191.350006,193.399994,188.130997,4925900
2018-09-03,192.479996,195.940002,191.399994,194.710007,189.405319,3643200
2018-09-10,195.190002,200.630005,194.699997,200.509995,195.047287,4878100
2018-09-17,200.630005,206.380005,200.339996,204.660004,199.084244,7299100
2018-09-24,204.300003,204.990005,201.089996,204.720001,199.142593,5751200
2018-10-01,206.000000,207.720001,203.809998,206.320007,200.699005,5617400
2018-10-08,206.029999,207.470001,189.419998,191.850006,187.470749,7485400
2018-10-15,192.059998,196.039993,190.000000,190.259995,185.917007,5157000
2018-10-22,190.910004,191.759995,167.270004,169.860001,165.982681,14072000
2018-10-29,170.720001,181.820007,164.759995,176.979996,172.940155,12571900
2018-11-05,177.539993,185.809998,176.880005,184.500000,180.288513,8534300
2018-11-12,184.960007,185.520004,177.500000,183.059998,178.881363,7027200
2018-11-19,183.160004,183.160004,175.160004,178.259995,174.190933,4093700
2018-11-26,179.520004,185.039993,176.500000,184.889999,180.669601,7954900
2018-12-03,187.059998,187.470001,165.300003,167.380005,163.559311,7420800
2018-12-10,169.190002,177.679993,168.539993,168.970001,165.112991,12539500
2018-12-17,168.589996,168.839996,149.770004,150.490005,147.054840,13041300
2018-12-24,148.759995,157.360001,143.869995,155.320007,151.774597,6928700
2018-12-31,156.410004,157.830002,152.440002,157.770004,154.168655,5775400
2019-01-07,157.630005,163.850006,155.929993,163.809998,160.070786,6252300
2019-01-14,162.300003,170.130005,161.750000,168.580002,164.731918,7007800
2019-01-21,167.649994,172.899994,165.559998,171.220001,168.268188,5019700
2019-01-28,169.679993,176.160004,165.020004,169.029999,166.115936,10811400
2019-02-04,169.380005,174.949997,169.220001,172.119995,169.152664,8222200
2019-02-11,172.470001,175.399994,170.679993,175.240005,172.218887,5582600
2019-02-18,175.000000,175.470001,170.889999,172.539993,169.565414,4309100
2019-02-25,174.039993,174.360001,168.229996,169.279999,166.361633,6739500
2019-03-04,170.399994,170.399994,163.929993,166.139999,163.275772,7166900
2019-03-11,165.119995,173.100006,164.679993,169.789993,166.862823,9374300
2019-03-18,169.770004,173.479996,165.710007,165.850006,162.990768,5423800
2019-03-25,166.279999,169.429993,165.429993,169.279999,166.361633,4664800
2019-04-01,170.250000,172.770004,166.750000,171.119995,168.169891,6210300
2019-04-08,170.520004,175.490005,167.610001,174.929993,171.914215,5789900
2019-04-15,174.369995,177.000000,171.500000,176.850006,174.854156,4869900
2019-04-22,175.869995,193.110001,175.270004,178.070007,176.060394,9153600
2019-04-29,178.000000,179.979996,172.800003,176.690002,174.695969,6673100
2019-05-06,173.600006,175.710007,167.169998,173.080002,171.126694,7920300
2019-05-13,170.539993,171.020004,165.649994,166.369995,164.492432,5030200
2019-05-20,168.110001,172.020004,161.460007,164.029999,162.178833,6872300
2019-05-27,164.279999,165.440002,160.210007,160.820007,159.005066,5959400
2019-06-03,161.369995,174.380005,161.029999,173.970001,172.006653,5636700
2019-06-10,175.800003,176.440002,168.529999,171.250000,169.317352,4345900
2019-06-17,171.690002,178.410004,170.380005,177.429993,175.427597,5431800
2019-06-24,176.710007,182.080002,176.330002,181.820007,179.768082,6491200
2019-07-01,183.330002,184.350006,180.270004,182.279999,180.222870,3084900
2019-07-08,181.220001,185.949997,179.119995,185.839996,184.769363,4623800
2019-07-15,185.839996,187.479996,180.589996,183.850006,182.790833,6716900
2019-07-22,183.830002,189.899994,183.119995,189.729996,188.636948,6072900
2019-07-29,189.720001,190.160004,181.139999,181.970001,180.921661,5265900
2019-08-05,179.970001,185.130005,175.029999,184.100006,183.039383,4585600
2019-08-12,183.190002,186.389999,179.699997,184.350006,183.287949,5581900
2019-08-19,186.529999,189.309998,182.470001,183.550003,182.492554,4964800
2019-08-26,185.229996,192.220001,182.130005,191.270004,190.168076,4239300
2019-09-02,190.039993,193.759995,187.169998,192.669998,191.560013,3306900
2019-09-09,192.839996,193.000000,185.399994,189.960007,188.865631,5653400
2019-09-16,190.839996,192.580002,186.070007,187.369995,186.290543,12897800
2019-09-23,186.250000,188.850006,182.539993,183.020004,181.965607,7209000
2019-09-30,183.360001,184.539993,172.009995,176.639999,175.622360,5747900
2019-10-07,176.229996,178.869995,174.820007,176.690002,175.672073,4065000
2019-10-10,175.500000,178.514999,175.500000,176.690002,176.690002,780377
