Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,161.089996,164.500000,160.899994,163.210007,156.269730,2222000
2017-10-16,163.100006,166.350006,159.300003,165.199997,158.175079,4333100
2017-10-23,165.309998,168.220001,164.479996,167.820007,160.683701,3115800
2017-10-30,167.020004,169.410004,166.279999,168.759995,161.583710,3094400
2017-11-06,168.199997,169.470001,156.679993,157.100006,150.419540,4565500
2017-11-13,156.259995,162.779999,155.770004,160.570007,153.741974,3073500
2017-11-20,160.729996,162.080002,158.949997,159.139999,152.372787,1477600
2017-11-27,159.080002,171.889999,158.559998,169.470001,162.263519,3661800
2017-12-04,172.070007,176.619995,168.309998,171.720001,165.150299,2746900
2017-12-11,171.610001,173.770004,168.550003,170.899994,164.361649,4075500
2017-12-18,172.470001,175.789993,171.779999,173.070007,166.448654,2793600
2017-12-25,173.259995,173.910004,170.660004,170.990005,164.448227,1311100
2018-01-01,172.479996,176.710007,170.000000,172.820007,166.208206,2039600
2018-01-08,172.639999,179.490005,171.729996,178.520004,171.690140,2359500
2018-01-15,179.179993,188.850006,175.600006,188.779999,181.557617,3579300
2018-01-22,188.000000,190.100006,186.779999,189.369995,182.125000,3311100
2018-01-29,189.750000,193.850006,187.869995,189.199997,181.961517,3037400
2018-02-05,187.429993,188.669998,175.309998,182.619995,175.633255,4841600
2018-02-12,183.419998,194.240005,181.199997,191.639999,184.308197,3750500
2018-02-19,190.600006,196.639999,188.789993,193.509995,186.106644,2821000
2018-02-26,194.479996,197.369995,185.800003,190.979996,183.673431,3399600
2018-03-05,188.940002,196.860001,186.149994,196.809998,190.035080,3152000
2018-03-12,196.279999,197.350006,189.350006,190.369995,183.816788,3286100
2018-03-19,190.389999,192.149994,177.009995,177.509995,171.399445,3401300
2018-03-26,180.889999,185.389999,178.949997,184.360001,178.013657,2770800
2018-04-02,183.399994,187.839996,177.279999,181.690002,175.435562,2771200
2018-04-09,182.889999,188.800003,182.160004,183.160004,176.854980,3664900
2018-04-16,185.000000,186.679993,175.899994,181.529999,175.281067,5376100
2018-04-23,181.869995,185.830002,179.929993,184.500000,178.148849,4338100
2018-04-30,184.979996,186.240005,176.139999,180.449997,174.238251,4751000
2018-05-07,180.690002,187.070007,178.589996,185.639999,179.249603,3052700
2018-05-14,186.119995,186.330002,181.830002,181.830002,175.570740,2366000
2018-05-21,182.350006,185.610001,177.429993,179.080002,172.915436,2591500
2018-05-28,176.869995,177.339996,170.580002,174.679993,168.666870,3321100
2018-06-04,175.410004,180.130005,172.830002,177.110001,171.802551,3395600
2018-06-11,177.610001,179.169998,172.130005,174.740005,169.503571,6061600
2018-06-18,172.779999,176.100006,172.270004,172.979996,167.796295,5797800
2018-06-25,172.639999,173.130005,167.320007,170.149994,165.051102,5123800
2018-07-02,169.369995,171.270004,167.800003,168.960007,163.896759,2625300
2018-07-09,170.000000,173.330002,165.529999,166.449997,161.461990,7909600
2018-07-16,166.850006,175.350006,166.080002,173.000000,167.815704,6762300
2018-07-23,172.960007,175.720001,170.820007,175.600006,170.337799,5537100
