Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,1.900000,1.900000,1.350000,1.850000,1.850000,17800
2018-01-15,1.500000,1.750000,1.500000,1.750000,1.750000,1100
2018-01-22,1.750000,2.100000,1.750000,2.050000,2.050000,15100
2018-01-29,2.050000,2.050000,2.050000,2.050000,2.050000,0
2018-02-05,2.050000,2.050000,2.050000,2.050000,2.050000,0
2018-02-12,2.050000,2.050000,1.350000,1.350000,1.350000,1000
2018-02-19,1.350000,2.050000,1.050000,1.050000,1.050000,2100
2018-02-26,2.000000,2.000000,1.000000,1.500000,1.500000,22400
2018-03-05,1.500000,1.850000,1.500000,1.850000,1.850000,100
2018-03-12,1.860000,1.860000,1.860000,1.860000,1.860000,400
2018-03-19,1.860000,1.860000,1.860000,1.860000,1.860000,0
2018-03-26,1.860000,1.860000,1.000000,1.000000,1.000000,300
2018-04-02,1.000000,1.000000,1.000000,1.000000,1.000000,0
2018-04-09,1.000000,1.500000,1.000000,1.500000,1.500000,1900
2018-04-16,1.010000,1.500000,1.010000,1.360000,1.360000,2600
2018-04-23,1.360000,1.650000,1.150000,1.150000,1.150000,2100
2018-04-30,1.160000,1.160000,0.550000,1.040000,1.040000,8800
2018-05-07,1.040000,1.450000,1.040000,1.450000,1.450000,300
2018-05-14,1.050000,1.990000,0.320000,1.990000,1.990000,2200
2018-05-21,1.990000,2.150000,1.300000,1.750000,1.750000,1500
2018-05-28,1.350000,1.350000,1.350000,1.350000,1.350000,400
2018-06-04,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-06-11,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-06-18,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-06-25,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-07-02,1.350000,1.370000,1.350000,1.350000,1.350000,2000
2018-07-09,1.350000,1.500000,1.350000,1.500000,1.500000,200
2018-07-16,1.500000,1.500000,1.500000,1.500000,1.500000,0
2018-07-23,1.500000,1.500000,1.500000,1.500000,1.500000,0
2018-07-30,1.500000,1.500000,1.040000,1.070000,1.070000,185600
2018-08-06,1.070000,1.090000,1.050000,1.050000,1.050000,21800
2018-08-13,1.050000,2.500000,1.050000,1.200000,1.200000,9200
2018-08-20,1.210000,1.700000,1.210000,1.700000,1.700000,8500
2018-08-27,1.700000,2.000000,1.700000,1.700000,1.700000,4800
2018-09-03,1.700000,2.000000,1.700000,2.000000,2.000000,100
2018-09-10,2.000000,2.000000,2.000000,2.000000,2.000000,400
2018-09-17,2.000000,2.050000,2.000000,2.000000,2.000000,2500
2018-09-24,2.000000,2.150000,2.000000,2.000000,2.000000,1000
2018-10-01,2.000000,2.000000,1.750000,1.750000,1.750000,500
2018-10-08,1.500000,2.150000,1.500000,1.500000,1.500000,2600
2018-10-15,2.200000,2.200000,1.550000,1.550000,1.550000,2300
2018-10-22,1.600000,1.600000,1.600000,1.600000,1.600000,200
2018-10-29,1.600000,1.600000,1.150000,1.150000,1.150000,1100
2018-11-05,1.150000,1.150000,1.150000,1.150000,1.150000,2300
2018-11-12,1.150000,1.400000,1.150000,1.400000,1.400000,500
2018-11-19,1.500000,1.525000,1.350000,1.350000,1.350000,5200
2018-11-26,1.350000,1.750000,1.350000,1.750000,1.750000,800
2018-12-03,1.700000,4.900000,1.200000,1.200000,1.200000,9400
2018-12-10,1.350000,1.350000,1.350000,1.350000,1.350000,1300
2018-12-17,1.350000,1.350000,1.350000,1.350000,1.350000,100
2018-12-24,1.650000,1.650000,1.650000,1.650000,1.650000,200
2018-12-31,1.650000,1.900000,1.650000,1.900000,1.900000,600
2019-01-07,2.500000,3.300000,1.700000,1.700000,1.700000,2800
2019-01-14,1.700000,1.700000,1.500000,1.500000,1.500000,500
2019-01-21,1.500000,1.500000,1.500000,1.500000,1.500000,200
2019-01-28,1.500000,2.050000,1.500000,1.500000,1.500000,700
2019-02-04,1.500000,1.500000,1.500000,1.500000,1.500000,0
2019-02-11,1.500000,1.500000,1.400000,1.400000,1.400000,200
2019-02-18,1.400000,1.400000,1.250000,1.250000,1.250000,500
2019-02-25,1.250000,1.250000,1.250000,1.250000,1.250000,400
2019-03-04,1.250000,1.250000,1.250000,1.250000,1.250000,100
2019-03-11,1.250000,1.250000,1.250000,1.250000,1.250000,100
2019-03-18,1.250000,1.250000,1.250000,1.250000,1.250000,200
2019-03-25,1.250000,1.250000,1.250000,1.250000,1.250000,0
2019-04-01,1.250000,1.900000,1.250000,1.900000,1.900000,300
2019-04-08,1.900000,1.900000,1.900000,1.900000,1.900000,400
2019-04-15,1.890000,1.890000,1.890000,1.890000,1.890000,1000
2019-04-22,1.890000,1.890000,1.890000,1.890000,1.890000,0
2019-04-29,1.900000,2.350000,1.900000,2.350000,2.350000,4100
2019-05-06,2.350000,2.400000,2.350000,2.400000,2.400000,1100
2019-05-13,2.400000,2.500000,2.400000,2.500000,2.500000,2600
2019-05-20,2.500000,2.600000,1.500000,1.500000,1.500000,1900
2019-05-27,1.500000,1.500000,1.500000,1.500000,1.500000,100
2019-06-03,1.850000,1.850000,1.550000,1.550000,1.550000,2800
2019-06-10,1.550000,1.550000,1.550000,1.550000,1.550000,100
2019-06-17,1.550000,1.580000,1.550000,1.580000,1.580000,300
2019-06-24,1.580000,1.580000,1.580000,1.580000,1.580000,1700
2019-07-01,1.580000,1.580000,1.580000,1.580000,1.580000,0
2019-07-08,1.580000,2.400000,1.580000,2.400000,2.400000,800
2019-07-15,2.250000,2.250000,2.250000,2.250000,2.250000,300
2019-07-22,2.250000,2.250000,2.250000,2.250000,2.250000,400
2019-07-29,2.250000,2.250000,2.250000,2.250000,2.250000,1200
2019-08-05,2.250000,2.250000,2.250000,2.250000,2.250000,300
2019-08-12,1.850000,2.350000,1.850000,2.350000,2.350000,1600
2019-08-19,2.350000,2.400000,2.350000,2.350000,2.350000,2600
2019-08-26,2.350000,2.350000,2.020000,2.020000,2.020000,200
2019-09-02,2.020000,2.020000,2.020000,2.020000,2.020000,0
2019-09-09,2.020000,2.020000,2.020000,2.020000,2.020000,0
2019-09-16,2.020000,2.020000,2.020000,2.020000,2.020000,100
2019-09-23,2.020000,2.020000,2.020000,2.020000,2.020000,100
2019-09-30,2.020000,2.020000,2.020000,2.020000,2.020000,0
2019-10-07,1.950000,1.950000,1.550000,1.750000,1.750000,1600
2019-10-10,1.750000,1.750000,1.750000,1.750000,1.750000,238
