Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.001200,0.001400,0.001200,0.001300,0.001300,1881536
2017-10-16,0.001100,0.001400,0.001100,0.001400,0.001400,4456868
2017-10-23,0.001400,0.001400,0.001200,0.001400,0.001400,2763705
2017-10-30,0.001400,0.002400,0.001100,0.001960,0.001960,17753846
2017-11-06,0.002000,0.003400,0.001700,0.002900,0.002900,90925734
2017-11-13,0.002950,0.003400,0.001800,0.002000,0.002000,41628484
2017-11-20,0.002200,0.002600,0.001600,0.002000,0.002000,10581097
2017-11-27,0.002000,0.002300,0.001400,0.001500,0.001500,65138278
2017-12-04,0.001500,0.002900,0.001200,0.002100,0.002100,47097474
2017-12-11,0.001950,0.002400,0.001400,0.001500,0.001500,16215460
2017-12-18,0.001700,0.001700,0.001400,0.001600,0.001600,4900065
2017-12-25,0.001600,0.002900,0.001400,0.002320,0.002320,28979655
2018-01-01,0.002320,0.002600,0.001400,0.001560,0.001560,36051659
2018-01-08,0.001600,0.002000,0.001500,0.002000,0.002000,28944720
2018-01-15,0.002000,0.002300,0.001600,0.001800,0.001800,4824086
2018-01-22,0.002000,0.002000,0.001400,0.001800,0.001800,3428931
2018-01-29,0.001800,0.001800,0.001400,0.001600,0.001600,8967205
2018-02-05,0.001100,0.001700,0.001100,0.001580,0.001580,7769500
2018-02-12,0.001500,0.001600,0.001200,0.001500,0.001500,2718539
2018-02-19,0.001500,0.001500,0.000890,0.000900,0.000900,30761300
2018-02-26,0.001000,0.001200,0.000900,0.001200,0.001200,12001751
2018-03-05,0.001200,0.001400,0.001200,0.001400,0.001400,4911001
2018-03-12,0.001000,0.001200,0.001000,0.001200,0.001200,1334465
2018-03-19,0.000900,0.001800,0.000900,0.001200,0.001200,36896337
2018-03-26,0.001300,0.001500,0.001290,0.001400,0.001400,6417685
2018-04-02,0.001350,0.001900,0.001000,0.001100,0.001100,19603814
2018-04-09,0.001200,0.002700,0.001000,0.002200,0.002200,69261047
2018-04-16,0.002200,0.002400,0.001600,0.002400,0.002400,15050997
2018-04-23,0.002400,0.004800,0.002200,0.004000,0.004000,85733716
2018-04-30,0.003900,0.011500,0.003900,0.011300,0.011300,123159687
2018-05-07,0.011150,0.012100,0.005800,0.006700,0.006700,72069264
2018-05-14,0.006000,0.007000,0.004200,0.004570,0.004570,42113493
2018-05-21,0.004500,0.005000,0.002800,0.003700,0.003700,37501224
2018-05-28,0.003700,0.005000,0.003100,0.003700,0.003700,19510320
2018-06-04,0.003700,0.004000,0.003100,0.003400,0.003400,17018830
2018-06-11,0.003900,0.004400,0.003100,0.003700,0.003700,28211006
2018-06-18,0.003200,0.003600,0.001900,0.002700,0.002700,35412605
2018-06-25,0.002800,0.003100,0.002100,0.002100,0.002100,7256958
2018-07-02,0.002600,0.003100,0.002100,0.002800,0.002800,3208476
2018-07-09,0.002900,0.003000,0.002000,0.002200,0.002200,9254265
2018-07-16,0.002450,0.002900,0.002000,0.002000,0.002000,14489903
2018-07-23,0.002000,0.002100,0.001700,0.001900,0.001900,4659567
2018-07-30,0.002000,0.002100,0.001100,0.001700,0.001700,43459749
2018-08-06,0.001700,0.002600,0.001200,0.001700,0.001700,14202082
2018-08-13,0.001900,0.003000,0.001600,0.001800,0.001800,2286232
2018-08-20,0.001800,0.002600,0.001600,0.002100,0.002100,2990587
2018-08-27,0.002200,0.002600,0.001900,0.002100,0.002100,2141690
2018-09-03,0.002100,0.002100,0.001800,0.001800,0.001800,1794564
2018-09-10,0.001800,0.002850,0.001800,0.002300,0.002300,11632338
2018-09-17,0.002400,0.003000,0.001500,0.002300,0.002300,8758545
2018-09-24,0.001800,0.002900,0.001500,0.002600,0.002600,10858569
2018-10-01,0.002100,0.002730,0.001900,0.002000,0.002000,7278147
2018-10-08,0.002000,0.002400,0.001700,0.002100,0.002100,5908228
2018-10-15,0.002400,0.005800,0.002000,0.003700,0.003700,119256604
2018-10-22,0.003850,0.004500,0.002900,0.003300,0.003300,27243892
2018-10-29,0.003300,0.004200,0.003280,0.003500,0.003500,12536779
2018-11-05,0.003700,0.004800,0.003400,0.004000,0.004000,16551596
2018-11-12,0.003600,0.004800,0.003500,0.004200,0.004200,9006750
2018-11-19,0.004200,0.004600,0.003400,0.003500,0.003500,1032283
2018-11-26,0.004000,0.004700,0.002700,0.003200,0.003200,15796332
2018-12-03,0.003300,0.003500,0.003000,0.003300,0.003300,8946446
2018-12-10,0.003900,0.005500,0.003300,0.005500,0.005500,24453475
2018-12-17,0.005400,0.005500,0.003000,0.003000,0.003000,21226351
2018-12-24,0.003150,0.005400,0.003000,0.004600,0.004600,20361190
2018-12-31,0.004700,0.005800,0.004200,0.005700,0.005700,11571981
2019-01-07,0.005800,0.008400,0.005200,0.007100,0.007100,36185105
2019-01-14,0.006500,0.006700,0.004600,0.005530,0.005530,9345688
2019-01-21,0.005530,0.005530,0.004100,0.004100,0.004100,3898619
2019-01-28,0.004700,0.005900,0.004100,0.005300,0.005300,8754059
2019-02-04,0.005300,0.055000,0.003600,0.004000,0.004000,7887007
2019-02-11,0.004000,0.004800,0.003580,0.004400,0.004400,4291743
2019-02-18,0.004400,0.004800,0.003600,0.004500,0.004500,2657547
2019-02-25,0.004600,0.004600,0.002200,0.004400,0.004400,4110280
2019-03-04,0.004500,0.004700,0.003000,0.004300,0.004300,8405943
2019-03-11,0.004300,0.004500,0.003100,0.003580,0.003580,8003105
2019-03-18,0.003300,0.004100,0.003100,0.003500,0.003500,4756176
2019-03-25,0.003500,0.004400,0.002300,0.004400,0.004400,7915263
