Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,1.100000,1.750000,1.100000,1.750000,1.750000,3000
2017-10-16,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-10-23,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-10-30,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-11-06,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-11-13,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-11-20,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-11-27,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-12-04,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-12-11,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-12-18,1.750000,1.750000,1.750000,1.750000,1.750000,0
2017-12-25,1.750000,1.750000,1.750000,1.750000,1.750000,0
2018-01-01,1.750000,1.750000,1.750000,1.750000,1.750000,26100
2018-01-08,1.750000,1.750000,1.280000,1.280000,1.280000,200
2018-01-15,1.280000,1.280000,1.280000,1.280000,1.280000,0
2018-01-22,1.600000,1.780000,1.600000,1.750000,1.750000,6700
2018-01-29,1.750000,1.750000,1.750000,1.750000,1.750000,100
2018-02-05,1.750000,1.750000,1.650000,1.650000,1.650000,800
2018-02-12,1.650000,1.730000,1.630000,1.730000,1.730000,600
2018-02-19,1.730000,1.730000,1.630000,1.630000,1.630000,10100
2018-02-26,1.630000,1.630000,1.630000,1.630000,1.630000,0
2018-03-05,1.630000,1.630000,1.600000,1.600000,1.600000,600
2018-03-12,1.600000,1.600000,1.600000,1.600000,1.600000,0
2018-03-19,1.600000,1.600000,1.600000,1.600000,1.600000,0
2018-03-26,1.610000,1.610000,1.610000,1.610000,1.610000,11300
2018-04-02,1.650000,1.730000,1.650000,1.730000,1.730000,1600
2018-04-09,1.730000,1.730000,1.730000,1.730000,1.730000,0
2018-04-16,1.730000,1.730000,1.450000,1.500000,1.500000,1600
2018-04-23,1.500000,1.500000,1.500000,1.500000,1.500000,0
2018-04-30,1.500000,1.500000,1.500000,1.500000,1.500000,0
2018-05-07,1.500000,1.500000,1.500000,1.500000,1.500000,400
2018-05-14,1.500000,1.500000,1.500000,1.500000,1.500000,0
2018-05-21,1.500000,1.500000,1.450000,1.450000,1.450000,5900
2018-05-28,1.450000,1.450000,1.400000,1.400000,1.400000,1000
2018-06-04,1.400000,1.420000,1.350000,1.370000,1.370000,3700
2018-06-11,1.370000,1.370000,1.350000,1.350000,1.350000,4100
2018-06-18,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-06-25,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-07-02,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-07-09,1.360000,1.360000,1.350000,1.350000,1.350000,6800
2018-07-16,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-07-23,1.330000,1.350000,1.330000,1.350000,1.350000,4400
2018-07-30,1.350000,1.350000,1.350000,1.350000,1.350000,5200
2018-08-06,1.350000,1.470000,1.350000,1.470000,1.470000,200
2018-08-13,1.470000,1.470000,1.350000,1.350000,1.350000,1700
2018-08-20,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-08-27,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-09-03,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-09-10,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-09-17,1.350000,1.350000,1.350000,1.350000,1.350000,0
2018-09-24,1.350000,1.380000,1.350000,1.380000,1.380000,1800
