Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,19.500000,20.350000,18.650000,19.049999,19.049999,88700
2017-10-16,19.150000,20.250000,18.299999,20.000000,20.000000,152500
2017-10-23,20.049999,20.600000,19.600000,20.150000,20.150000,187000
2017-10-30,20.100000,20.150000,19.549999,19.850000,19.850000,96900
2017-11-06,19.850000,20.200001,18.750000,19.049999,19.049999,212200
2017-11-13,18.879999,19.299999,16.600000,18.850000,18.850000,64800
2017-11-20,18.650000,20.250000,18.540001,20.000000,20.000000,65300
2017-11-27,20.000000,20.700001,18.750000,18.950001,18.950001,269400
2017-12-04,19.049999,19.100000,18.299999,18.700001,18.700001,162400
2017-12-11,18.700001,20.799999,17.900000,18.200001,18.200001,239300
2017-12-18,18.350000,19.250000,18.350000,19.049999,19.049999,191700
2017-12-25,19.100000,20.700001,19.100000,20.549999,20.549999,151800
2018-01-01,20.549999,21.450001,20.150000,21.350000,21.350000,148900
2018-01-08,21.250000,21.350000,20.000000,20.549999,20.549999,113600
2018-01-15,20.600000,21.000000,19.950001,20.900000,20.900000,180500
2018-01-22,21.000000,21.500000,20.299999,20.400000,20.400000,129300
2018-01-29,20.299999,20.400000,19.150000,19.450001,19.450001,130600
2018-02-05,19.350000,19.750000,16.360001,19.049999,19.049999,205800
2018-02-12,19.049999,19.850000,18.110001,18.450001,18.450001,78600
2018-02-19,18.400000,18.750000,16.700001,17.900000,17.900000,105600
2018-02-26,17.950001,19.299999,10.600000,11.100000,11.100000,1693200
2018-03-05,10.950000,12.050000,10.750000,12.000000,12.000000,1154400
2018-03-12,11.500000,13.050000,11.250000,12.150000,12.150000,652600
2018-03-19,12.050000,12.150000,10.650000,10.900000,10.900000,649500
2018-03-26,10.950000,11.050000,10.100000,10.350000,10.350000,511500
2018-04-02,10.300000,11.350000,9.900000,10.550000,10.550000,992300
2018-04-09,10.650000,10.900000,10.450000,10.730000,10.730000,415900
2018-04-16,10.750000,11.800000,10.500000,10.650000,10.650000,408400
2018-04-23,10.650000,10.950000,10.500000,10.700000,10.700000,246900
2018-04-30,10.650000,11.350000,10.200000,11.200000,11.200000,287800
2018-05-07,11.150000,11.450000,10.500000,10.950000,10.950000,425000
2018-05-14,10.950000,11.200000,10.700000,10.750000,10.750000,336600
2018-05-21,10.800000,10.850000,10.150000,10.500000,10.500000,445600
2018-05-28,10.500000,11.000000,10.200000,11.000000,11.000000,274800
