Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,66.002998,68.470001,65.689003,68.470001,68.470001,2300
2017-10-16,68.470001,68.470001,62.330002,62.330002,62.330002,1400
2017-10-23,62.330002,66.550003,62.330002,66.550003,66.550003,1400
2017-10-30,66.550003,75.849998,66.550003,74.120003,74.120003,6500
2017-11-06,81.809998,81.809998,81.809998,81.809998,81.809998,300
2017-11-13,81.809998,85.000000,76.400002,80.900002,80.900002,27100
2017-11-20,83.000000,111.000000,83.000000,104.309998,104.309998,16000
2017-11-27,105.949997,109.820000,90.589996,90.589996,90.589996,8400
2017-12-04,90.000000,90.000000,75.919998,83.099998,83.099998,8500
2017-12-11,88.000000,100.000000,86.379997,98.000000,98.000000,6400
2017-12-18,98.000000,105.998001,94.209999,98.000000,98.000000,20200
2017-12-25,97.900002,97.900002,92.010002,93.000000,93.000000,8900
2018-01-01,94.739998,98.800003,90.000000,91.080002,91.080002,21700
2018-01-08,92.000000,95.300003,90.559998,95.000000,95.000000,27100
2018-01-15,96.989998,99.000000,88.309998,94.000000,94.000000,6300
2018-01-22,94.000000,95.199997,88.860001,95.199997,95.199997,12900
2018-01-29,93.949997,93.949997,85.199997,90.199997,90.199997,3900
2018-02-05,90.440002,92.699997,87.500000,91.959999,91.959999,3600
2018-02-12,93.980003,98.989998,90.699997,97.500000,97.500000,14100
2018-02-19,98.970001,102.000000,95.125000,97.500000,97.500000,19500
2018-02-26,97.500000,98.949997,93.000000,93.900002,93.900002,25200
2018-03-05,94.550003,95.650002,91.250000,94.959999,94.959999,21500
2018-03-12,95.000000,97.500000,93.500000,94.010002,94.010002,19000
2018-03-19,94.510002,97.500000,91.610001,94.000000,94.000000,9000
2018-03-26,94.000000,96.930000,89.529999,95.709999,95.709999,22300
2018-04-02,95.989998,96.779999,93.550003,96.480003,96.480003,16100
2018-04-09,95.750000,96.050003,92.500000,94.209999,94.209999,3000
2018-04-16,92.620003,93.260002,88.470001,90.070000,90.070000,16600
2018-04-23,89.099998,90.144997,86.099998,89.574997,89.574997,5300
2018-04-30,88.349998,97.500000,85.000000,89.000000,89.000000,56100
2018-05-07,92.300003,93.989998,80.000000,83.339996,83.339996,130700
2018-05-14,83.989998,84.078003,80.345001,80.370003,80.370003,29300
2018-05-21,81.150002,82.589996,76.720001,77.894997,77.894997,17500
2018-05-28,80.489998,83.815002,75.320000,77.639999,77.639999,39000
2018-06-04,79.750000,81.496002,75.664001,76.010002,76.010002,47400
2018-06-11,74.010002,76.000000,72.120003,72.120003,72.120003,17100
2018-06-18,72.580002,74.500000,61.500000,62.000000,62.000000,139600
2018-06-25,58.490002,70.550003,53.000000,64.800003,64.800003,150000
2018-07-02,64.510002,69.019997,62.240002,66.839996,66.839996,40700
2018-07-09,65.839996,67.637001,64.125000,66.349998,66.349998,27900
2018-07-16,66.379997,72.650002,64.930000,71.760002,71.760002,34700
2018-07-23,71.860001,81.000000,70.459999,79.000000,79.000000,28500
2018-07-30,78.440002,89.730003,77.760002,86.040001,86.040001,40200
2018-08-06,86.110001,91.769997,84.000000,90.699997,90.699997,29800
2018-08-13,91.769997,93.000000,88.410004,91.500000,91.500000,25200
2018-08-20,91.430000,94.769997,87.760002,94.769997,94.769997,36100
2018-08-27,94.690002,95.578003,89.713997,91.389999,91.389999,47800
2018-09-03,92.269997,94.459999,91.320000,92.000000,92.000000,16900
2018-09-10,92.349998,94.860001,91.410004,91.959999,91.959999,38400
2018-09-17,91.709999,92.000000,86.839996,87.349998,87.349998,63300
2018-09-24,87.500000,91.143997,71.550003,75.870003,75.870003,342700
2018-10-01,77.209999,80.470001,75.099998,77.540001,77.540001,80600
2018-10-08,77.320000,77.320000,68.500000,70.690002,70.690002,97700
2018-10-15,71.099998,72.485001,67.000000,68.930000,68.930000,57400
2018-10-22,69.320000,69.320000,60.520000,65.449997,65.449997,77000
2018-10-29,66.150002,71.599998,55.000000,62.430000,62.430000,68300
2018-11-05,62.261002,65.000000,55.507999,58.480000,58.480000,42200
2018-11-12,59.029999,63.020000,56.860001,57.500000,57.500000,23700
2018-11-19,57.599998,59.590000,55.930000,58.500000,58.500000,18200
2018-11-26,59.299999,69.000000,58.200001,67.000000,67.000000,54300
2018-12-03,68.959999,69.500000,62.570000,64.970001,64.970001,29800
2018-12-10,63.020000,63.955002,57.450001,59.020000,59.020000,25500
2018-12-17,60.070000,60.070000,52.500000,52.500000,52.500000,35900
2018-12-24,47.200001,54.500000,47.200001,51.790001,51.790001,34700
2018-12-31,52.480000,55.000000,50.599998,52.000000,52.000000,34200
2019-01-07,52.230000,55.971001,52.150002,53.119999,53.119999,21600
2019-01-14,53.470001,54.250000,46.299999,48.599998,48.599998,48500
2019-01-21,48.450001,57.900002,47.509998,56.400002,56.400002,20400
2019-01-28,56.029999,66.400002,56.029999,64.425003,64.425003,29000
2019-02-04,64.489998,64.500000,59.750000,59.810001,59.810001,12800
2019-02-11,60.943001,63.000000,58.099998,60.209999,60.209999,44000
2019-02-18,58.080002,60.270000,55.270000,59.730000,59.730000,31500
