Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,78.239998,79.690002,78.230003,78.379997,73.931389,1011900
2017-10-16,78.419998,79.540001,77.580002,78.930000,74.450172,816000
2017-10-23,79.220001,79.849998,77.889999,79.690002,75.167038,892000
2017-10-30,79.489998,80.000000,76.760002,76.930000,72.563690,1254300
2017-11-06,77.169998,77.739998,75.199997,76.339996,72.007179,1382400
2017-11-13,76.169998,78.589996,76.019997,77.500000,73.101341,996600
2017-11-20,77.500000,78.690002,77.029999,78.180000,74.258369,577700
2017-11-27,78.099998,80.930000,77.519997,80.209999,76.186523,1078300
2017-12-04,80.519997,81.239998,78.190002,79.330002,75.350677,816100
2017-12-11,79.500000,79.500000,76.699997,77.900002,73.992409,1529000
2017-12-18,78.150002,78.529999,73.400002,73.449997,69.765633,1083000
2017-12-25,73.519997,74.970001,72.959999,74.360001,70.629990,996600
2018-01-01,74.230003,74.419998,72.529999,73.550003,69.860611,1128200
2018-01-08,73.650002,74.129997,72.139999,73.000000,69.338203,1521600
2018-01-15,73.339996,74.040001,71.800003,71.980003,68.369362,1580800
2018-01-22,72.300003,73.970001,71.849998,72.839996,69.186211,1403000
2018-01-29,72.629997,72.629997,70.260002,70.419998,66.887611,1099100
2018-02-05,70.070000,70.639999,66.639999,69.889999,66.384201,2079200
2018-02-12,69.870003,69.970001,67.199997,69.339996,65.861778,2049700
2018-02-19,68.919998,69.980003,67.559998,69.980003,67.010010,1293300
2018-02-26,70.000000,70.059998,67.879997,68.580002,65.669434,1260100
2018-03-05,68.279999,68.720001,67.070000,68.080002,65.190651,10298200
2018-03-12,68.099998,71.199997,68.059998,71.070000,68.053749,1965000
2018-03-19,71.180000,72.610001,70.059998,70.120003,67.144081,1350200
2018-03-26,70.410004,72.800003,70.129997,72.250000,69.183662,1072500
2018-04-02,72.360001,72.660004,70.400002,71.720001,68.676170,1350500
2018-04-09,71.860001,72.650002,71.040001,71.669998,68.628288,1504700
2018-04-16,71.940002,74.779999,71.879997,73.099998,69.997604,1327700
2018-04-23,73.309998,77.440002,73.110001,77.080002,73.808685,1092600
2018-04-30,77.220001,79.860001,75.720001,79.620003,76.240891,1365100
2018-05-07,79.099998,79.400002,75.980003,77.779999,74.478981,1113800
2018-05-14,77.250000,77.500000,73.760002,74.489998,71.328613,1879800
2018-05-21,74.820000,76.150002,74.279999,76.000000,73.302284,939700
2018-05-28,76.000000,78.120003,75.529999,76.120003,73.418030,955500
2018-06-04,76.410004,76.559998,72.779999,73.110001,70.514870,888300
2018-06-11,72.019997,73.279999,70.459999,73.110001,70.514870,1731300
2018-06-18,73.180000,76.650002,73.059998,76.309998,73.601288,1009900
2018-06-25,76.389999,78.620003,76.389999,77.410004,74.662239,1166100
2018-07-02,77.449997,80.779999,76.970001,80.410004,77.555756,907800
2018-07-09,80.550003,80.599998,75.919998,77.570000,74.816551,1281000
2018-07-16,77.690002,78.750000,76.690002,77.519997,74.768326,678500
2018-07-23,77.519997,78.739998,75.849998,77.160004,74.421120,834600
2018-07-30,77.120003,77.610001,75.000000,75.779999,73.090088,1130400
2018-08-06,75.980003,78.580002,75.610001,77.239998,74.498276,924400
2018-08-13,77.430000,79.419998,77.000000,78.959999,76.157211,798300
2018-08-20,79.059998,79.389999,75.610001,76.389999,74.214226,1004900
2018-08-27,76.559998,76.559998,74.470001,75.080002,72.941536,1900300
2018-09-03,75.360001,76.669998,75.080002,75.589996,73.436996,1373800
2018-09-10,75.809998,76.099998,74.930000,75.809998,73.650734,1233900
2018-09-17,76.019997,77.330002,74.129997,76.849998,74.661118,1692800
2018-09-24,76.680000,76.750000,73.389999,75.010002,72.873520,859600
2018-10-01,74.910004,76.000000,73.489998,75.690002,73.534157,914700
2018-10-08,75.889999,78.599998,74.330002,75.059998,72.922096,1302200
2018-10-15,74.980003,77.449997,74.610001,76.989998,74.797127,1201700
2018-10-22,77.110001,78.089996,74.900002,75.410004,73.262131,1298700
2018-10-29,75.610001,76.559998,72.750000,73.589996,71.493965,1391400
2018-11-05,73.589996,77.620003,73.589996,76.849998,74.661118,1278500
2018-11-12,76.599998,80.089996,76.300003,79.980003,77.701958,1088800
2018-11-19,79.680000,80.940002,78.389999,79.019997,77.323097,694600
2018-11-26,79.160004,81.589996,78.360001,81.379997,79.632423,1199000
2018-12-03,80.900002,82.820000,79.010002,81.029999,79.289932,1187100
2018-12-10,80.010002,81.669998,79.209999,80.779999,79.045303,1227500
2018-12-17,81.000000,81.010002,76.300003,77.550003,75.884666,1833000
2018-12-24,77.809998,77.809998,72.419998,75.730003,74.103752,981300
2018-12-31,75.709999,76.290001,72.879997,74.500000,72.900162,998400
2019-01-07,74.150002,75.910004,73.320000,74.839996,73.232857,1027200
2019-01-14,74.470001,76.070000,72.500000,75.279999,73.663414,1083200
2019-01-21,75.099998,76.930000,73.919998,74.879997,73.272003,813800
2019-01-28,74.730003,77.040001,73.870003,75.419998,73.800407,988000
2019-02-04,75.089996,79.660004,74.550003,79.300003,77.597099,1147200
2019-02-11,77.989998,80.339996,75.660004,79.389999,77.685150,1446300
2019-02-18,79.410004,82.459999,79.349998,82.309998,81.160858,1117400
2019-02-25,82.230003,82.949997,80.400002,81.680000,80.539650,1085100
2019-03-04,81.959999,83.529999,81.180000,82.519997,81.367928,1179800
2019-03-11,82.559998,84.260002,82.070000,83.430000,82.265221,1373700
2019-03-18,83.410004,83.820000,81.320000,82.230003,81.081978,1092300
2019-03-25,82.489998,83.629997,81.300003,82.230003,81.081978,954400
2019-04-01,82.230003,83.430000,80.800003,83.370003,82.206062,880600
2019-04-08,83.180000,83.180000,80.500000,81.540001,80.401604,1038300
2019-04-15,81.540001,82.239998,79.360001,79.529999,78.419670,595100
2019-04-22,79.430000,81.209999,78.860001,80.389999,79.267662,767000
2019-04-29,80.320000,82.089996,78.980003,82.050003,80.904495,1181500
2019-05-06,82.029999,83.199997,80.330002,82.160004,81.012962,957900
2019-05-13,81.480003,83.070000,80.970001,82.110001,80.963654,820800
2019-05-20,82.000000,83.349998,81.599998,82.489998,81.918755,779700
2019-05-27,82.639999,82.760002,80.300003,81.889999,81.322914,953700
2019-06-03,82.419998,86.519997,80.699997,84.989998,84.401443,981600
2019-06-10,84.860001,85.139999,83.779999,84.930000,84.341858,778500
2019-06-17,85.059998,86.089996,83.699997,84.910004,84.322006,933600
2019-06-24,85.110001,85.160004,81.489998,83.209999,82.633774,2097000
2019-07-01,83.480003,86.190002,82.379997,86.070000,85.473969,823900
2019-07-08,86.169998,87.389999,85.570000,86.860001,86.258499,1152800
2019-07-15,87.000000,87.570000,85.889999,85.919998,85.325005,858000
2019-07-22,86.330002,86.629997,84.690002,86.589996,85.990364,901500
2019-07-29,86.940002,88.580002,85.019997,85.110001,84.520615,1104200
2019-08-05,84.860001,86.830002,83.730003,85.580002,84.987358,1275600
2019-08-12,85.510002,85.860001,83.279999,85.099998,84.510681,691900
2019-08-19,85.230003,86.120003,83.860001,84.029999,84.029999,658200
2019-08-26,84.419998,86.339996,84.269997,85.730003,85.730003,877400
2019-09-02,85.540001,87.379997,84.930000,85.080002,85.080002,643600
2019-09-09,84.760002,87.970001,83.589996,87.070000,87.070000,1213600
2019-09-16,87.089996,87.860001,86.089996,87.290001,87.290001,1256500
2019-09-23,87.110001,88.599998,86.919998,87.599998,87.599998,1279300
2019-09-30,87.480003,88.260002,85.639999,87.120003,87.120003,875100
2019-10-07,87.150002,87.150002,85.129997,86.769997,86.769997,800300
2019-10-10,86.080002,87.000000,85.500000,86.769997,86.769997,273930
