Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,10.390000,10.390000,8.310000,8.680000,8.680000,770811
2018-11-19,8.760000,8.810000,7.330000,7.840000,7.840000,352200
2018-11-26,8.190000,8.190000,7.410000,7.640000,7.640000,840400
2018-12-03,7.840000,8.150000,7.600000,7.840000,7.840000,2663700
2018-12-10,7.940000,10.200000,7.940000,8.730000,8.730000,1493200
2018-12-17,10.480000,10.480000,7.580000,7.630000,7.630000,1751500
2018-12-24,7.550000,8.490000,7.410000,7.750000,7.750000,929600
2018-12-31,7.840000,8.270000,7.150000,8.110000,8.110000,1056600
2019-01-07,8.180000,9.250000,7.930000,8.470000,8.470000,1105200
2019-01-14,8.400000,9.460000,8.200000,8.570000,8.570000,843600
2019-01-21,8.500000,8.500000,7.700000,8.100000,8.100000,622200
2019-01-28,8.130000,8.710000,7.930000,8.400000,8.400000,1160000
2019-02-04,8.550000,8.620000,7.870000,7.940000,7.940000,702400
2019-02-11,7.950000,8.500000,7.800000,8.140000,8.140000,903800
2019-02-18,8.060000,8.460000,8.000000,8.160000,8.160000,664700
2019-02-25,8.200000,8.250000,5.080000,5.570000,5.570000,3353500
2019-03-04,5.670000,6.000000,5.180000,5.500000,5.500000,3812700
2019-03-11,5.570000,6.510000,5.570000,6.440000,6.440000,6466700
2019-03-18,6.450000,6.450000,5.960000,6.200000,6.200000,2569400
2019-03-25,6.230000,6.300000,5.790000,5.900000,5.900000,1619300
2019-04-01,5.940000,6.110000,5.700000,6.020000,6.020000,2022900
2019-04-08,6.010000,6.290000,5.710000,5.850000,5.850000,3892100
2019-04-15,5.890000,5.930000,4.830000,5.000000,5.000000,2668700
2019-04-22,4.970000,5.510000,4.860000,4.950000,4.950000,2811600
2019-04-29,4.970000,5.430000,4.900000,5.200000,5.200000,1215200
2019-05-06,5.130000,5.590000,4.910000,5.290000,5.290000,3941400
2019-05-13,5.270000,5.490000,5.120000,5.350000,5.350000,2620200
2019-05-20,5.400000,5.400000,4.880000,5.030000,5.030000,2766400
2019-05-27,5.030000,5.040000,4.530000,4.580000,4.580000,2776300
2019-06-03,4.580000,4.850000,4.470000,4.840000,4.840000,2017100
2019-06-10,4.820000,4.870000,3.900000,3.990000,3.990000,5136300
2019-06-17,4.010000,4.240000,3.660000,4.000000,4.000000,3369800
2019-06-24,4.000000,4.210000,3.580000,3.720000,3.720000,11389700
2019-07-01,3.750000,4.070000,3.650000,3.660000,3.660000,2733500
2019-07-08,3.680000,3.830000,3.480000,3.730000,3.730000,7769800
2019-07-15,3.750000,3.860000,3.100000,3.540000,3.540000,7020500
2019-07-22,3.560000,3.740000,3.450000,3.560000,3.560000,3492900
2019-07-29,3.550000,3.680000,2.910000,2.960000,2.960000,6607900
2019-08-05,2.950000,3.060000,2.750000,2.780000,2.780000,4167900
2019-08-12,2.790000,2.830000,2.500000,2.750000,2.750000,3512400
2019-08-19,2.730000,2.730000,2.270000,2.300000,2.300000,2999000
2019-08-26,2.300000,2.420000,2.180000,2.310000,2.310000,3982400
2019-09-02,2.270000,2.460000,2.210000,2.400000,2.400000,2869400
2019-09-09,2.450000,2.910000,2.400000,2.840000,2.840000,4049000
2019-09-16,3.000000,3.170000,2.800000,3.030000,3.030000,4124900
2019-09-23,3.040000,3.040000,2.700000,2.940000,2.940000,3577300
2019-09-30,2.880000,2.900000,2.310000,2.530000,2.530000,7290600
2019-10-07,2.560000,2.560000,2.340000,2.410000,2.410000,1889700
2019-10-10,2.480000,2.510000,2.340000,2.410000,2.410000,427881
