Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,1.570000,1.640000,1.560000,1.610000,1.610000,1431800
2017-10-16,1.610000,1.610000,1.330000,1.440000,1.440000,1522900
2017-10-23,1.430000,1.580000,1.410000,1.580000,1.580000,1036600
2017-10-30,1.570000,1.610000,1.510000,1.580000,1.580000,1080200
2017-11-06,1.560000,1.620000,1.440000,1.480000,1.480000,1313900
2017-11-13,1.490000,1.790000,1.490000,1.760000,1.760000,3160100
2017-11-20,1.820000,1.900000,1.700000,1.790000,1.790000,1562400
2017-11-27,1.790000,1.920000,1.540000,1.690000,1.690000,3350200
2017-12-04,1.690000,1.750000,1.600000,1.660000,1.660000,979400
2017-12-11,1.650000,1.980000,1.650000,1.790000,1.790000,4639500
2017-12-18,1.810000,1.870000,1.750000,1.830000,1.830000,1040100
2017-12-25,1.820000,1.870000,1.750000,1.790000,1.790000,611800
2018-01-01,1.800000,1.980000,1.770000,1.960000,1.960000,1912400
2018-01-08,2.010000,2.070000,1.890000,1.990000,1.990000,1850900
2018-01-15,2.000000,2.150000,1.910000,2.100000,2.100000,4093200
2018-01-22,2.120000,2.150000,2.000000,2.030000,2.030000,2086000
2018-01-29,2.150000,2.250000,1.960000,1.980000,1.980000,4270500
2018-02-05,1.950000,2.230000,1.820000,2.090000,2.090000,6368400
2018-02-12,2.130000,2.510000,2.080000,2.430000,2.430000,9089600
2018-02-19,2.460000,2.560000,2.230000,2.350000,2.350000,12428100
2018-02-26,2.360000,2.400000,2.210000,2.320000,2.320000,3263500
2018-03-05,2.300000,2.370000,2.240000,2.350000,2.350000,3776500
2018-03-12,2.350000,2.590000,2.340000,2.490000,2.490000,6446200
2018-03-19,2.490000,2.500000,2.230000,2.280000,2.280000,4489000
2018-03-26,2.310000,2.320000,1.920000,2.010000,2.010000,5893000
2018-04-02,1.980000,2.250000,1.870000,2.090000,2.090000,4518700
2018-04-09,2.110000,2.160000,1.670000,1.700000,1.700000,7235000
2018-04-16,1.700000,1.830000,1.630000,1.700000,1.700000,3648600
2018-04-23,1.690000,1.800000,1.560000,1.610000,1.610000,3343700
2018-04-30,1.610000,1.740000,1.540000,1.660000,1.660000,2795100
2018-05-07,1.670000,1.730000,1.630000,1.690000,1.690000,1938100
2018-05-14,1.690000,1.840000,1.540000,1.800000,1.800000,2815700
2018-05-21,1.820000,1.840000,1.610000,1.620000,1.620000,1528900
2018-05-28,1.610000,1.930000,1.600000,1.810000,1.810000,3238200
2018-06-04,1.840000,1.870000,1.650000,1.700000,1.700000,1745900
2018-06-11,1.720000,1.900000,1.410000,1.620000,1.620000,7418000
2018-06-18,1.620000,1.740000,1.530000,1.560000,1.560000,2939200
2018-06-25,1.520000,1.730000,1.470000,1.510000,1.510000,2951900
2018-07-02,1.480000,1.540000,1.410000,1.490000,1.490000,1454400
2018-07-09,1.490000,1.580000,1.400000,1.420000,1.420000,1927200
2018-07-16,1.430000,1.490000,1.330000,1.440000,1.440000,1583000
2018-07-23,1.440000,1.470000,1.300000,1.310000,1.310000,954300
2018-07-30,1.300000,1.600000,1.300000,1.570000,1.570000,1964800
2018-08-06,1.580000,1.580000,1.400000,1.550000,1.550000,2157300
2018-08-13,1.550000,1.550000,1.410000,1.440000,1.440000,3259500
2018-08-20,1.430000,1.510000,1.360000,1.390000,1.390000,2062900
2018-08-27,1.390000,1.490000,1.390000,1.400000,1.400000,1210100
2018-09-03,1.400000,1.410000,1.290000,1.330000,1.330000,1142600
2018-09-10,1.330000,1.370000,1.200000,1.270000,1.270000,2076500
2018-09-17,1.200000,1.290000,1.120000,1.250000,1.250000,1882300
2018-09-24,1.240000,1.320000,1.200000,1.240000,1.240000,2154100
2018-10-01,1.200000,1.430000,1.160000,1.360000,1.360000,2739100
2018-10-08,1.370000,1.370000,1.210000,1.230000,1.230000,1129700
