Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,25.400000,25.420000,25.360001,25.379999,22.689537,6000
2017-11-06,25.379999,25.420000,25.379999,25.420000,22.725296,1800
2017-11-13,null,null,null,null,null,null
2017-11-20,null,null,null,null,null,null
2017-11-27,null,null,null,null,null,null
2017-12-04,null,null,null,null,null,null
2017-12-11,null,null,null,null,null,null
2017-12-18,null,null,null,null,null,null
2017-12-25,null,null,null,null,null,null
2018-01-01,25.260000,25.299999,25.200001,25.299999,22.618015,21900
2018-01-08,25.270000,25.320000,25.219999,25.240000,22.564377,15400
2018-01-15,25.250000,25.290001,25.219999,25.280001,22.600138,53600
2018-01-22,25.270000,25.340000,25.240000,25.290001,22.609077,36500
2018-01-29,25.250000,25.350000,25.240000,25.330000,22.644835,53800
2018-02-05,25.330000,25.340000,25.180000,25.280001,22.600138,92800
2018-02-12,25.260000,25.340000,25.230000,25.330000,22.644835,55200
2018-02-19,25.330000,25.410000,25.270000,25.370001,22.680597,23400
2018-02-26,25.430000,25.459999,25.000000,25.059999,22.403460,60300
2018-03-05,25.070000,25.100000,25.020000,25.100000,22.803719,80900
2018-03-12,25.100000,25.190001,25.070000,25.190001,22.885487,60300
2018-03-19,25.200001,25.230000,25.110001,25.219999,22.912737,39300
2018-03-26,25.200001,25.260000,25.160000,25.260000,22.949081,33700
2018-04-02,25.240000,25.309999,25.219999,25.280001,22.967251,24900
2018-04-09,25.260000,25.350000,25.260000,25.350000,23.030848,14400
2018-04-16,25.350000,25.350000,25.309999,25.330000,23.012674,40400
2018-04-23,25.330000,25.379999,25.280001,25.360001,23.039932,18600
2018-04-30,25.350000,25.420000,25.320000,25.379999,23.058104,9800
2018-05-07,25.370001,25.469999,25.370001,25.440001,23.112614,44000
2018-05-14,25.420000,25.440001,25.389999,25.440001,23.112614,14700
2018-05-21,25.450001,25.480000,25.410000,25.480000,23.148952,40900
2018-05-28,25.459999,25.480000,25.080000,25.150000,22.849144,27900
2018-06-04,25.139999,25.180000,25.100000,25.180000,23.246817,38300
2018-06-11,25.150000,25.250000,25.150000,25.250000,23.311440,44300
2018-06-18,25.230000,25.280001,25.219999,25.280001,23.339142,41000
2018-06-25,25.240000,25.330000,25.230000,25.299999,23.357601,31800
2018-07-02,25.309999,25.430000,25.309999,25.360001,23.412996,12900
2018-07-09,25.389999,25.420000,25.320000,25.330000,23.385298,53900
2018-07-16,25.320000,25.420000,25.320000,25.330000,23.385298,27300
2018-07-23,25.330000,25.379999,25.309999,25.379999,23.431458,24900
2018-07-30,25.360001,25.410000,25.360001,25.400000,23.449923,14500
2018-08-06,25.389999,25.420000,25.370001,25.379999,23.431458,26900
2018-08-13,25.370001,25.459999,25.370001,25.459999,23.505316,20800
2018-08-20,25.459999,25.500000,25.389999,25.500000,23.542248,22800
2018-08-27,25.510000,25.510000,25.120001,25.170000,23.237583,43700
2018-09-03,25.170000,25.200001,25.129999,25.139999,23.585402,21300
2018-09-10,25.139999,25.209999,25.129999,25.170000,23.613548,11500
2018-09-17,25.129999,25.190001,25.129999,25.170000,23.613548,22000
2018-09-24,25.139999,25.230000,25.139999,25.150000,23.594784,31600
2018-10-01,25.170000,25.230000,25.120001,25.200001,23.641695,43900
2018-10-08,25.100000,25.200001,25.100000,25.160000,23.604166,37700
2018-10-15,25.190001,25.190001,25.120001,25.160000,23.604166,40300
2018-10-22,25.180000,25.180000,25.139999,25.180000,23.622931,35000
2018-10-29,25.160000,25.250000,25.160000,25.230000,23.669836,27200
2018-11-05,25.219999,25.280001,25.200001,25.280001,23.716749,23300
2018-11-12,25.230000,25.280001,25.219999,25.219999,23.660456,31800
2018-11-19,25.219999,25.270000,25.180000,25.270000,23.707365,14500
2018-11-26,25.299999,25.309999,24.860001,24.940001,23.397772,70500
2018-12-03,24.969999,25.030001,24.820000,25.000000,23.836576,48800
2018-12-10,24.959999,25.090000,24.959999,25.030001,23.865181,13900
2018-12-17,25.090000,25.090000,24.500000,24.830000,23.674488,116500
2018-12-24,24.850000,24.940001,24.709999,24.900000,23.741230,90300
2018-12-31,24.940001,25.170000,24.820000,25.150000,23.979595,28900
2019-01-07,25.070000,25.219999,25.040001,25.170000,23.998665,25600
2019-01-14,25.170000,25.240000,25.059999,25.110001,23.941458,30400
2019-01-21,25.110001,25.209999,25.080000,25.180000,24.008200,9000
2019-01-28,25.129999,25.500000,25.129999,25.440001,24.256100,104500
2019-02-04,25.420000,25.520000,25.400000,25.500000,24.313309,89000
2019-02-11,25.480000,25.510000,25.459999,25.500000,24.313309,74700
2019-02-18,25.510000,25.600000,25.500000,25.600000,24.408653,26800
2019-02-25,25.520000,25.629999,25.180000,25.260000,24.084478,139000
2019-03-04,25.200001,25.330000,25.180000,25.330000,24.540260,30700
2019-03-11,25.230000,25.400000,25.230000,25.280001,24.491819,43000
2019-03-18,25.330000,25.370001,25.280001,25.370001,24.579014,11500
2019-03-25,25.350000,25.500000,25.309999,25.500000,24.704960,72800
2019-04-01,25.400000,25.570000,25.400000,25.570000,24.772778,16700
2019-04-08,25.450001,25.590000,25.450001,25.490000,24.695271,16700
2019-04-15,25.510000,25.600000,25.500000,25.549999,24.753401,9500
2019-04-22,25.549999,25.639999,25.510000,25.620001,24.821218,15600
2019-04-29,25.620001,25.700001,25.559999,25.580000,24.782465,53000
2019-05-06,25.570000,25.670000,25.549999,25.660000,24.859970,8400
2019-05-13,25.660000,25.690001,25.590000,25.690001,24.889034,55400
2019-05-20,25.700001,25.770000,25.629999,25.770000,24.966541,15200
2019-05-27,25.750000,25.770000,25.250000,25.250000,24.462753,46600
2019-06-03,25.320000,25.360001,25.299999,25.360001,24.963537,23000
2019-06-10,25.360001,25.430000,25.320000,25.389999,24.993067,52300
2019-06-17,25.440001,25.549999,25.379999,25.520000,25.121037,105300
2019-06-24,25.500000,25.620001,25.469999,25.620001,25.219473,64200
2019-07-01,25.510000,25.600000,25.500000,25.600000,25.199785,32400
2019-07-08,25.600000,25.680000,25.520000,25.600000,25.199785,41700
2019-07-15,25.650000,25.830000,25.629999,25.740000,25.337597,47200
2019-07-22,25.740000,25.799999,25.620001,25.650000,25.249002,35300
2019-07-29,25.629999,25.799999,25.629999,25.790001,25.386816,59500
2019-08-05,25.799999,25.820000,25.670000,25.820000,25.416346,38700
2019-08-12,25.820000,25.840000,25.760000,25.840000,25.436033,28200
2019-08-19,25.799999,25.900000,25.799999,25.840000,25.436033,17400
2019-08-26,25.830000,25.980000,25.549999,25.620001,25.219473,47600
2019-09-02,25.650000,25.700001,25.600000,25.650000,25.650000,17300
2019-09-09,25.730000,25.799999,25.620001,25.650000,25.650000,33800
2019-09-16,25.750000,25.750000,25.650000,25.740000,25.740000,33800
2019-09-23,25.740000,25.780001,25.650000,25.750000,25.750000,28900
2019-09-30,25.690001,25.820000,25.620001,25.799999,25.799999,40300
2019-10-07,25.719999,25.799999,25.670000,25.770000,25.770000,45200
2019-10-10,25.670000,25.770000,25.670000,25.770000,25.770000,24050
