Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,7.500000,8.000000,7.450000,7.600000,3.489796,27200
2017-10-16,7.500000,7.710000,7.500000,7.600000,3.489796,29000
2017-10-23,7.500000,7.950000,7.200000,7.250000,3.329082,28100
2017-10-30,7.150000,7.750000,7.050000,7.600000,3.489796,31000
2017-11-06,7.540000,8.450000,7.450000,7.700000,3.535714,26400
2017-11-13,8.000000,8.000000,7.050000,7.050000,3.237245,58800
2017-11-20,7.050000,7.200000,7.050000,7.050000,3.237245,6100
2017-11-27,7.150000,7.800000,7.050000,7.500000,3.443878,43900
2017-12-04,7.500000,7.650000,7.150000,7.400000,3.397959,32600
2017-12-11,7.250000,7.750000,7.220000,7.500000,3.443878,32200
2017-12-18,7.500000,7.750000,7.200000,7.680000,3.526531,31100
2017-12-25,7.600000,7.750000,7.050000,7.500000,3.443878,20900
2018-01-01,7.450000,7.650000,7.050000,7.550000,3.466837,9800
2018-01-08,7.640000,7.650000,7.050000,7.280000,3.342857,45500
2018-01-15,7.150000,7.360000,6.850000,7.200000,3.306123,59900
2018-01-22,7.150000,7.330000,7.050000,7.100000,3.260204,20700
2018-01-29,7.130000,7.250000,7.100000,7.200000,3.306123,22900
2018-02-05,7.180000,11.450000,7.150000,11.250000,5.165816,633900
2018-02-12,11.300000,11.500000,8.150000,10.250000,4.706633,573200
2018-02-19,9.550000,10.800000,9.210000,10.450000,4.798470,123500
2018-02-26,10.400000,10.600000,4.250000,4.400000,2.020408,317500
2018-03-05,4.450000,4.450000,4.000000,4.100000,4.100000,134900
2018-03-12,4.100000,4.450000,4.100000,4.100000,4.100000,114300
2018-03-19,4.050000,4.200000,4.050000,4.100000,4.100000,26300
2018-03-26,4.150000,4.200000,3.550000,3.750000,3.750000,70100
2018-04-02,3.750000,3.750000,3.350000,3.350000,3.350000,65600
2018-04-09,3.400000,3.450000,3.250000,3.400000,3.400000,28700
2018-04-16,3.400000,3.900000,3.350000,3.650000,3.650000,69100
2018-04-23,3.750000,3.800000,3.400000,3.700000,3.700000,76300
2018-04-30,3.700000,3.800000,3.400000,3.500000,3.500000,46500
2018-05-07,3.400000,3.450000,3.250000,3.300000,3.300000,29400
2018-05-14,3.500000,3.700000,3.400000,3.550000,3.550000,45600
2018-05-21,3.550000,3.750000,3.400000,3.750000,3.750000,33000
2018-05-28,3.700000,3.700000,3.400000,3.600000,3.600000,6300
2018-06-04,3.700000,4.050000,3.580000,3.900000,3.900000,13700
2018-06-11,3.850000,4.000000,3.350000,3.350000,3.350000,17500
2018-06-18,3.500000,3.780000,3.500000,3.550000,3.550000,18600
2018-06-25,3.550000,3.650000,3.400000,3.400000,3.400000,11800
2018-07-02,3.500000,3.500000,3.350000,3.450000,3.450000,7200
2018-07-09,3.460000,3.500000,3.400000,3.500000,3.500000,4800
2018-07-16,3.400000,3.500000,3.100000,3.250000,3.250000,15200
2018-07-23,3.150000,3.150000,2.850000,3.150000,3.150000,39100
2018-07-30,3.050000,4.750000,3.050000,3.250000,3.250000,376300
2018-08-06,3.200000,3.350000,2.950000,3.100000,3.100000,21000
2018-08-13,3.100000,3.100000,2.980000,3.050000,3.050000,19600
2018-08-20,3.050000,3.050000,2.850000,3.000000,3.000000,12600
2018-08-27,2.800000,4.080000,2.800000,3.800000,3.800000,142700
2018-09-03,3.750000,4.400000,3.750000,4.200000,4.200000,49000
2018-09-10,4.050000,4.150000,3.750000,3.900000,3.900000,21200
2018-09-17,3.950000,4.200000,3.750000,3.980000,3.980000,27800
2018-09-24,3.860000,4.100000,3.850000,3.950000,3.950000,19500
2018-10-01,3.980000,4.190000,3.910000,4.130000,4.130000,3300
2018-10-08,4.020000,4.070000,3.900000,3.990000,3.990000,11300
2018-10-15,3.910000,3.910000,3.750000,3.750000,3.750000,22000
2018-10-22,3.700000,3.910000,3.530000,3.640000,3.640000,14200
2018-10-29,3.750000,3.850000,3.580000,3.810000,3.810000,5400
2018-11-05,3.610000,3.900000,3.610000,3.900000,3.900000,5400
2018-11-12,3.610000,4.480000,3.460000,4.200000,4.200000,55200
2018-11-19,3.940000,4.420000,3.940000,4.200000,4.200000,21300
2018-11-26,4.350000,4.440000,4.050000,4.070000,4.070000,5800
2018-12-03,4.070000,4.500000,4.000000,4.140000,4.140000,7200
2018-12-10,4.140000,4.190000,4.010000,4.010000,4.010000,2100
2018-12-17,4.150000,4.250000,3.770000,3.900000,3.900000,14100
2018-12-24,3.900000,4.250000,3.610000,4.180000,4.180000,68000
2018-12-31,4.250000,4.470000,4.250000,4.450000,4.450000,9200
2019-01-07,4.450000,4.490000,4.180000,4.180000,4.180000,24800
2019-01-14,4.450000,4.450000,4.150000,4.150000,4.150000,5500
2019-01-21,4.200000,4.240000,4.040000,4.060000,4.060000,6800
2019-01-28,4.060000,4.450000,4.060000,4.260000,4.260000,11400
2019-02-04,4.200000,4.470000,4.100000,4.130000,4.130000,2600
2019-02-11,4.130000,4.840000,4.100000,4.550000,4.550000,5700
2019-02-18,4.760000,4.950000,4.670000,4.800000,4.800000,13100
2019-02-25,4.760000,5.140000,4.740000,4.960000,4.960000,40100
2019-03-04,5.150000,5.150000,4.790000,5.100000,5.100000,5200
2019-03-11,5.030000,5.220000,4.750000,4.890000,4.890000,5200
2019-03-18,4.890000,5.180000,4.270000,4.270000,4.270000,22300
2019-03-25,4.720000,4.720000,4.300000,4.700000,4.700000,3800
2019-04-01,4.500000,4.540000,4.400000,4.540000,4.540000,1700
2019-04-08,4.620000,4.730000,4.610000,4.610000,4.610000,2800
2019-04-15,4.550000,4.740000,4.410000,4.500000,4.500000,5500
2019-04-22,4.450000,4.720000,4.450000,4.670000,4.670000,8900
2019-04-29,4.600000,4.730000,4.600000,4.640000,4.640000,6400
2019-05-06,4.690000,4.700000,4.460000,4.700000,4.700000,11600
2019-05-13,4.680000,6.100000,4.610000,5.650000,5.650000,68400
2019-05-20,5.850000,7.150000,5.850000,6.990000,6.990000,163700
2019-05-27,7.040000,7.440000,6.800000,7.000000,7.000000,92700
2019-06-03,7.100000,7.250000,6.050000,6.640000,6.640000,71600
2019-06-10,6.720000,7.130000,6.690000,7.000000,7.000000,49500
2019-06-17,7.100000,7.210000,6.800000,7.190000,7.190000,42900
2019-06-24,7.190000,7.200000,6.980000,7.040000,7.040000,25300
2019-07-01,6.970000,7.400000,6.800000,7.300000,7.300000,27500
2019-07-08,7.290000,7.650000,7.160000,7.540000,7.540000,36700
2019-07-15,7.580000,7.640000,7.300000,7.500000,7.500000,11200
2019-07-22,7.500000,7.680000,7.210000,7.510000,7.510000,26100
2019-07-29,7.530000,7.700000,7.240000,7.400000,7.400000,26600
2019-08-05,7.240000,7.510000,7.150000,7.220000,7.220000,13700
2019-08-12,7.170000,8.710000,7.170000,8.250000,8.250000,40500
2019-08-19,8.280000,8.350000,7.730000,8.050000,8.050000,30100
2019-08-26,8.000000,8.000000,6.850000,7.170000,7.170000,25200
2019-09-02,7.120000,7.120000,6.790000,7.030000,7.030000,26800
2019-09-09,7.060000,7.110000,6.990000,6.990000,6.990000,5600
2019-09-16,6.910000,6.990000,6.760000,6.990000,6.990000,18600
2019-09-23,7.040000,7.050000,6.700000,7.030000,7.030000,3500
2019-09-30,7.000000,7.000000,6.510000,6.570000,6.570000,9400
2019-10-07,6.860000,6.860000,6.590000,6.590000,6.590000,800
2019-10-10,6.590000,6.790000,6.650000,6.650000,6.650000,168
