Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,32.650002,33.750000,30.250000,32.349998,32.349998,78400
2017-10-16,32.299999,32.500000,30.200001,31.200001,31.200001,86500
2017-10-23,31.850000,32.500000,30.350000,31.850000,31.850000,67700
2017-10-30,32.000000,32.000000,28.150000,29.299999,29.299999,156300
2017-11-06,29.250000,30.549999,29.250000,29.450001,29.450001,90700
2017-11-13,29.049999,35.500000,28.450001,34.650002,34.650002,154700
2017-11-20,34.000000,35.799999,33.549999,35.799999,35.799999,90700
2017-11-27,35.799999,36.000000,31.350000,33.700001,33.700001,291100
2017-12-04,32.799999,33.849998,31.049999,32.900002,32.900002,336900
2017-12-11,33.250000,35.599998,31.950001,34.750000,34.750000,154000
2017-12-18,35.325001,35.325001,32.250000,32.250000,32.250000,65400
2017-12-25,33.150002,33.349998,32.000000,32.099998,32.099998,45400
2018-01-01,33.125000,33.650002,31.600000,32.400002,32.400002,53500
2018-01-08,32.500000,33.950001,31.850000,33.849998,33.849998,53000
2018-01-15,34.000000,36.400002,32.049999,35.650002,35.650002,66600
2018-01-22,35.650002,36.299999,34.139999,35.849998,35.849998,53000
2018-01-29,35.349998,36.099998,33.250000,33.400002,33.400002,71100
2018-02-05,33.200001,33.900002,29.100000,30.350000,30.350000,83800
2018-02-12,30.400000,33.700001,29.973000,32.700001,32.700001,56500
2018-02-19,32.349998,33.299999,31.100000,32.750000,32.750000,35500
2018-02-26,32.750000,33.424999,31.500000,32.750000,32.750000,44800
2018-03-05,32.549999,39.750000,31.650000,38.750000,38.750000,140900
2018-03-12,38.750000,39.000000,35.700001,38.549999,38.549999,114700
2018-03-19,38.400002,38.400002,31.500000,31.600000,31.600000,119200
2018-03-26,32.200001,33.099998,29.549999,29.850000,29.850000,101300
2018-04-02,29.750000,32.299999,28.000000,30.049999,30.049999,90300
2018-04-09,30.350000,31.525000,29.000000,30.100000,30.100000,81500
2018-04-16,30.450001,33.099998,29.650000,31.500000,31.500000,301000
2018-04-23,31.549999,32.950001,29.000000,29.350000,29.350000,125400
2018-04-30,29.400000,31.271000,27.500000,27.750000,27.750000,93100
2018-05-07,27.799999,29.400000,27.400999,28.750000,28.750000,82900
2018-05-14,28.750000,29.100000,26.900000,27.350000,27.350000,123700
2018-05-21,27.450001,28.400000,23.799999,23.900000,23.900000,350800
2018-05-28,23.700001,27.200001,23.100000,26.600000,26.600000,362900
2018-06-04,26.700001,27.000000,22.500000,24.799999,24.799999,316900
2018-06-11,24.850000,29.485001,23.549999,28.950001,28.950001,301900
2018-06-18,28.600000,29.049999,25.700001,26.100000,26.100000,270200
2018-06-25,26.049999,26.650000,24.225000,24.950001,24.950001,162500
2018-07-02,24.750000,25.700001,24.250000,25.400000,25.400000,103200
2018-07-09,25.549999,26.950001,25.325001,26.350000,26.350000,111500
2018-07-16,26.350000,27.150000,24.549999,26.549999,26.549999,146500
2018-07-23,26.549999,29.150000,24.549999,29.000000,29.000000,328500
2018-07-30,29.049999,31.798000,28.400000,29.450001,29.450001,287100
2018-08-06,29.450001,32.700001,25.950001,32.299999,32.299999,259600
2018-08-13,32.299999,33.450001,30.600000,33.400002,33.400002,244400
2018-08-20,33.500000,33.500000,29.150000,30.100000,30.100000,214900
2018-08-27,30.100000,30.250000,29.000000,30.049999,30.049999,97200
2018-09-03,30.100000,30.775000,28.799999,29.549999,29.549999,77900
2018-09-10,29.600000,31.725000,27.650000,30.799999,30.799999,201800
2018-09-17,31.250000,32.186001,29.600000,31.549999,31.549999,157900
2018-09-24,31.450001,35.950001,30.075001,33.900002,33.900002,177900
2018-10-01,34.020000,37.599998,32.509998,36.310001,36.310001,172900
2018-10-08,36.279999,38.669998,35.064999,36.310001,36.310001,164000
2018-10-15,38.700001,43.919998,37.209999,40.970001,40.970001,554700
2018-10-22,41.049999,43.169998,34.209999,37.730000,37.730000,416100
2018-10-29,38.040001,42.419998,36.964001,41.860001,41.860001,234500
2018-11-05,41.959999,45.000000,40.430000,42.000000,42.000000,252800
2018-11-12,41.900002,42.099998,38.369999,39.910000,39.910000,232100
2018-11-19,39.900002,42.487000,38.840000,39.779999,39.779999,171800
2018-11-26,40.060001,47.865002,39.680000,43.439999,43.439999,777600
2018-12-03,43.509998,45.980000,36.529999,38.500000,38.500000,450300
2018-12-10,38.500000,39.840000,35.540001,37.939999,37.939999,271700
2018-12-17,37.590000,38.799999,30.730000,32.049999,32.049999,449200
2018-12-24,31.610001,37.910000,30.639999,36.709999,36.709999,180300
2018-12-31,37.340000,39.500000,35.419998,39.439999,39.439999,124000
2019-01-07,39.630001,40.615002,38.779999,39.700001,39.700001,163200
2019-01-14,39.310001,40.132000,37.650002,39.730000,39.730000,111000
2019-01-21,39.520000,39.790001,37.189999,39.650002,39.650002,90200
2019-01-28,39.169998,40.919998,37.958000,40.220001,40.220001,112800
2019-02-04,40.259998,42.439999,35.570000,40.349998,40.349998,146000
2019-02-11,40.610001,43.669998,40.610001,43.270000,43.270000,148500
2019-02-18,43.520000,48.389999,38.597000,45.500000,45.500000,520100
2019-02-25,45.000000,45.990002,38.110001,38.820000,38.820000,633900
2019-03-04,39.060001,39.230000,36.701000,37.020000,37.020000,469600
2019-03-11,37.029999,42.000000,36.571999,38.759998,38.759998,731300
2019-03-18,38.779999,40.500000,34.980000,35.340000,35.340000,405500
2019-03-25,35.340000,35.560001,33.151001,35.160000,35.160000,394400
2019-04-01,35.529999,37.080002,34.109001,34.970001,34.970001,217600
2019-04-08,35.000000,37.020000,33.139999,36.060001,36.060001,206100
2019-04-15,35.889999,37.310001,35.500000,37.009998,37.009998,160600
2019-04-22,36.889999,39.660000,36.889999,38.720001,38.720001,190500
2019-04-29,38.590000,41.450001,38.130001,40.520000,40.520000,200600
2019-05-06,39.560001,40.865002,39.150002,39.950001,39.950001,242400
2019-05-13,39.240002,41.910000,39.057999,41.259998,41.259998,198300
2019-05-20,40.930000,50.990002,40.639999,49.700001,49.700001,742300
2019-05-27,50.000000,51.330002,46.889999,48.750000,48.750000,1070100
2019-06-03,48.750000,49.650002,47.270000,49.060001,49.060001,528400
2019-06-10,49.060001,49.750000,47.209999,47.330002,47.330002,445500
2019-06-17,48.150002,48.959999,45.549999,46.919998,46.919998,250300
2019-06-24,47.029999,48.735001,46.220001,47.000000,47.000000,644900
2019-07-01,47.540001,48.880001,46.419998,47.980000,47.980000,252900
2019-07-08,47.820000,48.480000,46.369999,47.360001,47.360001,265000
2019-07-15,47.400002,48.634998,43.230000,43.360001,43.360001,1721300
2019-07-22,43.380001,46.169998,41.768002,45.169998,45.169998,905000
2019-07-29,45.110001,45.930000,43.060001,43.779999,43.779999,691700
2019-08-05,42.930000,46.509998,41.970001,43.250000,43.250000,602100
2019-08-12,42.980000,43.090000,36.529999,41.389999,41.389999,934700
2019-08-19,41.869999,43.389999,40.360001,41.939999,41.939999,527600
2019-08-26,42.240002,44.049999,38.080002,38.750000,38.750000,503300
2019-09-02,38.759998,39.049999,36.369999,37.500000,37.500000,435000
2019-09-09,37.400002,40.810001,36.610001,39.619999,39.619999,591500
2019-09-16,39.360001,40.189999,37.790001,37.889999,37.889999,494000
2019-09-23,38.029999,38.570000,34.900002,35.669998,35.669998,473700
2019-09-30,35.770000,40.180000,35.259998,40.090000,40.090000,664700
2019-10-07,40.000000,40.020000,36.540001,38.570000,38.570000,325400
2019-10-10,37.389999,38.855000,37.389999,38.570000,38.570000,84796
