Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,2.310000,2.440000,2.210000,2.320000,2.320000,19400
2017-10-16,2.250000,2.410000,2.200000,2.310000,2.310000,12800
2017-10-23,2.310000,2.420000,2.260000,2.420000,2.420000,6700
2017-10-30,2.300000,2.400000,2.250000,2.350000,2.350000,70000
2017-11-06,2.270000,2.400000,2.170000,2.300000,2.300000,69300
2017-11-13,2.400000,2.440000,2.130000,2.440000,2.440000,53300
2017-11-20,2.400000,2.490000,2.240000,2.290000,2.290000,12800
2017-11-27,2.340000,2.460000,2.140000,2.350000,2.350000,37200
2017-12-04,2.430000,2.460000,2.180000,2.350000,2.350000,35700
2017-12-11,2.300000,2.500000,2.220000,2.400000,2.400000,32500
2017-12-18,2.580000,2.580000,2.280000,2.350000,2.350000,35600
2017-12-25,2.280000,2.430000,2.260000,2.400000,2.400000,17500
2018-01-01,2.400000,2.490000,2.270000,2.290000,2.290000,23000
2018-01-08,2.330000,2.380000,2.230000,2.250000,2.250000,25700
2018-01-15,2.270000,2.320000,2.200000,2.200000,2.200000,17000
2018-01-22,2.330000,2.330000,2.210000,2.220000,2.220000,12100
2018-01-29,2.220000,2.380000,2.220000,2.250000,2.250000,19400
2018-02-05,2.340000,2.350000,2.200000,2.260000,2.260000,10400
2018-02-12,2.210000,2.260000,2.200000,2.200000,2.200000,4500
2018-02-19,2.200000,2.260000,2.200000,2.220000,2.220000,2400
2018-02-26,2.250000,2.250000,2.200000,2.250000,2.250000,2600
2018-03-05,2.200000,2.250000,2.200000,2.220000,2.220000,4900
2018-03-12,2.220000,2.220000,2.050000,2.150000,2.150000,9000
2018-03-19,1.950000,2.140000,1.950000,2.000000,2.000000,26700
2018-03-26,2.000000,2.280000,2.000000,2.040000,2.040000,44200
2018-04-02,2.050000,2.230000,2.010000,2.010000,2.010000,3900
2018-04-09,2.100000,2.350000,2.000000,2.130000,2.130000,24100
2018-04-16,2.130000,2.240000,2.000000,2.050000,2.050000,3700
2018-04-23,2.110000,2.270000,2.100000,2.150000,2.150000,7900
2018-04-30,2.190000,2.290000,2.070000,2.230000,2.230000,3300
2018-05-07,2.230000,2.230000,2.000000,2.010000,2.010000,8900
2018-05-14,2.010000,2.010000,2.000000,2.000000,2.000000,1800
2018-05-21,2.000000,2.140000,1.620000,1.630000,1.630000,53500
2018-05-28,1.580000,1.890000,1.520000,1.730000,1.730000,12400
2018-06-04,1.660000,2.250000,1.660000,2.030000,2.030000,32000
2018-06-11,2.150000,2.240000,1.940000,1.940000,1.940000,10700
2018-06-18,1.920000,2.320000,1.900000,2.020000,2.020000,17700
2018-06-25,2.020000,2.500000,1.840000,2.070000,2.070000,181900
2018-07-02,1.950000,2.010000,1.780000,1.780000,1.780000,14500
2018-07-09,1.850000,2.020000,1.710000,1.710000,1.710000,42300
2018-07-16,1.810000,2.220000,1.780000,1.930000,1.930000,70000
2018-07-23,1.870000,2.020000,1.730000,1.750000,1.750000,11800
2018-07-30,1.830000,3.830000,1.720000,2.120000,2.120000,10183400
2018-08-06,2.100000,2.100000,1.700000,1.710000,1.710000,212000
2018-08-13,1.700000,1.880000,1.530000,1.860000,1.860000,112700
2018-08-20,1.850000,3.300000,1.750000,2.670000,2.670000,707600
2018-08-27,2.670000,3.180000,2.660000,2.820000,2.820000,324600
2018-09-03,2.830000,3.090000,2.690000,2.980000,2.980000,76100
2018-09-10,2.960000,3.080000,2.560000,2.780000,2.780000,50500
2018-09-17,2.820000,3.050000,2.710000,2.980000,2.980000,58300
2018-09-24,2.960000,3.090000,2.830000,2.960000,2.960000,32400
2018-10-01,2.960000,4.910000,2.960000,3.530000,3.530000,400900
2018-10-08,3.440000,4.220000,3.290000,3.410000,3.410000,69800
2018-10-15,3.300000,3.820000,3.300000,3.310000,3.310000,20900
2018-10-22,3.300000,3.760000,3.000000,3.540000,3.540000,39100
2018-10-29,3.530000,3.970000,3.100000,3.490000,3.490000,71200
2018-11-05,3.490000,3.900000,3.350000,3.660000,3.660000,36500
2018-11-12,3.620000,3.620000,3.160000,3.160000,3.160000,26100
2018-11-19,3.120000,3.280000,3.040000,3.150000,3.150000,4800
2018-11-26,3.260000,4.250000,3.070000,3.810000,3.810000,23800
2018-12-03,3.560000,3.850000,3.040000,3.250000,3.250000,42300
2018-12-10,3.100000,3.410000,3.030000,3.210000,3.210000,18200
2018-12-17,3.310000,3.430000,3.080000,3.430000,3.430000,7700
2018-12-24,3.430000,3.480000,3.150000,3.150000,3.150000,11400
2018-12-31,3.250000,3.690000,3.130000,3.150000,3.150000,14900
2019-01-07,3.200000,3.500000,3.050000,3.050000,3.050000,14400
2019-01-14,3.060000,3.700000,3.060000,3.270000,3.270000,14900
2019-01-21,3.680000,3.700000,3.280000,3.330000,3.330000,8800
2019-01-28,3.400000,3.850000,3.330000,3.770000,3.770000,45200
2019-02-04,3.970000,3.980000,3.480000,3.830000,3.830000,9000
2019-02-11,3.510000,3.840000,3.510000,3.810000,3.810000,18700
2019-02-18,3.780000,3.830000,3.530000,3.830000,3.830000,13700
2019-02-25,3.750000,3.780000,3.610000,3.690000,3.690000,22400
2019-03-04,3.740000,3.780000,3.600000,3.730000,3.730000,66500
2019-03-11,3.720000,3.780000,3.590000,3.700000,3.700000,56900
2019-03-18,3.670000,3.690000,3.500000,3.560000,3.560000,55900
2019-03-25,3.520000,3.590000,3.390000,3.400000,3.400000,107600
2019-04-01,3.570000,3.570000,3.440000,3.530000,3.530000,9800
