Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,31.200001,31.900000,30.000000,31.150000,28.928005,26700
2017-10-16,31.100000,31.100000,29.850000,30.200001,28.045774,39700
2017-10-23,30.100000,30.299999,29.600000,30.299999,28.138639,25400
2017-10-30,30.200001,30.200001,28.549999,29.500000,27.395704,29400
2017-11-06,29.500000,29.750000,27.549999,28.650000,26.804222,28800
2017-11-13,28.049999,29.750000,28.000000,29.700001,27.786577,28600
2017-11-20,29.650000,30.250000,29.350000,29.950001,28.020470,16800
2017-11-27,29.850000,30.510000,27.600000,28.100000,26.289658,49100
2017-12-04,28.299999,29.750000,28.299999,29.000000,27.131672,42700
2017-12-11,29.250000,30.100000,28.650000,30.100000,28.160807,61400
2017-12-18,30.049999,30.049999,28.200001,28.200001,26.383215,22100
2017-12-25,28.520000,28.600000,27.850000,27.850000,26.055761,19400
2018-01-01,28.650000,29.200001,28.100000,28.700001,26.851000,18400
2018-01-08,28.500000,29.799999,28.200001,29.650000,27.739798,31300
2018-01-15,29.900000,30.000000,29.250000,29.750000,27.833357,25400
2018-01-22,29.750000,29.780001,29.000000,29.299999,27.412346,11900
2018-01-29,29.049999,29.290001,27.750000,27.799999,26.008982,21000
2018-02-05,27.750000,28.000000,26.250000,27.000000,25.457031,42200
2018-02-12,26.950001,27.400000,26.400000,27.000000,25.457031,22300
2018-02-19,26.900000,27.950001,26.500000,26.900000,25.362749,21700
2018-02-26,27.150000,27.799999,26.000000,27.000000,25.457031,22400
2018-03-05,27.000000,27.500000,26.700001,27.400000,25.834173,16900
2018-03-12,27.250000,29.100000,27.160000,29.100000,27.437025,53200
2018-03-19,28.549999,28.730000,27.200001,27.200001,25.645605,29200
2018-03-26,27.480000,28.750000,27.299999,27.500000,25.928461,34800
2018-04-02,27.299999,28.500000,26.799999,27.600000,26.022747,19800
2018-04-09,27.100000,28.750000,27.100000,28.000000,26.399885,24900
2018-04-16,28.150000,28.950001,27.799999,28.799999,27.154167,28000
2018-04-23,28.700001,29.299999,28.600000,28.799999,27.154167,25600
2018-04-30,27.950001,28.250000,27.200001,27.400000,25.834173,28600
2018-05-07,27.650000,28.400000,27.299999,28.400000,27.230875,12500
2018-05-14,28.200001,30.100000,27.799999,29.799999,28.573240,48200
2018-05-21,29.750000,30.250000,29.580000,30.100000,28.860893,29100
2018-05-28,30.049999,31.000000,29.500000,30.600000,29.340309,43000
2018-06-04,30.450001,31.400000,30.450001,31.000000,29.723843,41400
2018-06-11,31.000000,31.100000,30.400000,30.850000,29.580021,40600
2018-06-18,30.450001,31.549999,29.250000,31.450001,30.155319,77900
2018-06-25,31.200001,31.500000,30.129999,30.850000,29.580021,33400
2018-07-02,30.799999,31.600000,29.809999,31.600000,30.299145,27400
2018-07-09,31.700001,32.000000,30.950001,31.250000,29.963551,23200
2018-07-16,31.250000,31.750000,30.400000,31.350000,30.059433,26900
2018-07-23,31.200001,32.150002,30.600000,31.000000,29.723843,26900
2018-07-30,31.150000,32.000000,30.650000,30.750000,29.484133,28800
2018-08-06,30.650000,30.799999,29.299999,30.200001,29.171133,26700
2018-08-13,30.299999,31.150000,29.900000,31.100000,30.040472,21700
2018-08-20,31.299999,31.299999,30.350000,30.750000,29.702393,21600
2018-08-27,30.549999,30.650000,29.650000,30.250000,29.219429,18400
2018-09-03,30.049999,30.799999,29.950001,30.500000,29.460911,8900
2018-09-10,30.629999,30.629999,26.799999,27.000000,26.080153,142900
2018-09-17,27.250000,27.500000,26.200001,27.400000,26.466522,280400
2018-09-24,27.250000,28.160000,26.600000,27.250000,26.321634,159600
2018-10-01,27.389999,28.490000,27.000000,28.030001,27.075060,41400
2018-10-08,28.180000,29.670000,27.000000,27.410000,26.476181,55700
2018-10-15,27.520000,28.150000,27.200001,27.250000,26.321634,36600
2018-10-22,27.299999,27.490000,26.510000,26.959999,26.041512,37700
2018-10-29,27.070000,28.200001,26.510000,27.510000,26.572777,41300
2018-11-05,27.520000,27.520000,27.000000,27.010000,26.304350,22500
2018-11-12,27.400000,28.969999,27.129999,28.180000,27.443783,47800
2018-11-19,27.629999,28.290001,27.040001,28.290001,27.550907,26600
2018-11-26,28.320000,28.370001,27.020000,27.459999,26.742592,45400
2018-12-03,27.790001,28.090000,26.350000,26.889999,26.187485,48500
2018-12-10,26.730000,27.309999,25.700001,25.700001,25.028574,50800
2018-12-17,25.600000,26.250000,25.309999,25.400000,24.736410,109200
2018-12-24,25.400000,25.889999,24.510000,25.719999,25.048050,42900
2018-12-31,25.639999,26.200001,24.889999,26.150000,25.466818,37200
2019-01-07,26.150000,26.799999,25.219999,26.540001,25.846628,47700
2019-01-14,26.459999,26.459999,25.020000,25.270000,24.609810,71400
2019-01-21,25.330000,25.510000,24.730000,25.250000,24.590332,32800
2019-01-28,25.160000,25.389999,25.010000,25.299999,24.639023,31700
2019-02-04,25.070000,25.600000,24.469999,25.160000,24.728374,50200
2019-02-11,25.350000,25.840000,25.219999,25.600000,25.160828,50700
2019-02-18,25.629999,27.629999,25.540001,27.629999,27.156002,32000
2019-02-25,27.700001,28.799999,26.879999,28.799999,28.305931,41500
2019-03-04,28.799999,29.459999,27.500000,27.610001,27.136347,67000
2019-03-11,27.639999,28.350000,27.559999,28.000000,27.519655,47900
2019-03-18,28.010000,28.010000,26.500000,26.500000,26.045387,30200
2019-03-25,26.620001,27.410000,26.330000,27.410000,26.939775,61100
2019-04-01,27.420000,27.980000,26.030001,26.290001,25.838991,38500
2019-04-08,25.870001,27.139999,25.820000,26.770000,26.310757,21500
2019-04-15,26.770000,27.559999,26.450001,26.879999,26.418869,21700
2019-04-22,26.799999,27.950001,26.799999,27.490000,27.018404,19100
2019-04-29,27.379999,28.480000,26.840000,27.700001,27.224804,31200
2019-05-06,27.629999,28.700001,27.559999,28.700001,28.451605,40100
2019-05-13,28.700001,28.860001,27.139999,27.389999,27.152943,23400
2019-05-20,27.000000,27.990000,26.070000,27.090000,26.855539,48800
2019-05-27,26.920000,27.590000,26.059999,26.299999,26.072376,22700
2019-06-03,26.500000,27.170000,25.400000,25.600000,25.378435,59700
2019-06-10,25.629999,26.770000,25.629999,26.360001,26.131857,31100
2019-06-17,26.580000,27.430000,25.750000,27.000000,26.766317,32000
2019-06-24,27.000000,27.850000,25.830000,27.100000,26.865454,81900
2019-07-01,27.480000,27.480000,26.780001,27.100000,26.865454,10800
2019-07-08,27.040001,27.370001,26.219999,26.809999,26.577961,16700
2019-07-15,26.520000,27.370001,26.520000,27.200001,26.964588,26200
2019-07-22,27.280001,27.850000,27.010000,27.670000,27.430519,22700
2019-07-29,27.510000,27.900000,26.360001,26.770000,26.538309,46900
2019-08-05,26.709999,26.740000,25.799999,26.070000,26.070000,42600
