Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,52.049999,53.990002,52.000000,52.810001,51.021629,597000
2017-10-16,52.799999,56.310001,52.680000,55.610001,53.726807,643100
2017-10-23,55.639999,55.820000,52.759998,54.750000,52.895927,945500
2017-10-30,54.720001,54.770000,53.439999,53.799999,51.978104,659100
2017-11-06,54.000000,54.310001,52.000000,52.939999,51.147221,683200
2017-11-13,52.930000,55.599998,52.750000,55.369999,53.494934,871200
2017-11-20,55.570000,56.660000,54.400002,55.849998,54.214119,738400
2017-11-27,56.000000,58.110001,55.840000,57.119999,55.446922,844900
2017-12-04,57.430000,57.919998,55.540001,56.270000,54.621819,697600
2017-12-11,56.299999,57.169998,54.580002,56.680000,55.019810,1451500
2017-12-18,55.650002,56.590000,54.459999,56.099998,54.456799,918700
2017-12-25,56.230000,58.439999,56.230000,57.910000,56.213783,652700
2018-01-01,57.919998,58.259998,55.139999,55.520000,53.893784,1050300
2018-01-08,55.480000,56.919998,54.450001,54.919998,53.311359,999400
2018-01-15,54.950001,56.270000,54.869999,56.189999,54.544163,1026300
2018-01-22,56.439999,60.000000,55.290001,56.220001,54.573288,3069100
2018-01-29,55.869999,56.759998,54.919998,55.619999,53.990856,5089700
2018-02-05,55.290001,55.740002,50.330002,52.189999,50.661320,1939600
2018-02-12,52.220001,53.900002,51.540001,53.650002,52.078560,1001200
2018-02-19,53.540001,54.669998,52.419998,54.509998,53.170109,673600
2018-02-26,54.610001,55.950001,50.730000,51.240002,49.980488,1227100
2018-03-05,51.160000,52.369999,50.160000,52.009998,50.731564,1329400
2018-03-12,52.139999,54.240002,52.139999,54.060001,52.731174,1946100
2018-03-19,54.009998,55.450001,52.290001,52.299999,51.014431,1593100
2018-03-26,52.610001,54.000000,51.680000,53.060001,51.755749,1886600
2018-04-02,53.049999,53.779999,51.299999,52.610001,51.316814,1067200
2018-04-09,52.790001,53.490002,52.240002,53.220001,51.911823,720800
2018-04-16,53.509998,55.630001,53.410000,55.299999,53.940693,803900
2018-04-23,55.310001,57.900002,54.880001,56.009998,54.633240,1505400
2018-04-30,56.200001,56.630001,55.080002,56.369999,54.984386,2732800
2018-05-07,56.380001,56.700001,53.840000,55.840000,54.467415,1008200
2018-05-14,55.529999,55.599998,53.919998,54.660000,53.316422,798900
2018-05-21,54.759998,56.410000,53.930000,55.689999,54.570301,985400
2018-05-28,55.430000,57.990002,55.430000,56.360001,55.226833,710300
2018-06-04,56.619999,56.990002,54.340000,55.139999,54.031357,1066300
2018-06-11,55.049999,56.790001,54.250000,56.770000,55.628593,1027200
2018-06-18,56.720001,58.570000,56.470001,58.200001,57.029842,744600
2018-06-25,58.349998,58.820000,57.130001,57.160000,56.010750,729700
2018-07-02,57.130001,60.240002,57.130001,60.000000,58.793648,662000
2018-07-09,60.110001,60.349998,58.099998,59.509998,58.313496,893900
2018-07-16,59.580002,60.950001,58.939999,60.139999,58.930832,751700
2018-07-23,60.049999,61.660000,59.330002,60.330002,59.117016,844900
2018-07-30,60.169998,60.900002,58.630001,60.060001,58.852448,1637900
2018-08-06,60.250000,60.990002,58.709999,59.650002,58.450691,923100
2018-08-13,59.560001,60.480000,58.730000,60.439999,59.224800,582300
2018-08-20,60.540001,61.520000,60.080002,60.810001,59.864799,712100
2018-08-27,61.099998,61.099998,59.119999,60.430000,59.490704,637800
2018-09-03,60.270000,61.660000,60.009998,61.169998,60.219196,471200
2018-09-10,61.389999,61.590000,60.070000,61.400002,60.445629,589400
2018-09-17,60.450001,60.959999,58.490002,59.770000,58.840961,1145200
2018-09-24,59.770000,61.400002,58.259998,61.139999,60.189667,784500
2018-10-01,61.240002,61.240002,59.740002,60.290001,59.352882,905500
2018-10-08,60.389999,62.500000,58.480000,58.900002,57.984482,816900
2018-10-15,58.830002,62.549999,58.740002,62.279999,61.311943,774900
2018-10-22,62.349998,63.200001,60.259998,60.820000,59.874641,1079900
2018-10-29,61.099998,62.990002,60.009998,61.060001,60.110909,1595700
