Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,7.350000,7.350000,6.740000,6.850000,6.850000,24900
2017-10-16,6.840000,6.950000,6.440000,6.710000,6.710000,15000
2017-10-23,6.680000,7.180000,6.630000,7.180000,7.180000,5400
2017-10-30,7.180000,7.180000,6.970000,7.140000,7.140000,5700
2017-11-06,7.000000,7.200000,6.900000,7.000000,7.000000,28000
2017-11-13,7.000000,7.000000,6.820000,6.850000,6.850000,8700
2017-11-20,6.930000,6.970000,6.840000,6.970000,6.970000,7000
2017-11-27,6.890000,6.960000,6.820000,6.900000,6.900000,19700
2017-12-04,6.850000,7.120000,6.820000,7.010000,7.010000,17100
2017-12-11,7.040000,7.050000,6.920000,6.920000,6.920000,16200
2017-12-18,6.950000,7.020000,6.950000,6.990000,6.990000,9400
2017-12-25,6.970000,7.020000,6.920000,7.020000,7.020000,25500
2018-01-01,6.910000,7.050000,6.900000,7.020000,7.020000,4700
2018-01-08,7.050000,7.100000,7.020000,7.090000,7.090000,10400
2018-01-15,7.100000,7.200000,7.050000,7.150000,7.150000,15400
2018-01-22,7.130000,7.290000,6.990000,7.150000,7.150000,25500
2018-01-29,7.200000,7.650000,7.200000,7.650000,7.650000,40700
2018-02-05,7.650000,7.650000,7.350000,7.510000,7.510000,2700
2018-02-12,7.590000,7.590000,7.490000,7.520000,7.520000,5900
2018-02-19,7.470000,7.710000,7.470000,7.580000,7.580000,2000
2018-02-26,7.570000,7.650000,7.570000,7.590000,7.590000,2200
2018-03-05,7.590000,7.600000,7.190000,7.190000,7.190000,18900
2018-03-12,7.190000,7.300000,7.190000,7.260000,7.260000,7700
2018-03-19,7.290000,7.400000,7.270000,7.380000,7.380000,19800
2018-03-26,7.400000,7.400000,7.150000,7.190000,7.190000,25100
2018-04-02,7.120000,7.550000,6.970000,7.270000,7.270000,19000
2018-04-09,7.340000,7.470000,7.250000,7.350000,7.350000,5000
2018-04-16,7.350000,7.390000,7.260000,7.390000,7.390000,3300
2018-04-23,7.390000,7.390000,7.150000,7.180000,7.180000,5400
2018-04-30,7.250000,7.250000,7.050000,7.210000,7.210000,14500
2018-05-07,7.250000,7.250000,7.210000,7.210000,7.210000,4200
2018-05-14,7.210000,7.250000,7.160000,7.210000,7.210000,6900
2018-05-21,7.240000,7.240000,7.000000,7.160000,7.160000,10100
2018-05-28,7.040000,7.110000,6.890000,7.080000,7.080000,14900
2018-06-04,7.150000,7.150000,6.870000,6.870000,6.870000,8400
2018-06-11,6.910000,7.160000,6.910000,7.160000,7.160000,5100
2018-06-18,7.120000,7.160000,7.000000,7.120000,7.120000,6400
2018-06-25,7.120000,7.160000,7.120000,7.130000,7.130000,1800
2018-07-02,7.130000,7.190000,7.130000,7.190000,7.190000,2500
2018-07-09,7.150000,7.240000,7.050000,7.070000,7.070000,7800
2018-07-16,7.130000,7.230000,7.130000,7.210000,7.210000,2100
2018-07-23,7.300000,7.400000,7.260000,7.400000,7.400000,1900
2018-07-30,7.400000,7.400000,7.320000,7.360000,7.360000,2600
2018-08-06,7.360000,7.360000,7.360000,7.360000,7.360000,100
2018-08-13,7.360000,7.400000,7.190000,7.400000,7.400000,3600
2018-08-20,7.400000,7.430000,7.310000,7.430000,7.430000,3100
2018-08-27,7.450000,7.450000,7.410000,7.410000,7.410000,500
2018-09-03,7.410000,7.410000,7.410000,7.410000,7.410000,0
2018-09-10,7.450000,9.000000,7.450000,8.910000,8.910000,37600
2018-09-17,8.890000,9.880000,8.040000,8.040000,8.040000,48600
2018-09-24,7.530000,7.600000,7.000000,7.310000,7.310000,11800
2018-10-01,7.280000,7.830000,7.280000,7.430000,7.430000,4500
2018-10-08,7.220000,7.320000,6.500000,7.030000,7.030000,14800
2018-10-15,7.000000,7.810000,6.860000,7.570000,7.570000,71400
