Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,0.000100,0.000100,0.000100,0.000100,0.000100,5000
2019-01-14,0.000100,0.000100,0.000100,0.000100,0.000100,0
2019-01-21,0.000100,0.000100,0.000100,0.000100,0.000100,483384
2019-01-28,0.000100,0.000100,0.000100,0.000100,0.000100,0
2019-02-04,0.000100,0.010000,0.000100,0.000100,0.000100,20000
2019-02-11,0.000100,0.000100,0.000100,0.000100,0.000100,0
2019-02-18,0.000100,0.003000,0.000100,0.003000,0.003000,53788
2019-02-25,0.003000,0.003000,0.003000,0.003000,0.003000,3045
2019-03-04,0.003000,0.003000,0.002600,0.003000,0.003000,37496
2019-03-11,0.003000,0.003000,0.003000,0.003000,0.003000,1000
2019-03-18,0.003000,0.003000,0.002000,0.002100,0.002100,309640
2019-03-25,0.002000,0.002000,0.001000,0.001500,0.001500,41650
2019-04-01,0.001500,0.001580,0.001500,0.001580,0.001580,51179
2019-04-08,0.001500,0.001500,0.001500,0.001500,0.001500,9000
2019-04-15,0.002000,0.002000,0.001500,0.001500,0.001500,18511
2019-04-22,0.002000,0.002000,0.001100,0.001100,0.001100,121090
2019-04-29,0.001100,0.001500,0.001100,0.001500,0.001500,50032
2019-05-06,0.001500,0.001500,0.001100,0.001500,0.001500,135400
2019-05-13,0.001500,0.005700,0.001500,0.005700,0.005700,43479
2019-05-20,0.005700,0.005700,0.001500,0.001500,0.001500,213350
2019-05-27,0.001500,0.001500,0.001500,0.001500,0.001500,10600
2019-06-03,0.001500,0.027200,0.001500,0.001500,0.001500,2650
2019-06-10,0.001500,0.002000,0.001500,0.001500,0.001500,6000
2019-06-17,0.001500,0.002000,0.001500,0.001500,0.001500,400
2019-06-24,0.001350,0.002000,0.001350,0.001500,0.001500,47213
2019-07-01,0.001750,0.002000,0.001200,0.001200,0.001200,51750
2019-07-08,0.001750,0.001750,0.001200,0.001500,0.001500,22520
2019-07-15,0.001750,0.002000,0.001500,0.002000,0.002000,17500
2019-07-22,0.001500,0.002000,0.001100,0.001500,0.001500,264900
2019-07-29,0.001300,0.001300,0.001100,0.001100,0.001100,6080
2019-08-05,0.001500,0.003500,0.001400,0.002000,0.002000,394874
2019-08-12,0.001100,0.002000,0.001100,0.001100,0.001100,96300
2019-08-19,0.001100,0.002000,0.001100,0.001550,0.001550,123718
2019-08-26,0.001150,0.004000,0.001100,0.003000,0.003000,537528
2019-09-02,0.003000,0.003000,0.002000,0.002000,0.002000,8500
2019-09-09,0.002000,0.002000,0.001100,0.001500,0.001500,44490
2019-09-16,0.001100,0.001200,0.001000,0.001200,0.001200,134192
2019-09-23,0.001000,0.001500,0.001000,0.001300,0.001300,95400
2019-09-30,0.001300,0.001300,0.001000,0.001100,0.001100,1031640
2019-10-07,0.001000,0.001100,0.000800,0.001000,0.001000,497316
2019-10-08,0.000800,0.001000,0.001000,0.001000,0.001000,44
