Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,7.250000,7.300000,6.980000,7.150000,7.150000,574000
2017-10-16,7.150000,7.250000,6.900000,6.950000,6.950000,462600
2017-10-23,6.950000,8.050000,6.850000,7.850000,7.850000,1751000
2017-10-30,7.800000,8.150000,7.560000,7.750000,7.750000,1125600
2017-11-06,7.700000,7.900000,7.130000,7.350000,7.350000,690000
2017-11-13,7.400000,7.550000,7.050000,7.400000,7.400000,632200
2017-11-20,7.400000,7.650000,7.350000,7.550000,7.550000,477500
2017-11-27,7.500000,7.700000,7.050000,7.250000,7.250000,941000
2017-12-04,7.250000,7.350000,6.900000,6.900000,6.900000,594400
2017-12-11,6.900000,7.230000,6.850000,7.050000,7.050000,717700
2017-12-18,7.100000,7.300000,6.750000,6.750000,6.750000,505500
2017-12-25,6.750000,7.150000,6.600000,7.100000,7.100000,551400
2018-01-01,7.100000,7.350000,7.010000,7.150000,7.150000,779600
2018-01-08,7.150000,7.300000,6.880000,7.100000,7.100000,456300
2018-01-15,7.100000,7.200000,6.800000,6.980000,6.980000,647000
2018-01-22,7.000000,7.050000,6.700000,7.000000,7.000000,741900
2018-01-29,7.000000,7.000000,6.650000,6.750000,6.750000,504200
2018-02-05,6.750000,6.850000,6.300000,6.750000,6.750000,815700
2018-02-12,6.750000,6.900000,6.650000,6.800000,6.800000,564500
2018-02-19,6.800000,7.850000,6.800000,7.150000,7.150000,772000
2018-02-26,7.200000,7.350000,6.800000,6.950000,6.950000,1297600
2018-03-05,6.950000,7.250000,6.900000,7.200000,7.200000,814500
2018-03-12,7.200000,7.300000,6.850000,6.950000,6.950000,662600
2018-03-19,6.950000,7.200000,6.830000,6.950000,6.950000,1107700
2018-03-26,7.000000,7.200000,6.800000,6.950000,6.950000,799200
2018-04-02,7.000000,7.150000,6.830000,7.050000,7.050000,470400
2018-04-09,7.050000,7.410000,6.860000,7.030000,7.030000,641300
2018-04-16,7.100000,7.700000,6.950000,7.350000,7.350000,2531500
2018-04-23,7.400000,9.600000,7.350000,9.250000,9.250000,2659300
2018-04-30,9.150000,9.950000,9.000000,9.780000,9.780000,2297100
2018-05-07,9.800000,10.450000,9.600000,10.050000,10.050000,1674000
2018-05-14,10.100000,10.600000,9.800000,10.150000,10.150000,1427800
2018-05-21,10.150000,10.650000,9.650000,10.500000,10.500000,1878200
2018-05-28,10.400000,10.550000,9.960000,10.450000,10.450000,664000
2018-06-04,10.500000,10.600000,10.150000,10.150000,10.150000,631700
2018-06-11,10.100000,10.750000,9.970000,10.550000,10.550000,1058100
2018-06-18,10.500000,10.750000,9.550000,9.600000,9.600000,1159500
2018-06-25,9.600000,9.950000,9.400000,9.650000,9.650000,787900
2018-07-02,9.600000,9.980000,9.600000,9.800000,9.800000,439500
2018-07-09,9.800000,9.800000,9.450000,9.500000,9.500000,506100
2018-07-16,9.550000,9.650000,9.350000,9.400000,9.400000,620400
2018-07-23,9.400000,9.550000,8.200000,8.500000,8.500000,1486100
2018-07-30,8.450000,8.800000,8.000000,8.050000,8.050000,1914200
2018-08-06,8.050000,8.200000,7.950000,8.070000,8.070000,1019100
2018-08-13,8.050000,8.230000,7.850000,8.130000,8.130000,696400
2018-08-20,8.150000,8.300000,8.050000,8.200000,8.200000,658700
2018-08-27,8.200000,8.350000,8.150000,8.200000,8.200000,686900
2018-09-03,8.150000,8.450000,8.050000,8.250000,8.250000,541800
2018-09-10,8.250000,8.450000,8.050000,8.050000,8.050000,585700
2018-09-17,8.100000,8.350000,8.100000,8.250000,8.250000,939500
2018-09-24,8.200000,8.400000,8.100000,8.400000,8.400000,445600
2018-10-01,8.390000,8.390000,8.000000,8.070000,8.070000,554300
2018-10-08,8.020000,8.270000,7.700000,7.720000,7.720000,860700
2018-10-15,7.700000,8.140000,7.630000,7.820000,7.820000,504700
2018-10-22,7.850000,8.090000,7.770000,7.960000,7.960000,501100
2018-10-29,8.000000,8.320000,6.950000,7.550000,7.550000,1005800
2018-11-05,7.510000,7.890000,7.290000,7.440000,7.440000,1035400
2018-11-12,7.410000,7.620000,7.160000,7.270000,7.270000,843200
2018-11-19,7.250000,7.270000,6.900000,7.060000,7.060000,345700
2018-11-26,7.100000,7.230000,6.910000,7.180000,7.180000,500400
2018-12-03,7.250000,7.250000,6.880000,7.030000,7.030000,436100
2018-12-10,7.040000,7.470000,6.990000,7.390000,7.390000,551800
2018-12-17,7.390000,7.460000,6.990000,6.990000,6.990000,880200
2018-12-24,6.970000,7.150000,6.950000,7.070000,7.070000,325000
2018-12-31,7.080000,7.170000,6.900000,7.100000,7.100000,409900
2019-01-07,7.070000,7.520000,7.070000,7.370000,7.370000,508000
2019-01-14,7.340000,7.460000,7.140000,7.280000,7.280000,472800
2019-01-21,7.230000,7.670000,7.230000,7.610000,7.610000,484900
2019-01-28,7.550000,8.030000,7.470000,7.970000,7.970000,642400
2019-02-04,7.970000,8.610000,7.750000,8.590000,8.590000,490700
2019-02-11,8.580000,8.810000,7.880000,8.580000,8.580000,958900
2019-02-18,8.400000,8.570000,8.160000,8.420000,8.420000,423800
2019-02-25,8.480000,8.950000,8.360000,8.940000,8.940000,662900
2019-03-04,8.950000,9.070000,8.080000,8.490000,8.490000,533700
2019-03-11,8.540000,8.540000,8.050000,8.130000,8.130000,792500
2019-03-18,8.150000,8.540000,8.070000,8.150000,8.150000,621200
2019-03-25,8.140000,8.540000,8.120000,8.410000,8.410000,449200
2019-04-01,8.410000,8.470000,8.070000,8.280000,8.280000,386700
2019-04-08,8.270000,8.700000,8.150000,8.610000,8.610000,367500
2019-04-15,8.620000,8.640000,8.190000,8.390000,8.390000,261500
2019-04-22,8.400000,10.490000,8.360000,9.980000,9.980000,1252700
2019-04-29,10.000000,10.320000,9.730000,9.980000,9.980000,1123800
2019-05-06,9.760000,10.050000,9.490000,9.770000,9.770000,779500
2019-05-13,9.640000,10.360000,9.630000,10.280000,10.280000,895400
2019-05-20,10.230000,10.690000,10.090000,10.390000,10.390000,473800
2019-05-27,10.380000,10.520000,9.940000,9.980000,9.980000,310900
2019-06-03,9.970000,10.310000,9.610000,10.280000,10.280000,612600
2019-06-10,10.240000,10.410000,9.910000,10.030000,10.030000,367800
2019-06-17,10.060000,10.620000,10.020000,10.400000,10.400000,594000
2019-06-24,10.450000,10.500000,9.830000,10.330000,10.330000,1187700
2019-07-01,10.310000,10.610000,10.130000,10.410000,10.410000,266600
2019-07-08,10.340000,10.980000,10.210000,10.970000,10.970000,707200
2019-07-15,10.950000,11.790000,10.930000,11.380000,11.380000,888000
2019-07-22,11.360000,12.820000,11.240000,11.790000,11.790000,1073000
2019-07-29,11.680000,12.810000,11.540000,12.290000,12.290000,1456500
2019-08-05,12.070000,12.370000,11.800000,12.190000,12.190000,894700
2019-08-12,12.110000,12.350000,11.690000,11.940000,11.940000,630700
2019-08-19,12.040000,12.880000,11.930000,12.110000,12.110000,1295500
2019-08-26,12.160000,12.450000,12.050000,12.330000,12.330000,638300
2019-09-02,12.220000,12.650000,11.810000,11.820000,11.820000,565800
2019-09-09,11.810000,11.810000,10.440000,11.210000,11.210000,763000
2019-09-16,11.190000,11.320000,10.620000,10.880000,10.880000,651700
2019-09-23,10.810000,10.940000,10.080000,10.500000,10.500000,1071800
2019-09-30,10.500000,10.550000,9.790000,10.450000,10.450000,1216600
2019-10-07,10.450000,10.830000,10.410000,10.550000,10.550000,517800
2019-10-10,10.650000,10.658600,10.490000,10.550000,10.550000,114586
