Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,9.500000,9.500000,9.500000,9.500000,9.500000,0
2017-10-16,9.500000,10.750000,9.250000,9.250000,9.250000,1100
2017-10-23,9.250000,9.250000,9.250000,9.250000,9.250000,0
2017-10-30,9.250000,10.500000,9.250000,9.990000,9.990000,800
2017-11-06,9.600000,9.600000,9.500000,9.500000,9.500000,2400
2017-11-13,9.500000,9.500000,9.400000,9.400000,9.400000,100
2017-11-20,9.400000,9.600000,9.400000,9.400000,9.400000,1500
2017-11-27,9.400000,9.500000,9.250000,9.250000,9.250000,2300
2017-12-04,9.250000,9.250000,9.250000,9.250000,9.250000,0
2017-12-11,9.250000,9.250000,9.250000,9.250000,9.250000,0
2017-12-18,9.250000,9.500000,9.250000,9.500000,9.500000,1300
2017-12-25,9.500000,10.000000,9.500000,9.600000,9.600000,4800
2018-01-01,10.050000,10.250000,10.000000,10.250000,10.250000,2300
2018-01-08,10.150000,10.450000,9.150000,10.450000,10.450000,5500
2018-01-15,10.350000,10.350000,9.800000,9.800000,9.800000,1300
2018-01-22,10.000000,10.250000,9.950000,10.250000,10.250000,1500
2018-01-29,10.250000,10.260000,9.500000,9.750000,9.750000,3100
2018-02-05,9.550000,9.550000,9.140000,9.250000,9.250000,4200
2018-02-12,9.140000,9.350000,9.140000,9.300000,9.300000,4100
2018-02-19,9.400000,9.400000,9.400000,9.400000,9.400000,900
2018-02-26,9.400000,9.450000,9.300000,9.300000,9.300000,1800
2018-03-05,9.300000,9.500000,9.300000,9.500000,9.500000,300
2018-03-12,9.400000,9.450000,9.350000,9.450000,9.450000,5400
2018-03-19,9.450000,9.500000,9.450000,9.500000,9.500000,900
2018-03-26,9.500000,9.500000,9.350000,9.500000,9.500000,1000
2018-04-02,9.500000,9.500000,9.400000,9.400000,9.400000,1300
2018-04-09,9.400000,9.450000,9.400000,9.400000,9.400000,8600
2018-04-16,9.300000,9.300000,9.300000,9.300000,9.300000,100
2018-04-23,9.300000,9.300000,8.560000,9.190000,9.190000,3800
2018-04-30,9.190000,9.190000,8.610000,8.700000,8.700000,1600
2018-05-07,9.000000,9.200000,9.000000,9.200000,9.200000,1900
2018-05-14,9.200000,9.200000,8.850000,9.000000,9.000000,4700
2018-05-21,9.100000,9.100000,8.850000,8.850000,8.850000,1200
2018-05-28,8.850000,8.850000,8.600000,8.600000,8.600000,500
2018-06-04,8.600000,8.900000,8.600000,8.900000,8.900000,2400
2018-06-11,8.900000,8.900000,8.250000,8.400000,8.400000,3000
2018-06-18,8.400000,8.400000,8.250000,8.300000,8.300000,1500
2018-06-25,8.350000,8.350000,8.250000,8.250000,8.250000,1200
2018-07-02,8.250000,8.250000,8.200000,8.250000,8.250000,900
2018-07-09,8.200000,8.250000,8.200000,8.200000,8.200000,4100
2018-07-16,8.200000,8.250000,8.200000,8.200000,8.200000,1900
2018-07-23,8.200000,8.210000,8.200000,8.210000,8.210000,1200
2018-07-30,8.210000,8.210000,8.210000,8.210000,8.210000,100
2018-08-06,8.200000,8.390000,8.200000,8.300000,8.300000,2600
2018-08-13,8.210000,8.210000,8.000000,8.000000,8.000000,5800
2018-08-20,8.010000,8.010000,7.900000,7.940000,7.940000,2600
2018-08-27,7.910000,8.030000,7.910000,8.000000,8.000000,3600
2018-09-03,8.000000,8.000000,8.000000,8.000000,8.000000,200
2018-09-10,8.000000,8.000000,7.850000,7.850000,7.850000,900
2018-09-17,7.850000,7.850000,7.750000,7.750000,7.750000,500
2018-09-24,7.750000,8.250000,7.650000,8.100000,8.100000,6900
2018-10-01,8.250000,8.900000,8.250000,8.750000,8.750000,11200
2018-10-08,8.800000,8.950000,8.310000,8.900000,8.900000,2400
2018-10-15,8.850000,8.850000,8.000000,8.000000,8.000000,1200
2018-10-22,8.390000,8.390000,6.500000,6.500000,6.500000,2500
2018-10-29,6.700000,6.750000,6.500000,6.700000,6.700000,3000
2018-11-05,6.700000,7.500000,6.700000,7.000000,7.000000,3200
2018-11-12,7.000000,7.050000,6.750000,7.000000,7.000000,1200
2018-11-19,7.000000,7.000000,7.000000,7.000000,7.000000,200
2018-11-26,7.490000,7.490000,7.250000,7.300000,7.300000,2400
2018-12-03,7.500000,8.000000,7.250000,7.250000,7.250000,6100
2018-12-10,7.250000,7.250000,7.000000,7.000000,7.000000,6000
2018-12-17,7.000000,7.000000,6.850000,7.000000,7.000000,5700
2018-12-24,6.860000,7.000000,6.860000,6.860000,6.860000,5400
2018-12-31,6.860000,6.900000,6.860000,6.900000,6.900000,300
2019-01-07,7.000000,7.000000,6.920000,6.920000,6.920000,600
2019-01-14,6.920000,7.020000,6.920000,6.920000,6.920000,1300
2019-01-21,6.920000,7.500000,6.920000,7.000000,7.000000,2600
2019-01-28,7.400000,8.150000,7.400000,8.150000,8.150000,2700
2019-02-04,8.100000,8.200000,7.250000,7.750000,7.750000,1300
2019-02-11,7.150000,7.300000,7.120000,7.130000,7.130000,1000
2019-02-18,7.130000,7.130000,7.130000,7.130000,7.130000,100
2019-02-25,7.130000,8.000000,7.130000,8.000000,8.000000,1000
2019-03-04,8.000000,8.000000,7.250000,7.500000,7.500000,1200
2019-03-11,7.500000,7.500000,7.200000,7.200000,7.200000,800
2019-03-18,7.250000,7.800000,7.150000,7.800000,7.800000,1500
2019-03-25,7.300000,7.300000,7.150000,7.150000,7.150000,600
2019-04-01,7.150000,7.150000,7.150000,7.150000,7.150000,0
2019-04-08,7.150000,7.800000,7.150000,7.800000,7.800000,4600
