Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,5.900000,5.950000,5.750000,5.750000,4.495922,86500
2017-10-16,5.850000,5.950000,5.650000,5.650000,4.417732,174700
2017-10-23,5.800000,5.800000,5.600000,5.640000,4.409912,132600
2017-10-30,5.700000,5.800000,5.600000,5.750000,4.495922,177900
2017-11-06,5.650000,5.750000,5.400000,5.450000,4.371592,240800
2017-11-13,5.400000,5.550000,5.300000,5.450000,4.371592,215200
2017-11-20,5.450000,5.450000,5.050000,5.150000,4.130954,433300
2017-11-27,5.200000,5.430000,5.050000,5.300000,4.251273,407400
2017-12-04,5.300000,5.300000,4.860000,5.100000,4.090848,746400
2017-12-11,5.100000,5.200000,4.720000,4.750000,3.810103,712900
2017-12-18,4.800000,5.250000,4.650000,5.150000,4.130954,639200
2017-12-25,5.200000,5.400000,5.050000,5.100000,4.090848,374800
2018-01-01,5.100000,5.400000,5.100000,5.300000,4.251273,459500
2018-01-08,5.250000,5.300000,5.000000,5.230000,4.195124,572900
2018-01-15,5.150000,5.500000,5.150000,5.430000,4.355549,289200
2018-01-22,5.450000,5.600000,5.170000,5.450000,4.371592,4784400
2018-01-29,5.400000,5.580000,5.250000,5.350000,4.291379,434300
2018-02-05,5.250000,5.340000,4.950000,5.030000,4.144978,377400
2018-02-12,5.100000,5.250000,5.050000,5.100000,4.202662,122600
2018-02-19,5.100000,5.150000,4.950000,5.000000,4.120256,168400
2018-02-26,5.000000,5.150000,4.800000,4.800000,3.955446,476200
2018-03-05,4.800000,4.850000,4.650000,4.800000,3.955446,414100
2018-03-12,4.750000,4.800000,4.550000,4.550000,3.749434,365300
2018-03-19,4.550000,4.600000,4.280000,4.350000,3.584623,399400
2018-03-26,4.300000,4.300000,4.050000,4.250000,3.502218,421900
2018-04-02,4.250000,4.850000,4.250000,4.550000,3.749434,316000
2018-04-09,4.550000,4.550000,4.300000,4.400000,3.625825,277800
2018-04-16,4.350000,4.650000,4.300000,4.400000,3.625825,247000
2018-04-23,4.450000,4.550000,4.300000,4.400000,3.625825,436900
2018-04-30,4.450000,4.800000,4.300000,4.350000,3.584623,420800
2018-05-07,4.400000,4.500000,3.650000,3.680000,3.127995,1248900
2018-05-14,3.700000,3.750000,3.300000,3.550000,3.017495,1457700
2018-05-21,3.550000,3.900000,3.550000,3.800000,3.229995,1054100
2018-05-28,3.850000,3.850000,3.550000,3.800000,3.229995,1025900
2018-06-04,3.800000,3.850000,3.500000,3.550000,3.017495,806800
2018-06-11,3.550000,3.900000,3.500000,3.700000,3.144995,1322300
2018-06-18,3.750000,3.800000,3.450000,3.480000,2.957995,1081800
2018-06-25,3.500000,3.610000,3.250000,3.400000,2.889995,1494300
2018-07-02,3.500000,3.500000,3.300000,3.350000,2.847495,418400
2018-07-09,3.400000,3.450000,3.250000,3.250000,2.762495,1305500
2018-07-16,3.250000,3.300000,2.900000,2.930000,2.490496,1425900
2018-07-23,3.000000,3.050000,2.750000,2.830000,2.405496,1154100
2018-07-30,2.850000,3.000000,2.700000,2.800000,2.379996,737200
2018-08-06,2.800000,3.000000,2.650000,2.800000,2.446337,1123800
2018-08-13,2.850000,2.900000,2.600000,2.650000,2.315283,1241700
2018-08-20,2.700000,2.750000,2.550000,2.600000,2.271599,1672800
2018-08-27,2.600000,2.700000,2.450000,2.450000,2.140545,1328700
2018-09-03,2.400000,2.550000,2.350000,2.380000,2.079387,850500
2018-09-10,2.400000,2.520000,2.350000,2.500000,2.184230,743200
2018-09-17,2.500000,2.500000,2.350000,2.400000,2.096860,509600
2018-09-24,2.400000,2.450000,2.090000,2.100000,1.834753,2955700
2018-10-01,2.160000,2.400000,2.140000,2.210000,1.930859,670300
2018-10-08,2.220000,2.370000,2.100000,2.110000,1.843490,462500
2018-10-15,2.130000,2.200000,2.100000,2.110000,1.843490,849400
2018-10-22,2.110000,2.150000,1.950000,2.080000,1.817279,780700
2018-10-29,2.090000,2.270000,2.090000,2.130000,1.860964,1293900
2018-11-05,2.140000,2.170000,2.000000,2.040000,1.848344,1179500
2018-11-12,2.060000,2.090000,1.960000,1.990000,1.803041,903400
2018-11-19,1.990000,1.990000,1.780000,1.850000,1.676194,1387500
2018-11-26,1.830000,1.970000,1.680000,1.710000,1.549347,897200
2018-12-03,1.730000,1.750000,1.600000,1.650000,1.494984,789600
2018-12-10,1.660000,1.710000,1.580000,1.600000,1.449681,752600
2018-12-17,1.590000,1.620000,1.170000,1.170000,1.060079,2139000
2018-12-24,1.150000,1.220000,1.060000,1.160000,1.051019,1996000
2018-12-31,1.190000,1.520000,1.100000,1.480000,1.340955,1640700
2019-01-07,1.510000,1.720000,1.420000,1.690000,1.531226,1493600
2019-01-14,1.710000,1.870000,1.610000,1.790000,1.621831,778000
2019-01-21,1.820000,1.940000,1.720000,1.930000,1.748678,477200
2019-01-28,1.920000,2.400000,1.850000,2.210000,2.002373,1876100
2019-02-04,2.220000,2.250000,1.990000,2.000000,1.877110,680200
2019-02-11,2.000000,2.020000,1.870000,1.940000,1.820797,817900
2019-02-18,1.940000,2.000000,1.890000,1.930000,1.811411,726000
2019-02-25,1.950000,2.000000,1.110000,1.180000,1.107495,3928700
2019-03-04,1.210000,1.250000,1.110000,1.140000,1.069953,1532600
2019-03-11,1.170000,1.210000,1.040000,1.060000,0.994868,3036400
2019-03-18,1.070000,1.140000,1.020000,1.060000,0.994868,2051300
2019-03-25,1.060000,1.090000,1.000000,1.030000,0.966712,2350200
2019-04-01,1.040000,1.060000,1.010000,1.040000,0.976097,1171700
2019-04-08,1.040000,1.220000,1.020000,1.200000,1.126266,1428000
2019-04-15,1.230000,1.250000,1.050000,1.080000,1.013639,1176800
2019-04-22,1.100000,1.200000,1.090000,1.200000,1.126266,1171000
