Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,2.580000,2.700000,2.470000,2.510000,2.510000,67700
2017-10-16,2.550000,2.640000,2.330000,2.480000,2.480000,41900
2017-10-23,2.520000,2.540000,2.250000,2.450000,2.450000,26200
2017-10-30,2.360000,2.550000,1.860000,1.990000,1.990000,131900
2017-11-06,2.080000,2.080000,1.620000,1.830000,1.830000,88100
2017-11-13,1.790000,2.350000,1.540000,1.680000,1.680000,521300
2017-11-20,1.740000,1.740000,1.500000,1.520000,1.520000,58300
2017-11-27,1.540000,1.600000,1.200000,1.470000,1.470000,206300
2017-12-04,1.470000,1.560000,1.360000,1.370000,1.370000,187300
2017-12-11,1.400000,1.500000,1.250000,1.330000,1.330000,144200
2017-12-18,1.290000,2.720000,1.250000,1.960000,1.960000,1352300
2017-12-25,1.940000,2.030000,1.590000,1.770000,1.770000,174000
2018-01-01,1.900000,2.610000,1.560000,2.170000,2.170000,217700
2018-01-08,2.180000,2.380000,2.050000,2.100000,2.100000,122400
2018-01-15,2.200000,2.300000,1.830000,1.980000,1.980000,81000
2018-01-22,1.990000,2.150000,1.860000,2.020000,2.020000,48400
2018-01-29,2.050000,2.100000,1.760000,1.990000,1.990000,63800
2018-02-05,1.860000,2.040000,1.750000,1.900000,1.900000,98300
2018-02-12,1.860000,2.170000,1.810000,2.040000,2.040000,86700
2018-02-19,2.000000,2.230000,1.950000,2.150000,2.150000,201800
2018-02-26,2.150000,2.180000,1.760000,1.980000,1.980000,117000
2018-03-05,1.980000,2.000000,1.700000,2.000000,2.000000,73500
2018-03-12,1.990000,2.030000,1.950000,2.000000,2.000000,157300
2018-03-19,1.990000,2.030000,1.900000,1.960000,1.960000,80600
2018-03-26,1.990000,2.250000,1.900000,2.150000,2.150000,263600
2018-04-02,2.160000,2.400000,1.860000,2.400000,2.400000,259100
2018-04-09,2.400000,2.400000,2.030000,2.210000,2.210000,135900
2018-04-16,2.220000,2.240000,2.010000,2.100000,2.100000,122900
2018-04-23,2.120000,2.180000,2.030000,2.120000,2.120000,124100
2018-04-30,2.140000,2.590000,2.110000,2.510000,2.510000,156200
2018-05-07,2.540000,2.590000,2.340000,2.410000,2.410000,89200
2018-05-14,2.380000,2.400000,2.010000,2.290000,2.290000,152600
2018-05-21,2.280000,2.430000,2.160000,2.250000,2.250000,47000
2018-05-28,2.290000,2.300000,2.120000,2.230000,2.230000,52600
2018-06-04,2.320000,3.640000,2.200000,2.320000,2.320000,2760700
2018-06-11,2.340000,2.540000,2.170000,2.420000,2.420000,222900
2018-06-18,2.390000,3.140000,2.350000,2.620000,2.620000,480900
2018-06-25,2.560000,2.700000,2.290000,2.650000,2.650000,232300
2018-07-02,2.590000,2.740000,2.520000,2.550000,2.550000,91600
2018-07-09,2.600000,2.600000,2.320000,2.350000,2.350000,156200
2018-07-16,2.350000,2.700000,2.230000,2.310000,2.310000,445500
2018-07-23,2.310000,2.340000,2.100000,2.140000,2.140000,112200
2018-07-30,2.190000,2.230000,1.940000,2.060000,2.060000,135100
2018-08-06,2.020000,2.060000,1.810000,1.860000,1.860000,114600
2018-08-13,1.920000,1.920000,1.480000,1.790000,1.790000,46200
2018-08-20,1.820000,2.120000,1.560000,1.700000,1.700000,103200
2018-08-27,1.700000,1.750000,1.600000,1.720000,1.720000,60400
2018-09-03,1.720000,1.760000,1.700000,1.700000,1.700000,39200
2018-09-10,1.700000,1.720000,1.550000,1.550000,1.550000,60600
2018-09-17,1.550000,1.560000,1.430000,1.460000,1.460000,77900
2018-09-24,1.440000,1.850000,1.260000,1.390000,1.390000,383300
2018-10-01,1.370000,1.580000,1.320000,1.580000,1.580000,56100
2018-10-08,1.540000,1.540000,1.340000,1.380000,1.380000,34800
2018-10-15,1.360000,1.380000,1.240000,1.240000,1.240000,90800
2018-10-22,1.250000,1.250000,1.050000,1.150000,1.150000,115900
2018-10-29,1.060000,1.150000,1.020000,1.100000,1.100000,111600
2018-11-05,1.110000,1.320000,1.110000,1.310000,1.310000,118600
2018-11-12,1.250000,1.330000,1.070000,1.140000,1.140000,179100
2018-11-19,1.140000,1.280000,1.070000,1.260000,1.260000,33200
2018-11-26,1.260000,1.410000,1.180000,1.330000,1.330000,98400
2018-12-03,1.340000,1.410000,1.320000,1.330000,1.330000,26100
2018-12-10,1.330000,1.360000,1.230000,1.230000,1.230000,45900
2018-12-17,1.260000,1.290000,1.160000,1.200000,1.200000,105500
2018-12-24,1.180000,1.200000,0.820000,0.870000,0.870000,80400
2018-12-31,0.880000,0.950000,0.750000,0.950000,0.950000,115300
2019-01-07,0.960000,1.090000,0.800000,0.840000,0.840000,32500
2019-01-14,0.850000,0.930000,0.850000,0.930000,0.930000,35200
2019-01-21,0.940000,1.340000,0.910000,1.190000,1.190000,234900
2019-01-28,1.230000,1.620000,1.100000,1.610000,1.610000,566100
2019-02-04,1.620000,1.620000,1.170000,1.240000,1.240000,186900
2019-02-11,1.250000,1.600000,1.170000,1.380000,1.380000,123900
2019-02-18,1.380000,1.380000,1.190000,1.210000,1.210000,70200
2019-02-25,1.250000,1.270000,1.030000,1.050000,1.050000,84300
2019-03-04,1.050000,1.120000,1.030000,1.040000,1.040000,83100
2019-03-11,1.060000,1.200000,1.030000,1.150000,1.150000,57600
2019-03-18,1.190000,1.350000,1.140000,1.240000,1.240000,100300
2019-03-25,1.240000,1.540000,1.160000,1.470000,1.470000,191800
2019-04-01,1.530000,1.530000,1.250000,1.400000,1.400000,119500
2019-04-08,1.400000,1.450000,1.290000,1.320000,1.320000,58700
2019-04-15,1.320000,1.340000,1.100000,1.190000,1.190000,55900
2019-04-22,1.170000,1.180000,1.100000,1.150000,1.150000,19200
2019-04-29,1.190000,1.400000,1.130000,1.280000,1.280000,101600
2019-05-06,1.250000,1.350000,1.250000,1.320000,1.320000,51100
2019-05-13,1.400000,1.400000,1.070000,1.080000,1.080000,104400
2019-05-20,1.080000,1.120000,1.080000,1.100000,1.100000,36900
2019-05-27,1.090000,1.100000,1.040000,1.050000,1.050000,91200
2019-06-03,1.050000,1.080000,0.950000,0.950000,0.950000,22500
2019-06-10,0.980000,1.160000,0.980000,1.130000,1.130000,54500
2019-06-17,1.150000,1.320000,1.140000,1.230000,1.230000,74100
2019-06-24,1.210000,1.290000,1.210000,1.230000,1.230000,30600
2019-07-01,1.290000,1.300000,1.230000,1.270000,1.270000,24300
2019-07-08,1.300000,1.310000,1.210000,1.220000,1.220000,19300
2019-07-15,1.300000,1.300000,1.210000,1.210000,1.210000,14600
2019-07-22,1.210000,1.300000,1.210000,1.210000,1.210000,40500
2019-07-29,1.290000,1.290000,1.210000,1.220000,1.220000,28000
2019-08-05,1.220000,1.250000,0.800000,0.930000,0.930000,108700
2019-08-12,0.970000,0.980000,0.830000,0.840000,0.840000,30700
2019-08-19,0.850000,0.850000,0.770000,0.830000,0.830000,26300
2019-08-26,0.850000,0.850000,0.710000,0.720000,0.720000,30500
2019-09-02,0.760000,0.800000,0.610000,0.670000,0.670000,108500
2019-09-09,0.690000,0.700000,0.620000,0.620000,0.620000,47100
2019-09-16,0.640000,0.690000,0.550000,0.640000,0.640000,65700
2019-09-23,0.640000,0.720000,0.580000,0.620000,0.620000,82100
2019-09-30,0.690000,0.750000,0.610000,0.650000,0.650000,35600
2019-10-07,0.650000,0.650000,0.550000,0.590000,0.590000,53700
2019-10-10,0.555300,0.620000,0.555300,0.560000,0.560000,8260
