Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.130000,0.131900,0.111100,0.130000,0.130000,1881879
2017-10-16,0.130000,0.165000,0.115000,0.121500,0.121500,7836739
2017-10-23,0.122000,0.125000,0.086000,0.110000,0.110000,10246821
2017-10-30,0.120000,0.122000,0.110000,0.117200,0.117200,1979329
2017-11-06,0.113500,0.120000,0.103400,0.107000,0.107000,1722491
2017-11-13,0.108500,0.117400,0.103000,0.109500,0.109500,729021
2017-11-20,0.100000,0.112000,0.090000,0.094540,0.094540,1104313
2017-11-27,0.104000,0.345000,0.104000,0.201000,0.201000,19465497
2017-12-04,0.195000,0.429900,0.151000,0.361500,0.361500,16319203
2017-12-11,0.376000,0.775000,0.362000,0.435000,0.435000,18676038
2017-12-18,0.440000,0.550000,0.312700,0.391000,0.391000,6278712
2017-12-25,0.391000,0.699700,0.280000,0.575000,0.575000,2804344
2018-01-01,0.575000,0.610000,0.420000,0.490000,0.490000,2151913
2018-01-08,0.432750,0.500000,0.315000,0.395000,0.395000,2911818
2018-01-15,0.395000,0.440000,0.310000,0.405000,0.405000,2575921
2018-01-22,0.407500,0.420000,0.285000,0.395000,0.395000,4210243
2018-01-29,0.400000,0.440000,0.331000,0.346000,0.346000,3328353
2018-02-05,0.340000,0.360000,0.260000,0.265000,0.265000,3576112
2018-02-12,0.268750,0.285000,0.120000,0.235000,0.235000,9055632
2018-02-19,0.235000,0.290000,0.179400,0.220000,0.220000,2256784
2018-02-26,0.215500,0.225600,0.162000,0.180900,0.180900,1763593
2018-03-05,0.172500,0.200000,0.157000,0.165000,0.165000,1466470
2018-03-12,0.170000,0.182000,0.161000,0.163000,0.163000,949247
2018-03-19,0.163000,0.200000,0.150000,0.150700,0.150700,712136
2018-03-26,0.150700,0.150700,0.080100,0.094500,0.094500,2312011
2018-04-02,0.093450,0.150000,0.066200,0.112000,0.112000,5125141
2018-04-09,0.120000,0.129000,0.086000,0.095000,0.095000,1153413
2018-04-16,0.090000,0.140000,0.090000,0.130000,0.130000,950511
2018-04-23,0.140000,0.140000,0.091500,0.124800,0.124800,1676938
2018-04-30,0.124800,0.185400,0.120000,0.178000,0.178000,3341827
2018-05-07,0.178000,0.200000,0.150000,0.170000,0.170000,6354560
2018-05-14,0.175500,0.180000,0.140000,0.149600,0.149600,3090165
2018-05-21,0.150000,0.150000,0.120000,0.133500,0.133500,4969017
2018-05-28,0.133500,0.144800,0.105500,0.132500,0.132500,6162138
2018-06-04,0.139400,0.170000,0.111000,0.130000,0.130000,2434028
2018-06-11,0.123950,0.150000,0.100000,0.103500,0.103500,2660402
2018-06-18,0.102000,0.107000,0.080000,0.088140,0.088140,5622582
2018-06-25,0.089000,0.089000,0.081000,0.084000,0.084000,2582698
2018-07-02,0.085000,0.090000,0.070000,0.070100,0.070100,2093943
2018-07-09,0.071150,0.072200,0.060000,0.068000,0.068000,3950671
2018-07-16,0.065000,0.105000,0.061000,0.085200,0.085200,1462413
2018-07-23,0.084000,0.095000,0.071900,0.083000,0.083000,753864
2018-07-30,0.072100,0.085000,0.068500,0.069000,0.069000,777860
2018-08-06,0.068500,0.072000,0.060500,0.070000,0.070000,626533
2018-08-13,0.067750,0.085000,0.060500,0.065000,0.065000,1059621
2018-08-20,0.061000,0.070000,0.053000,0.066000,0.066000,2083844
2018-08-27,0.066000,0.072000,0.052500,0.060000,0.060000,694144
2018-09-03,0.060000,0.060000,0.052500,0.052600,0.052600,699281
2018-09-10,0.052500,0.054900,0.032000,0.044000,0.044000,1902655
2018-09-17,0.037550,0.044000,0.032000,0.040000,0.040000,1242802
2018-09-24,0.043100,0.045000,0.035100,0.043000,0.043000,747058
2018-10-01,0.040300,0.042900,0.037000,0.037500,0.037500,710096
2018-10-08,0.037500,0.042000,0.036000,0.041500,0.041500,274870
2018-10-15,0.043500,0.043500,0.037000,0.039500,0.039500,301954
2018-10-22,0.037500,0.040000,0.030000,0.038000,0.038000,446884
2018-10-29,0.035750,0.040000,0.031500,0.037000,0.037000,370926
2018-11-05,0.035000,0.037500,0.031000,0.034510,0.034510,772963
2018-11-12,0.032000,0.035000,0.020500,0.023000,0.023000,952955
2018-11-19,0.023500,0.028950,0.017000,0.023000,0.023000,710545
2018-11-26,0.019000,0.029500,0.018490,0.020000,0.020000,756444
2018-12-03,0.019900,0.021800,0.015000,0.016400,0.016400,1652528
2018-12-10,0.015900,0.016000,0.009000,0.010000,0.010000,2632325
2018-12-17,0.011000,0.013000,0.006000,0.007000,0.007000,2317378
