Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.700000,0.700000,0.640000,0.650000,0.617133,23170
2017-10-16,0.650000,0.700000,0.540000,0.570000,0.541179,220500
2017-10-23,0.560000,0.560000,0.500000,0.520000,0.493707,112065
2017-10-30,0.520000,0.620000,0.495000,0.600000,0.569662,263214
2017-11-06,0.600000,0.870000,0.570000,0.710000,0.674100,519793
2017-11-13,0.720000,0.720000,0.600000,0.630000,0.598145,377800
2017-11-20,0.640000,0.690000,0.600000,0.660000,0.626628,122539
2017-11-27,0.680000,0.720000,0.620000,0.660000,0.626628,208260
2017-12-04,0.670000,0.700000,0.620000,0.640000,0.607639,194735
2017-12-11,0.630000,0.680000,0.610000,0.680000,0.645617,148970
2017-12-18,0.670000,0.680000,0.660000,0.660000,0.626628,56998
2017-12-25,0.660000,0.660000,0.610000,0.640000,0.607639,46600
2018-01-01,0.640000,0.670000,0.620000,0.670000,0.636122,109230
2018-01-08,0.680000,0.710000,0.640000,0.660000,0.626628,439652
2018-01-15,0.670000,0.740000,0.660000,0.660000,0.626628,353400
2018-01-22,0.660000,0.700000,0.640000,0.700000,0.664605,212817
2018-01-29,0.690000,0.690000,0.650000,0.660000,0.626628,63370
2018-02-05,null,null,null,null,null,null
2018-02-12,null,null,null,null,null,null
2018-02-19,null,null,null,null,null,null
2018-02-26,null,null,null,null,null,null
2018-03-05,null,null,null,null,null,null
2018-03-12,null,null,null,null,null,null
2018-03-19,null,null,null,null,null,null
2018-03-26,null,null,null,null,null,null
2018-04-02,null,null,null,null,null,null
2018-04-09,null,null,null,null,null,null
2018-04-16,null,null,null,null,null,null
2018-04-23,null,null,null,null,null,null
2018-04-30,null,null,null,null,null,null
2018-05-07,null,null,null,null,null,null
2018-05-14,null,null,null,null,null,null
2018-05-21,null,null,null,null,null,null
2018-05-28,null,null,null,null,null,null
2018-06-04,null,null,null,null,null,null
2018-06-11,null,null,null,null,null,null
2018-06-18,null,null,null,null,null,null
2018-06-25,null,null,null,null,null,null
2018-07-02,null,null,null,null,null,null
2018-07-09,null,null,null,null,null,null
2018-07-16,13.500000,16.000000,13.500000,16.000000,15.190978,10200
2018-07-23,16.000000,17.000000,12.510000,13.290000,12.618007,6105600
2018-07-30,13.230000,13.950000,13.110000,13.380000,12.703456,3123000
2018-08-06,13.390000,13.750000,11.710000,13.390000,12.712951,1907400
2018-08-13,13.280000,13.710000,12.110000,12.840000,12.190761,2104200
2018-08-20,13.110000,16.260000,12.800000,15.460000,14.678283,5537200
2018-08-27,15.440000,16.500000,15.280000,16.389999,15.561257,2531900
2018-09-03,16.389999,16.500000,15.370000,15.750000,14.953620,2525900
2018-09-10,15.870000,16.730000,15.600000,15.760000,14.963115,2308600
2018-09-17,15.760000,16.730000,15.710000,16.000000,15.278563,5324700
2018-09-24,16.129999,17.639999,16.100000,17.620001,16.825518,2969500
2018-10-01,17.950001,18.280001,17.129999,18.240000,17.417561,1440100
2018-10-08,18.480000,18.549999,15.620000,15.930000,15.211720,2399600
2018-10-15,16.040001,16.889999,15.700000,16.320000,15.584133,1698000
2018-10-22,16.260000,16.400000,14.600000,14.710000,14.046729,2324100
2018-10-29,14.660000,15.100000,13.670000,13.850000,13.225506,1935000
2018-11-05,14.000000,14.940000,12.910000,13.960000,13.330545,1182200
2018-11-12,14.110000,14.350000,12.430000,13.260000,12.662108,1953400
2018-11-19,13.010000,13.990000,12.250000,12.940000,12.356537,879900
2018-11-26,12.950000,13.400000,12.150000,12.390000,11.831337,1601300
2018-12-03,12.780000,13.490000,11.620000,12.300000,11.745395,1626200
2018-12-10,11.890000,12.080000,9.940000,10.430000,9.959713,3449900
2018-12-17,10.440000,10.520000,7.870000,8.300000,8.018183,2775200
2018-12-24,8.250000,8.960000,7.940000,8.500000,8.211392,1329100
