Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,42.750000,42.900002,41.099998,41.299999,40.488041,972400
2017-10-16,41.049999,42.799999,41.049999,42.299999,41.468376,1106500
2017-10-23,42.150002,45.099998,42.049999,44.799999,43.919228,1270000
2017-10-30,44.700001,45.250000,43.209999,44.400002,43.527096,1298100
2017-11-06,44.250000,44.750000,43.299999,44.049999,43.183971,1073600
2017-11-13,43.950001,46.650002,43.700001,46.000000,45.095638,1542100
2017-11-20,45.799999,48.000000,45.490002,47.150002,46.223026,897900
2017-11-27,47.099998,50.400002,46.830002,49.549999,48.575844,1696900
2017-12-04,49.650002,49.650002,44.900002,46.450001,45.536793,2216100
2017-12-11,46.500000,46.500000,43.799999,44.299999,43.429058,1992900
2017-12-18,44.500000,45.849998,43.180000,43.900002,43.036926,1373000
2017-12-25,43.950001,45.130001,43.750000,44.450001,43.576107,770600
2018-01-01,44.500000,44.500000,39.500000,40.799999,39.997868,2250300
2018-01-08,40.849998,45.599998,40.849998,44.200001,43.331024,3066000
2018-01-15,44.250000,45.500000,42.799999,43.150002,42.301670,1356900
2018-01-22,43.000000,43.650002,41.799999,43.000000,42.154621,1761700
2018-01-29,42.950001,43.230000,41.049999,41.150002,40.340988,1232500
2018-02-05,40.849998,42.250000,39.900002,41.099998,40.291969,1823400
2018-02-12,41.000000,42.849998,40.209999,42.650002,41.811501,1737700
2018-02-19,42.450001,43.650002,42.150002,43.650002,42.791836,1067400
2018-02-26,43.599998,43.950001,42.250000,43.500000,42.644787,1379400
2018-03-05,43.349998,44.650002,43.099998,44.099998,43.232990,1193700
2018-03-12,44.099998,45.349998,43.730000,45.200001,44.311367,1193200
2018-03-19,45.000000,45.650002,44.400002,44.950001,44.066280,1376300
2018-03-26,45.250000,46.750000,43.650002,43.700001,42.840858,2005400
2018-04-02,44.099998,48.400002,41.150002,46.700001,45.781872,3477400
2018-04-09,46.700001,48.130001,46.049999,48.000000,47.056316,1565900
2018-04-16,47.799999,49.959999,47.630001,49.700001,48.722897,1993500
2018-04-23,49.700001,50.450001,47.709999,49.000000,48.036652,1583500
2018-04-30,49.250000,49.299999,45.599998,46.349998,45.438755,1469500
2018-05-07,46.599998,48.250000,46.599998,47.799999,46.860249,939600
2018-05-14,47.549999,48.349998,46.500000,47.549999,46.615162,1128900
2018-05-21,47.549999,48.099998,46.500000,47.000000,46.075981,813400
2018-05-28,46.849998,48.700001,46.599998,46.799999,45.879906,1163800
2018-06-04,47.000000,49.650002,46.250000,49.349998,48.379772,1930900
2018-06-11,49.299999,51.500000,49.000000,50.750000,49.752251,1427200
2018-06-18,50.750000,51.650002,49.360001,51.349998,50.340454,1912800
2018-06-25,51.000000,52.299999,45.700001,45.849998,44.948582,2253700
2018-07-02,45.849998,47.250000,45.299999,47.049999,46.124996,1211800
2018-07-09,47.099998,47.849998,45.450001,45.700001,44.801537,1198300
2018-07-16,45.799999,46.250000,44.799999,45.950001,45.046616,1215900
2018-07-23,45.500000,45.750000,43.500000,45.000000,44.115292,2156000
2018-07-30,45.049999,45.099998,43.849998,44.599998,43.723156,2085200
2018-08-06,44.700001,48.400002,44.400002,48.150002,47.580791,2141200
2018-08-13,48.250000,50.250000,47.900002,49.599998,49.013645,1609200
2018-08-20,49.700001,50.730000,49.250000,50.099998,49.507736,1480600
2018-08-27,50.150002,50.650002,48.349998,49.450001,48.865417,1425600
2018-09-03,49.299999,49.930000,48.549999,49.450001,48.865417,1065700
2018-09-10,49.599998,51.549999,49.590000,50.849998,50.248867,1766600
2018-09-17,50.650002,51.000000,47.950001,49.549999,48.964237,1525500
2018-09-24,49.549999,49.799999,47.400002,48.299999,47.729015,1596600
2018-10-01,42.660000,45.450001,42.610001,44.380001,43.855354,5703500
2018-10-08,44.279999,46.000000,44.150002,45.520000,44.981880,1930600
2018-10-15,45.639999,47.919998,45.160000,47.860001,47.294216,1670800
2018-10-22,48.000000,49.080002,46.849998,47.299999,46.740837,1759400
2018-10-29,47.639999,49.209999,47.029999,48.610001,48.035351,1441300
2018-11-05,48.759998,50.689999,48.200001,49.580002,49.081936,1730000
2018-11-12,49.570000,50.450001,48.450001,49.849998,49.349220,1138600
2018-11-19,49.880001,50.630001,46.939999,47.040001,46.567451,979300
2018-11-26,47.119999,47.990002,46.330002,46.720001,46.250664,1246000
2018-12-03,46.919998,47.189999,43.560001,43.660000,43.221405,2430900
2018-12-10,43.830002,45.830002,42.910000,45.099998,44.646938,1482700
2018-12-17,45.060001,45.700001,41.520000,42.070000,41.647377,2575700
2018-12-24,41.880001,42.880001,40.630001,41.900002,41.479088,777600
2018-12-31,42.259998,43.709999,41.009998,43.580002,43.142212,1615300
2019-01-07,43.330002,43.330002,41.000000,42.299999,41.875065,2070600
2019-01-14,42.099998,44.009998,41.639999,43.230000,42.795723,1483200
2019-01-21,43.110001,43.660000,41.509998,41.740002,41.320694,954500
2019-01-28,41.720001,42.820000,41.169998,42.709999,42.280945,1262200
2019-02-04,42.910000,44.500000,42.430000,43.419998,43.136848,1427500
2019-02-11,43.529999,45.049999,43.080002,43.980000,43.693195,1805200
2019-02-18,44.160000,44.980000,43.650002,44.630001,44.338959,866300
2019-02-25,44.750000,44.750000,43.130001,44.290001,44.001175,1380900
2019-03-04,44.230000,44.400002,43.410000,43.660000,43.375282,1130500
2019-03-11,43.770000,44.680000,43.509998,44.320000,44.030979,1210800
