Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,8.580000,8.720000,8.390000,8.560000,6.681548,10532200
2017-10-16,8.600000,8.790000,8.330000,8.390000,6.548852,10221200
2017-10-23,8.440000,8.600000,7.620000,7.970000,6.221020,15255500
2017-10-30,7.960000,8.040000,5.830000,5.920000,4.620883,45689300
2017-11-06,5.810000,6.260000,5.460000,6.120000,4.776993,50821500
2017-11-13,6.140000,6.190000,5.460000,5.760000,4.495995,28103500
2017-11-20,5.750000,5.850000,5.550000,5.690000,4.441355,18345100
2017-11-27,5.680000,5.950000,5.480000,5.620000,4.386716,29166400
2017-12-04,5.600000,5.890000,5.310000,5.620000,4.386716,24796800
2017-12-11,5.640000,5.740000,5.430000,5.630000,4.394523,29010500
2017-12-18,5.640000,5.910000,5.530000,5.740000,4.480383,20145600
2017-12-25,5.760000,6.030000,5.520000,5.660000,4.417939,15958500
2018-01-01,5.650000,6.100000,5.560000,5.710000,4.613078,12714500
2018-01-08,5.710000,5.800000,5.400000,5.690000,4.596920,17178400
2018-01-15,5.690000,5.790000,5.440000,5.610000,4.532289,10570300
2018-01-22,5.610000,5.800000,5.560000,5.650000,4.564604,11148000
2018-01-29,5.670000,5.780000,5.250000,5.300000,4.281841,16725700
2018-02-05,5.260000,5.460000,4.000000,4.200000,3.393157,38412800
2018-02-12,4.260000,4.860000,4.100000,4.770000,3.853657,29443700
2018-02-19,4.750000,4.890000,4.560000,4.820000,3.894052,9964200
2018-02-26,4.830000,5.030000,4.560000,4.810000,3.885972,13407100
2018-03-05,4.770000,4.970000,4.550000,4.630000,3.740551,10007500
2018-03-12,4.640000,4.740000,4.160000,4.400000,3.554736,19302800
2018-03-19,4.350000,4.440000,4.130000,4.330000,3.498183,18520100
2018-03-26,4.360000,4.630000,4.160000,4.170000,3.368920,20948400
2018-04-02,4.170000,4.510000,4.060000,4.400000,3.719307,17260800
2018-04-09,4.440000,4.590000,4.180000,4.320000,3.651683,9931400
2018-04-16,4.350000,4.440000,3.930000,3.950000,3.338923,18008200
2018-04-23,3.990000,4.360000,3.800000,4.160000,3.516436,27022200
2018-04-30,4.160000,4.430000,4.040000,4.350000,3.677042,18760000
2018-05-07,4.380000,4.510000,4.280000,4.390000,3.710854,14115600
2018-05-14,4.400000,4.490000,4.210000,4.440000,3.753119,19750700
2018-05-21,4.470000,4.950000,4.390000,4.830000,4.082785,15963800
2018-05-28,4.810000,5.290000,4.720000,5.030000,4.251844,21317600
2018-06-04,5.040000,5.780000,4.990000,5.720000,4.835099,20612500
2018-06-11,5.730000,6.050000,5.320000,5.360000,4.530792,28443500
2018-06-18,5.350000,6.230000,5.350000,6.190000,5.232388,24764600
2018-06-25,6.240000,6.260000,5.520000,5.570000,4.708305,18117100
2018-07-02,5.550000,5.870000,5.350000,5.760000,5.043424,10413200
2018-07-09,5.790000,5.830000,5.540000,5.570000,4.877061,11164800
2018-07-16,5.590000,5.610000,5.110000,5.290000,4.631895,11351900
2018-07-23,5.290000,5.480000,5.180000,5.190000,4.544335,10488100
2018-07-30,5.210000,5.790000,4.900000,5.220000,4.570602,24991500
2018-08-06,5.130000,5.130000,4.120000,4.440000,3.887639,25186700
2018-08-13,4.430000,4.640000,4.200000,4.590000,4.018978,14013300
2018-08-20,4.610000,4.710000,4.440000,4.560000,3.992710,9504700
2018-08-27,4.550000,4.580000,4.300000,4.460000,3.905151,11445500
2018-09-03,4.480000,4.530000,4.260000,4.420000,3.870127,6828800
2018-09-10,4.450000,4.450000,4.020000,4.170000,3.651229,15827000
2018-09-17,4.040000,4.400000,4.040000,4.360000,3.817592,16128900
2018-09-24,4.390000,4.440000,3.900000,3.990000,3.493622,18316600
2018-10-01,3.990000,3.990000,3.580000,3.750000,3.445626,24018800
2018-10-08,3.760000,3.890000,3.430000,3.430000,3.151599,25075300
2018-10-15,3.440000,3.590000,3.290000,3.410000,3.133223,17614400
2018-10-22,3.410000,3.550000,3.210000,3.330000,3.059716,17187400
2018-10-29,3.340000,3.710000,2.840000,3.070000,2.820819,40879200
2018-11-05,3.030000,3.130000,2.980000,3.060000,2.811631,16294300
2018-11-12,3.080000,3.150000,2.590000,2.810000,2.581922,16121800
2018-11-19,2.820000,2.870000,2.620000,2.680000,2.462474,9423400
2018-11-26,2.710000,2.760000,2.500000,2.610000,2.398155,16181500
2018-12-03,2.620000,2.630000,2.320000,2.570000,2.361403,14446900
2018-12-10,2.570000,2.620000,2.470000,2.490000,2.287896,12485500
2018-12-17,2.460000,2.510000,1.860000,2.010000,1.846856,28540800
2018-12-24,1.960000,2.120000,1.790000,2.050000,1.883609,14472400
2018-12-31,2.050000,2.280000,1.860000,2.190000,2.091054,15351700
2019-01-07,2.170000,2.360000,2.130000,2.230000,2.129247,15983600
2019-01-14,2.210000,2.430000,2.120000,2.420000,2.310663,8469800
2019-01-21,2.410000,2.420000,2.220000,2.350000,2.243825,7224300
2019-01-28,2.340000,2.610000,2.320000,2.480000,2.367952,9974300
2019-02-04,2.470000,2.530000,2.250000,2.340000,2.234277,11154700
2019-02-11,2.340000,2.450000,2.190000,2.260000,2.157892,14114200
2019-02-18,2.250000,2.280000,2.030000,2.160000,2.062410,10321800
2019-02-25,2.160000,2.230000,1.980000,1.980000,1.890542,11801600
2019-03-04,1.980000,2.010000,1.860000,1.890000,1.804608,14955800
2019-03-11,1.900000,2.020000,1.790000,1.810000,1.728223,28959900
2019-03-18,1.850000,1.970000,1.790000,1.830000,1.747319,19307100
2019-03-25,1.860000,1.960000,1.390000,1.550000,1.479970,33183500
2019-04-01,1.550000,1.570000,1.450000,1.540000,1.540000,19160600
2019-04-08,1.540000,1.570000,1.420000,1.460000,1.460000,11756200
2019-04-15,1.460000,1.470000,1.150000,1.190000,1.190000,12168300
2019-04-22,1.170000,1.200000,0.990000,1.010000,1.010000,28337000
2019-04-29,1.010000,1.340000,1.010000,1.240000,1.240000,21667300
2019-05-06,1.280000,1.320000,1.190000,1.310000,1.310000,14694300
2019-05-13,1.300000,1.350000,1.220000,1.220000,1.220000,10339800
