Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,6.000000,6.000000,6.000000,6.000000,6.000000,0
2019-05-06,null,null,null,null,null,null
2019-05-13,null,null,null,null,null,null
2019-05-20,null,null,null,null,null,null
2019-05-27,null,null,null,null,null,null
2019-06-03,6.060000,6.500000,6.060000,6.500000,6.500000,100
2019-06-10,6.500000,6.500000,6.500000,6.500000,6.500000,0
2019-06-17,6.500000,6.500000,6.500000,6.500000,6.500000,0
2019-06-24,6.500000,6.500000,6.500000,6.500000,6.500000,0
2019-07-01,6.050000,6.050000,6.050000,6.050000,6.050000,155
2019-07-08,6.050000,6.050000,6.050000,6.050000,6.050000,0
2019-07-15,6.050000,6.050000,6.050000,6.050000,6.050000,0
2019-07-22,6.050000,6.050000,6.050000,6.050000,6.050000,0
2019-07-29,6.050000,6.050000,5.700000,5.700000,5.700000,107
2019-08-05,5.700000,5.700000,5.650000,5.650000,5.650000,107
2019-08-12,5.650000,5.650000,5.650000,5.650000,5.650000,0
2019-08-19,5.650000,5.650000,5.650000,5.650000,5.650000,0
2019-08-26,5.650000,5.650000,5.650000,5.650000,5.650000,0
2019-09-02,5.650000,5.650000,5.650000,5.650000,5.650000,0
2019-09-09,5.650000,5.800000,5.650000,5.800000,5.800000,139
2019-09-16,6.000000,6.100000,6.000000,6.100000,6.100000,300
2019-09-23,6.100000,6.200000,6.100000,6.200000,6.200000,445
2019-09-30,6.200000,6.200000,6.150000,6.150000,6.150000,129
2019-10-07,6.150000,6.150000,6.150000,6.150000,6.150000,0
