Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,9.750000,9.750000,9.750000,9.750000,9.750000,0
2019-02-11,9.750000,9.880000,9.750000,9.880000,9.880000,1018400
2019-02-18,9.835000,9.880000,9.830000,9.880000,9.880000,287500
2019-02-25,9.880000,9.880000,9.840000,9.850000,9.850000,400
2019-03-04,9.520000,9.850000,9.520000,9.850000,9.850000,53300
2019-03-11,9.850000,9.950000,9.850000,9.950000,9.950000,223700
2019-03-18,9.930000,9.930000,9.889000,9.900000,9.900000,8100
2019-03-25,9.900000,9.900000,9.860000,9.900000,9.900000,67800
2019-04-01,9.900000,9.950000,9.640000,9.930000,9.930000,189000
2019-04-08,9.930000,9.930000,9.930000,9.930000,9.930000,0
2019-04-15,9.930000,9.930000,9.910000,9.920000,9.920000,2200
2019-04-22,9.920000,9.950000,9.690000,9.900000,9.900000,6900
2019-04-29,9.900000,9.900000,9.900000,9.900000,9.900000,6000
2019-05-06,9.940000,9.940000,9.910000,9.910000,9.910000,227600
2019-05-13,9.980000,9.980000,9.960000,9.960000,9.960000,27600
2019-05-20,9.960000,9.960000,9.960000,9.960000,9.960000,0
2019-05-27,9.960000,9.990000,9.920000,9.960000,9.960000,2411600
2019-06-03,9.960000,10.020000,9.950000,9.990000,9.990000,148000
2019-06-10,9.990000,10.026000,9.985000,9.985000,9.985000,3100
2019-06-17,9.990000,10.030000,9.990000,10.000000,10.000000,245800
2019-06-24,10.000000,10.040000,9.980000,10.020000,10.020000,8000
2019-07-01,10.000000,10.040000,10.000000,10.040000,10.040000,102900
2019-07-08,9.990000,10.050000,9.990000,10.050000,10.050000,600700
2019-07-15,10.050000,10.120000,10.000000,10.000000,10.000000,10000
2019-07-22,10.030000,10.060000,10.000000,10.020000,10.020000,111800
2019-07-29,10.085000,10.085000,9.970000,10.020000,10.020000,6300
2019-08-05,10.030000,10.040000,10.000000,10.020000,10.020000,627600
2019-08-12,10.020000,10.040000,10.020000,10.020000,10.020000,400
2019-08-19,10.020000,10.085000,10.020000,10.065000,10.065000,427100
2019-08-26,10.070000,10.140000,10.060000,10.070000,10.070000,1475800
2019-09-02,10.070000,10.110000,10.070000,10.110000,10.110000,149400
2019-09-09,10.100000,10.120000,10.100000,10.100000,10.100000,823100
2019-09-16,10.100000,10.140000,10.090000,10.140000,10.140000,125600
2019-09-23,10.140000,10.140000,10.110000,10.140000,10.140000,85500
2019-09-30,10.140000,10.140000,10.140000,10.140000,10.140000,500
2019-10-07,10.110000,10.140000,10.110000,10.140000,10.140000,2075600
2019-10-10,10.120000,10.140000,10.120000,10.140000,10.140000,475104
