Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.100000,0.120000,0.100000,0.100000,0.100000,36700
2017-10-16,0.110000,0.120000,0.090000,0.090000,0.090000,18000
2017-10-23,0.110000,0.110000,0.060000,0.100000,0.100000,149500
2017-10-30,0.100000,0.100000,0.100000,0.100000,0.100000,0
2017-11-06,0.100000,0.110000,0.100000,0.110000,0.110000,15000
2017-11-13,0.110000,0.110000,0.080000,0.100000,0.100000,19900
2017-11-20,0.100000,0.100000,0.100000,0.100000,0.100000,9000
2017-11-27,0.100000,0.100000,0.070000,0.070000,0.070000,25600
2017-12-04,0.100000,0.100000,0.070000,0.100000,0.100000,49000
2017-12-11,0.100000,0.130000,0.090000,0.130000,0.130000,139700
2017-12-18,0.140000,0.200000,0.130000,0.200000,0.200000,332000
2017-12-25,0.200000,0.200000,0.200000,0.200000,0.200000,12500
2018-01-01,0.200000,0.210000,0.160000,0.200000,0.200000,22200
2018-01-08,0.200000,0.210000,0.200000,0.210000,0.210000,4500
2018-01-15,0.200000,0.200000,0.200000,0.200000,0.200000,2000
2018-01-22,0.200000,0.200000,0.200000,0.200000,0.200000,18000
2018-01-29,0.200000,0.200000,0.200000,0.200000,0.200000,2500
2018-02-05,0.200000,0.240000,0.190000,0.240000,0.240000,125900
2018-02-12,0.240000,0.240000,0.200000,0.200000,0.200000,52900
2018-02-19,0.200000,0.200000,0.200000,0.200000,0.200000,10600
2018-02-26,0.200000,0.200000,0.200000,0.200000,0.200000,2000
2018-03-05,0.200000,0.200000,0.200000,0.200000,0.200000,3100
2018-03-12,0.200000,0.200000,0.200000,0.200000,0.200000,5000
2018-03-19,0.200000,0.210000,0.200000,0.210000,0.210000,4900
2018-03-26,0.150000,0.190000,0.140000,0.190000,0.190000,29800
2018-04-02,0.190000,0.190000,0.130000,0.190000,0.190000,22500
2018-04-09,0.190000,0.190000,0.120000,0.190000,0.190000,6800
2018-04-16,0.190000,0.190000,0.180000,0.180000,0.180000,2000
2018-04-23,0.180000,0.180000,0.170000,0.170000,0.170000,2500
2018-04-30,0.170000,0.170000,0.100000,0.150000,0.150000,2300
2018-05-07,0.150000,0.160000,0.100000,0.160000,0.160000,1000
2018-05-14,0.170000,0.170000,0.120000,0.120000,0.120000,3300
2018-05-21,0.160000,0.170000,0.100000,0.100000,0.100000,26200
2018-05-28,0.150000,0.150000,0.100000,0.140000,0.140000,15900
2018-06-04,0.140000,0.140000,0.140000,0.140000,0.140000,4200
2018-06-11,0.140000,0.150000,0.100000,0.150000,0.150000,19700
2018-06-18,0.140000,0.140000,0.140000,0.140000,0.140000,2000
2018-06-25,0.100000,0.100000,0.060000,0.100000,0.100000,125100
2018-07-02,0.100000,0.100000,0.060000,0.070000,0.070000,44500
2018-07-09,0.100000,0.100000,0.070000,0.100000,0.100000,7400
2018-07-16,0.100000,0.100000,0.070000,0.070000,0.070000,10000
2018-07-23,0.090000,0.100000,0.090000,0.100000,0.100000,31400
2018-07-30,0.090000,0.090000,0.050000,0.080000,0.080000,156400
