Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,35.180000,36.320000,35.180000,36.020000,30.786852,390700
2017-10-16,36.020000,37.230000,35.700001,36.730000,31.393700,441200
2017-10-23,36.830002,36.959999,35.090000,35.590000,30.419327,430800
2017-10-30,35.450001,36.790001,35.000000,35.919998,30.701378,412000
2017-11-06,35.919998,37.480000,35.900002,36.939999,31.573189,416600
2017-11-13,37.040001,37.369999,35.189999,35.730000,30.538984,487000
2017-11-20,35.799999,36.150002,35.290001,35.840000,31.263487,254800
2017-11-27,35.889999,36.290001,34.509998,35.599998,31.054129,383500
2017-12-04,35.880001,36.259998,35.439999,36.040001,31.437948,423500
2017-12-11,36.340000,38.060001,36.169998,37.770000,32.947037,715200
2017-12-18,37.900002,38.470001,37.189999,37.779999,32.955761,372000
2017-12-25,37.849998,38.900002,37.849998,38.200001,33.322128,282800
2018-01-01,38.200001,38.889999,37.599998,37.730000,32.912140,335500
2018-01-08,37.910000,38.799999,36.560001,38.490002,33.575092,593200
2018-01-15,38.799999,39.419998,38.020000,38.360001,33.461697,403000
2018-01-22,38.400002,38.910000,37.279999,38.139999,33.269794,676400
2018-01-29,38.139999,38.709999,36.709999,36.970001,32.249191,482700
2018-02-05,36.560001,37.270000,34.220001,35.980000,31.385607,659900
2018-02-12,36.070000,36.459999,34.470001,36.310001,31.673466,386800
2018-02-19,36.240002,36.470001,35.310001,36.430000,32.447247,245200
2018-02-26,36.660000,37.990002,35.860001,36.650002,32.643200,442400
2018-03-05,36.599998,37.320000,36.400002,37.119999,33.061821,407900
2018-03-12,37.110001,38.950001,37.080002,37.959999,33.809982,387800
2018-03-19,37.939999,38.450001,36.919998,36.939999,32.901493,345900
2018-03-26,37.270000,38.189999,36.779999,37.540001,33.435902,318800
2018-04-02,37.490002,38.070000,36.840000,37.590000,33.480438,385900
2018-04-09,37.770000,38.189999,36.419998,36.700001,32.687733,518000
2018-04-16,36.959999,38.759998,36.779999,38.279999,34.094997,467900
2018-04-23,38.380001,38.669998,37.770000,38.400002,34.201885,421800
2018-04-30,38.500000,39.000000,37.000000,38.230000,34.050465,431700
2018-05-07,38.439999,38.650002,36.330002,37.099998,33.044003,640900
2018-05-14,37.009998,37.209999,35.750000,35.970001,32.037544,578500
2018-05-21,36.049999,36.549999,35.919998,36.290001,32.998013,265700
2018-05-28,36.250000,36.740002,36.049999,36.230000,32.943451,307400
2018-06-04,36.230000,36.869999,35.750000,36.459999,33.152584,356800
2018-06-11,36.419998,36.930000,36.180000,36.849998,33.507206,325500
2018-06-18,36.820000,38.160000,36.759998,37.410000,34.016415,416700
2018-06-25,37.389999,38.090000,36.970001,37.599998,34.189175,330100
2018-07-02,37.599998,38.290001,37.090000,37.939999,34.498329,112100
2018-07-09,38.130001,38.540001,37.410000,38.189999,34.725655,270000
2018-07-16,38.189999,38.509998,37.500000,37.709999,34.289200,254300
2018-07-23,37.650002,38.040001,37.119999,37.419998,34.025501,237300
2018-07-30,37.480000,39.459999,37.330002,37.930000,34.489239,385400
2018-08-06,38.080002,38.770000,37.709999,38.090000,34.634727,257000
2018-08-13,38.259998,39.240002,37.919998,38.230000,34.762020,391800
2018-08-20,38.360001,38.439999,37.680000,38.119999,35.341648,215500
2018-08-27,38.160000,38.310001,37.430000,37.430000,34.701942,202400
2018-09-03,37.410000,38.169998,36.799999,37.619999,34.878090,193200
2018-09-10,37.750000,38.139999,37.320000,37.709999,34.961536,127300
2018-09-17,37.709999,38.049999,37.320000,38.049999,35.276752,246000
2018-09-24,38.049999,38.130001,37.029999,37.580002,34.841011,172600
2018-10-01,37.650002,37.650002,35.509998,35.650002,33.051674,276900
2018-10-08,35.840000,37.180000,35.070000,35.299999,32.727184,324100
2018-10-15,35.450001,36.759998,35.299999,36.119999,33.487423,226900
2018-10-22,36.180000,36.630001,35.270000,35.650002,33.051674,228500
2018-10-29,36.070000,36.619999,34.610001,34.709999,32.180187,321600
2018-11-05,34.770000,36.049999,34.580002,35.639999,33.042408,545200
2018-11-12,35.700001,36.380001,34.400002,34.820000,32.282169,510300
2018-11-19,34.869999,35.400002,33.490002,35.160000,33.287624,522500
2018-11-26,35.259998,37.459999,35.029999,36.250000,34.319576,1580600
2018-12-03,36.470001,37.259998,35.650002,36.990002,35.020168,405300
2018-12-10,37.000000,37.660000,36.470001,37.180000,35.200050,381900
2018-12-17,37.099998,37.099998,34.080002,34.150002,32.331409,495600
2018-12-24,34.180000,34.799999,32.520000,33.400002,31.621349,405800
2018-12-31,33.490002,34.799999,32.549999,34.599998,32.757442,330200
2019-01-07,34.639999,35.759998,34.360001,34.599998,32.757442,441100
2019-01-14,34.570000,34.869999,34.040001,34.709999,32.861584,238700
2019-01-21,34.619999,35.540001,34.320000,35.330002,33.448570,236200
2019-01-28,35.220001,36.419998,35.220001,36.380001,34.442657,268800
2019-02-04,36.380001,37.799999,36.110001,37.439999,35.446209,314100
2019-02-11,37.419998,37.860001,35.290001,36.950001,34.982300,563700
2019-02-18,36.869999,37.049999,35.700001,36.430000,35.192913,252800
2019-02-25,36.599998,37.220001,34.700001,36.930000,35.675934,409800
2019-03-04,36.950001,36.950001,35.869999,36.209999,34.980385,271800
2019-03-11,36.220001,36.900002,36.220001,36.740002,35.492390,319400
2019-03-18,36.799999,37.230000,36.009998,36.150002,34.922421,347100
2019-03-25,36.259998,37.220001,36.000000,36.750000,35.502048,195500
2019-04-01,36.980000,38.400002,36.650002,37.910000,36.622654,345800
2019-04-08,37.910000,38.049999,37.480000,37.880001,36.593674,159600
2019-04-15,38.000000,38.110001,37.299999,37.509998,36.236237,315100
2019-04-22,37.580002,38.209999,37.020000,38.029999,36.738579,226400
2019-04-29,38.060001,39.410000,37.750000,38.990002,37.665985,333400
2019-05-06,38.750000,40.480000,38.750000,40.450001,39.076405,469200
2019-05-13,40.220001,40.959999,39.520000,39.889999,38.535416,694000
2019-05-20,39.689999,40.380001,39.279999,39.529999,38.900806,352500
2019-05-27,39.590000,39.590000,38.090000,38.590000,37.975769,475500
2019-06-03,38.700001,39.770000,38.410000,39.270000,38.644947,316300
2019-06-10,39.369999,40.189999,39.230000,39.840000,39.205875,267100
2019-06-17,39.970001,40.689999,39.590000,39.669998,39.038578,340000
2019-06-24,39.950001,40.290001,38.330002,39.660000,39.028740,463700
2019-07-01,39.660000,40.430000,39.009998,40.360001,39.717598,162900
2019-07-08,40.380001,40.830002,39.900002,40.580002,39.934097,371200
2019-07-15,40.599998,40.770000,39.660000,39.860001,39.225555,316800
2019-07-22,39.849998,40.730000,39.680000,40.619999,39.973457,248100
2019-07-29,40.790001,42.200001,40.279999,41.950001,41.282291,735700
2019-08-05,41.770000,48.709999,40.360001,46.439999,45.700821,2164200
2019-08-12,46.430000,49.750000,45.009998,45.160000,44.441196,1162000
2019-08-19,45.250000,46.270000,44.580002,45.049999,45.049999,542000
2019-08-26,45.279999,45.680000,44.669998,45.110001,45.110001,532200
2019-09-02,45.000000,46.520000,45.000000,45.630001,45.630001,398400
2019-09-09,45.549999,47.389999,45.500000,46.360001,46.360001,540600
2019-09-16,46.750000,47.250000,46.290001,47.130001,47.130001,420400
2019-09-23,46.910000,47.959999,46.580002,47.419998,47.419998,516100
2019-09-30,47.310001,47.669998,46.150002,46.799999,46.799999,620500
2019-10-07,46.700001,47.349998,45.570000,46.610001,46.610001,624600
2019-10-10,46.810001,46.830002,46.369999,46.610001,46.610001,81524
