Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,7.630000,7.710000,6.890000,7.020000,7.020000,2468900
2017-10-16,7.100000,7.240000,6.100000,6.660000,6.660000,4005000
2017-10-23,6.590000,7.180000,6.180000,6.990000,6.990000,6728300
2017-10-30,7.140000,8.600000,7.000000,8.550000,8.550000,7074500
2017-11-06,8.760000,9.890000,8.350000,9.450000,9.450000,4924000
2017-11-13,9.460000,10.130000,8.220000,9.790000,9.790000,4594300
2017-11-20,9.710000,11.040000,9.510000,10.660000,10.660000,2542700
2017-11-27,10.600000,10.780000,9.490000,10.350000,10.350000,4422100
2017-12-04,10.300000,10.680000,9.300000,9.920000,9.920000,3216200
2017-12-11,10.000000,10.380000,9.570000,9.630000,9.630000,3104400
2017-12-18,9.680000,10.530000,9.620000,10.170000,10.170000,3007200
2017-12-25,10.190000,10.840000,9.870000,10.180000,10.180000,1902000
2018-01-01,10.300000,12.100000,10.240000,11.740000,11.740000,2772700
2018-01-08,11.730000,12.690000,11.340000,12.160000,12.160000,3132600
2018-01-15,12.150000,12.310000,10.700000,10.750000,10.750000,3275800
2018-01-22,10.850000,12.450000,9.010000,9.330000,9.330000,7239000
2018-01-29,9.000000,9.030000,7.110000,7.430000,7.430000,8339400
2018-02-05,7.300000,7.930000,6.650000,7.250000,7.250000,4020800
2018-02-12,7.380000,7.790000,7.180000,7.580000,7.580000,3027400
2018-02-19,7.600000,7.750000,7.210000,7.630000,7.630000,1880400
2018-02-26,7.650000,7.750000,6.730000,7.300000,7.300000,3863600
2018-03-05,7.260000,7.600000,7.130000,7.450000,7.450000,1613200
2018-03-12,7.400000,7.710000,7.000000,7.630000,7.630000,3256200
2018-03-19,7.480000,8.780000,7.390000,7.960000,7.960000,3262300
2018-03-26,8.150000,8.150000,7.100000,7.250000,7.250000,1709700
2018-04-02,7.210000,7.680000,6.760000,7.440000,7.440000,2012100
2018-04-09,7.550000,8.550000,7.110000,8.170000,8.170000,2262200
2018-04-16,8.240000,8.790000,7.760000,8.040000,8.040000,1849400
2018-04-23,7.920000,8.380000,7.060000,8.080000,8.080000,2535900
2018-04-30,8.110000,9.290000,8.110000,8.910000,8.910000,2595600
2018-05-07,9.060000,10.540000,8.870000,10.490000,10.490000,3011200
2018-05-14,10.500000,11.860000,10.370000,10.890000,10.890000,3233100
2018-05-21,10.930000,11.370000,9.350000,9.780000,9.780000,2150100
2018-05-28,9.640000,10.200000,9.500000,9.790000,9.790000,1642800
2018-06-04,9.850000,9.960000,9.010000,9.130000,9.130000,1916500
2018-06-11,9.030000,9.310000,7.870000,8.120000,8.120000,3070300
2018-06-18,8.060000,9.180000,7.890000,8.580000,8.580000,2905700
2018-06-25,8.500000,9.570000,8.260000,9.170000,9.170000,2659600
2018-07-02,9.160000,10.130000,8.870000,9.830000,9.830000,1325400
2018-07-09,9.900000,10.590000,9.490000,9.990000,9.990000,2386300
2018-07-16,9.840000,9.960000,9.160000,9.410000,9.410000,1483000
2018-07-23,9.500000,10.610000,9.210000,9.780000,9.780000,2252400
2018-07-30,9.970000,10.010000,8.750000,8.850000,8.850000,1772900
2018-08-06,8.870000,8.980000,8.420000,8.660000,8.660000,1231000
2018-08-13,8.600000,8.600000,7.370000,7.760000,7.760000,1743500
2018-08-20,7.790000,8.700000,7.730000,8.640000,8.640000,978200
2018-08-27,8.710000,8.990000,8.510000,8.650000,8.650000,964500
2018-09-03,8.660000,8.780000,7.500000,7.580000,7.580000,1226900
2018-09-10,7.670000,8.620000,7.650000,8.190000,8.190000,1297900
2018-09-17,8.220000,8.480000,7.810000,8.090000,8.090000,1763300
2018-09-24,8.200000,8.460000,7.160000,7.250000,7.250000,1755000
2018-10-01,7.320000,7.660000,7.030000,7.250000,7.250000,1215200
2018-10-08,7.160000,7.540000,6.340000,6.660000,6.660000,1308300
2018-10-15,6.680000,6.750000,5.770000,5.960000,5.960000,1777200
2018-10-22,5.940000,5.990000,4.500000,4.900000,4.900000,2342800
2018-10-29,4.890000,5.100000,4.530000,5.040000,5.040000,2466800
2018-11-05,5.120000,5.340000,4.700000,4.940000,4.940000,1467100
2018-11-12,4.990000,5.130000,4.530000,4.970000,4.970000,1641300
2018-11-19,4.890000,5.320000,4.500000,4.660000,4.660000,1055700
2018-11-26,4.740000,4.830000,4.210000,4.580000,4.580000,1385700
2018-12-03,4.670000,4.820000,4.210000,4.290000,4.290000,1091200
