Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.302000,0.340000,0.302000,0.312800,0.312800,328119
2017-10-16,0.310000,0.329000,0.305500,0.318900,0.318900,264271
2017-10-23,0.320000,0.324500,0.270000,0.296400,0.296400,281458
2017-10-30,0.296000,0.298000,0.264000,0.281000,0.281000,132016
2017-11-06,0.280000,0.314900,0.273000,0.297200,0.297200,162685
2017-11-13,0.287000,0.311500,0.284400,0.299600,0.299600,264802
2017-11-20,0.290390,0.303900,0.275000,0.290000,0.290000,251498
2017-11-27,0.279500,0.290000,0.256700,0.271300,0.271300,525617
2017-12-04,0.278000,0.290000,0.251000,0.269300,0.269300,223194
2017-12-11,0.270000,0.312600,0.240000,0.278800,0.278800,450008
2017-12-18,0.276000,0.291000,0.247000,0.278000,0.278000,377919
2017-12-25,0.278000,0.315000,0.267800,0.269100,0.269100,202848
2018-01-01,0.269100,0.352000,0.269100,0.321400,0.321400,866990
2018-01-08,0.319700,0.333100,0.308000,0.318500,0.318500,385413
2018-01-15,0.318500,0.415900,0.318500,0.363930,0.363930,966856
2018-01-22,0.381000,0.390000,0.325000,0.358000,0.358000,854084
2018-01-29,0.360000,0.377500,0.341200,0.357300,0.357300,538180
2018-02-05,0.350000,0.365800,0.328500,0.350600,0.350600,774908
2018-02-12,0.359500,0.384800,0.335400,0.373400,0.373400,476764
2018-02-19,0.373400,0.385000,0.346100,0.364600,0.364600,210147
2018-02-26,0.360000,0.380500,0.349800,0.355000,0.355000,207987
2018-03-05,0.360200,0.382700,0.345400,0.358100,0.358100,296769
2018-03-12,0.359800,0.359800,0.280000,0.316590,0.316590,759143
2018-03-19,0.329000,0.348200,0.293500,0.310000,0.310000,217346
2018-03-26,0.328980,0.328980,0.292200,0.310400,0.310400,166265
2018-04-02,0.333000,0.338100,0.291000,0.298100,0.298100,113172
2018-04-09,0.311000,0.360530,0.310000,0.326200,0.326200,168436
2018-04-16,0.319000,0.319000,0.265600,0.272700,0.272700,416229
2018-04-23,0.278000,0.300800,0.263100,0.298300,0.298300,166994
2018-04-30,0.315000,0.315000,0.266500,0.273300,0.273300,331095
2018-05-07,0.270000,0.310400,0.261000,0.283500,0.283500,120714
2018-05-14,0.287000,0.295800,0.250000,0.268110,0.268110,230179
2018-05-21,0.262000,0.297900,0.254100,0.297780,0.297780,223508
2018-05-28,0.297780,0.300800,0.263600,0.294400,0.294400,281346
2018-06-04,0.300000,0.301000,0.267100,0.297500,0.297500,230024
2018-06-11,0.308000,0.308000,0.267400,0.278000,0.278000,157408
2018-06-18,0.272300,0.290000,0.262630,0.285000,0.285000,272703
2018-06-25,0.268400,0.288440,0.264000,0.288440,0.288440,97267
2018-07-02,0.257000,0.300000,0.257000,0.279800,0.279800,50925
2018-07-09,0.273300,0.279800,0.258000,0.269760,0.269760,124535
2018-07-16,0.275200,0.278900,0.258100,0.273000,0.273000,72369
2018-07-23,0.262590,0.288620,0.252700,0.269840,0.269840,190390
2018-07-30,0.276700,0.288580,0.249000,0.260000,0.260000,53786
2018-08-06,0.260000,0.280000,0.182550,0.251100,0.251100,1142002
2018-08-13,0.274300,0.288720,0.241400,0.277000,0.277000,427865
2018-08-20,0.278000,0.280000,0.220000,0.237000,0.237000,562028
2018-08-27,0.232000,0.244300,0.212000,0.220000,0.220000,506918
2018-09-03,0.220000,0.221980,0.186000,0.200000,0.200000,662576
2018-09-10,0.200000,0.227500,0.200000,0.227500,0.227500,167073
2018-09-17,0.223000,0.229000,0.198000,0.214920,0.214920,221165
2018-09-24,0.214900,0.225000,0.195000,0.215840,0.215840,407652
2018-10-01,0.220000,0.260160,0.210790,0.233000,0.233000,316633
2018-10-08,0.225000,0.240000,0.202100,0.217800,0.217800,113314
2018-10-15,0.217100,0.239900,0.203400,0.219500,0.219500,155728
2018-10-22,0.205800,0.275000,0.205800,0.226700,0.226700,238353
2018-10-29,0.219500,0.230000,0.198890,0.230000,0.230000,94305
2018-11-05,0.230000,0.253100,0.225000,0.244300,0.244300,92542
2018-11-12,0.241200,0.247000,0.209500,0.243000,0.243000,144404
2018-11-19,0.220000,0.240000,0.218000,0.225500,0.225500,52495
2018-11-26,0.220000,0.229480,0.200000,0.205000,0.205000,214326
2018-12-03,0.205000,0.212000,0.174400,0.190000,0.190000,162395
2018-12-10,0.170000,0.275000,0.164100,0.181100,0.181100,974073
2018-12-17,0.197000,0.197000,0.170000,0.176800,0.176800,166770
2018-12-24,0.170000,0.195000,0.170000,0.170640,0.170640,240352
2018-12-31,0.182540,0.281000,0.173500,0.256300,0.256300,914990
2019-01-07,0.259000,0.280000,0.185000,0.187000,0.187000,1410715
2019-01-14,0.191000,0.198000,0.171700,0.175000,0.175000,421446
2019-01-21,0.175000,0.200000,0.171000,0.181000,0.181000,307283
2019-01-28,0.178800,0.190000,0.153000,0.187400,0.187400,1050703
2019-02-04,0.172900,0.215700,0.170000,0.190000,0.190000,694819
2019-02-11,0.190000,0.202550,0.180500,0.192360,0.192360,395965
2019-02-18,0.192360,0.192360,0.167800,0.178200,0.178200,391476
2019-02-25,0.178200,0.187900,0.160500,0.184500,0.184500,1110976
2019-03-04,0.180000,0.187000,0.160000,0.170000,0.170000,638602
2019-03-11,0.180000,0.226900,0.175800,0.226900,0.226900,499580
2019-03-18,0.229900,0.260000,0.208100,0.236500,0.236500,556048
2019-03-25,0.240000,0.245040,0.202500,0.220700,0.220700,427041
2019-04-01,0.226600,0.236900,0.203100,0.230000,0.230000,280754
2019-04-08,0.216470,0.230900,0.203000,0.208900,0.208900,837645
2019-04-15,0.204750,0.225220,0.195000,0.205000,0.205000,1193242
2019-04-22,0.211220,0.222800,0.204000,0.216800,0.216800,598668
2019-04-29,0.221100,0.221100,0.147100,0.188000,0.188000,1148409
2019-05-06,0.190000,0.190000,0.134000,0.140100,0.140100,1376171
2019-05-13,0.137900,0.157200,0.120000,0.152000,0.152000,365747
2019-05-20,0.156000,0.156000,0.120500,0.152320,0.152320,136682
2019-05-27,0.152320,0.185000,0.138500,0.154000,0.154000,51067
2019-06-03,0.149000,0.150000,0.100000,0.134300,0.134300,236929
2019-06-10,0.110000,0.178000,0.110000,0.178000,0.178000,193379
2019-06-17,0.178000,0.300000,0.125500,0.250000,0.250000,620686
2019-06-24,0.192750,0.260000,0.150000,0.250000,0.250000,454795
2019-07-01,0.190000,0.260000,0.190000,0.212100,0.212100,219515
2019-07-08,0.210000,0.210000,0.190000,0.202700,0.202700,159837
2019-07-15,0.194500,0.210000,0.166000,0.190000,0.190000,485171
2019-07-22,0.195000,0.200000,0.176000,0.200000,0.200000,120033
2019-07-29,0.219900,0.220000,0.150000,0.183980,0.183980,221001
2019-08-05,0.148750,0.207900,0.148750,0.170740,0.170740,233203
2019-08-12,0.150100,0.198900,0.150000,0.162500,0.162500,197050
2019-08-19,0.156250,0.157000,0.022400,0.100000,0.100000,3696987
2019-08-26,0.070000,0.100000,0.050000,0.075750,0.075750,977390
2019-09-02,0.075750,0.086000,0.050100,0.056620,0.056620,598585
2019-09-09,0.050000,0.064920,0.040000,0.064920,0.064920,178405
2019-09-16,0.051000,0.060000,0.045000,0.045000,0.045000,206284
2019-09-23,0.045000,0.055000,0.040100,0.047500,0.047500,243726
2019-09-30,0.050000,0.050000,0.045000,0.050000,0.050000,271600
2019-10-07,0.053000,0.060000,0.050000,0.060000,0.060000,55560
2019-10-09,0.060000,0.060000,0.060000,0.060000,0.060000,1060
