Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,41.020000,41.180000,40.549999,40.869999,39.268509,356300
2017-10-16,40.970001,41.560001,40.290001,41.160000,39.547150,467100
2017-10-23,41.200001,41.849998,40.849998,41.700001,40.065990,419000
2017-10-30,41.549999,45.189999,41.000000,43.680000,41.968403,927200
2017-11-06,43.410000,44.330002,43.139999,43.500000,41.795456,394600
2017-11-13,43.320000,44.259998,42.439999,43.720001,42.006836,788400
2017-11-20,43.790001,45.060001,43.209999,44.630001,42.881176,351800
2017-11-27,44.779999,46.410000,43.939999,45.119999,43.351974,696900
2017-12-04,45.430000,46.020000,43.590000,43.880001,42.160564,735400
2017-12-11,43.720001,44.970001,43.400002,44.549999,42.992970,820900
2017-12-18,44.860001,45.430000,44.099998,44.770000,43.205292,614000
2017-12-25,44.810001,44.860001,43.779999,43.820000,42.288486,364300
2018-01-01,44.009998,44.869999,43.820000,44.790001,43.224586,507700
2018-01-08,44.770000,46.060001,43.419998,45.580002,43.986980,695600
2018-01-15,45.820000,46.709999,44.790001,45.680000,44.083481,471200
2018-01-22,45.660000,46.490002,45.139999,45.889999,44.286140,841600
2018-01-29,45.889999,46.049999,44.410000,45.099998,43.523746,962400
2018-02-05,44.660000,48.310001,42.070000,44.610001,43.050877,1107200
2018-02-12,44.639999,47.980000,43.650002,47.680000,46.013588,997100
2018-02-19,47.500000,48.820000,47.110001,47.169998,45.521404,1067700
2018-02-26,47.160000,48.660000,45.320000,46.599998,44.971325,994100
2018-03-05,46.450001,47.060001,45.540001,47.000000,45.357349,1186900
2018-03-12,47.000000,47.709999,46.650002,47.240002,45.588959,1740100
2018-03-19,47.139999,47.970001,44.150002,44.160000,42.807671,1029700
2018-03-26,44.549999,45.830002,41.799999,45.290001,43.903069,802100
2018-04-02,45.169998,46.860001,43.189999,44.759998,43.389294,1030900
2018-04-09,44.970001,46.570000,42.020000,45.110001,43.728580,1566300
2018-04-16,45.389999,46.580002,44.119999,44.150002,42.797981,1700400
2018-04-23,44.330002,45.180000,43.119999,43.220001,41.896461,983900
2018-04-30,43.259998,45.299999,39.790001,39.990002,38.765369,1833900
2018-05-07,40.060001,40.060001,38.070000,39.320000,38.115883,1287200
2018-05-14,39.389999,40.580002,39.000000,40.169998,38.939857,1447300
2018-05-21,40.290001,41.669998,40.070000,41.200001,39.938320,1005300
2018-05-28,41.099998,41.759998,40.790001,41.509998,40.238823,786800
2018-06-04,41.500000,42.369999,39.919998,41.910000,40.626572,740600
2018-06-11,41.980000,43.340000,41.700001,43.240002,42.128979,1010200
2018-06-18,43.060001,43.910000,42.330002,42.410000,41.320301,972600
2018-06-25,42.279999,42.490002,40.869999,40.869999,39.819870,738500
2018-07-02,40.750000,42.320000,40.290001,42.299999,41.213123,670200
2018-07-09,42.459999,42.669998,41.240002,41.299999,40.238819,645800
2018-07-16,41.259998,41.520000,40.500000,41.169998,40.112160,670400
2018-07-23,41.119999,41.939999,40.259998,41.220001,40.160881,820900
2018-07-30,41.139999,41.959999,37.299999,37.840000,36.867722,1324200
2018-08-06,37.910000,38.959999,37.270000,37.410000,36.448776,696300
2018-08-13,37.439999,38.290001,36.380001,37.930000,36.955414,796300
2018-08-20,38.040001,38.270000,36.610001,37.020000,36.068794,699000
2018-08-27,37.160000,37.459999,36.560001,37.349998,36.390316,573000
2018-09-03,37.200001,38.310001,37.080002,37.830002,36.857983,695800
2018-09-10,37.970001,40.189999,37.560001,40.150002,39.118370,1247200
2018-09-17,40.330002,42.060001,39.720001,41.869999,41.020866,1385300
2018-09-24,41.740002,42.049999,39.590000,40.139999,39.325951,805700
2018-10-01,40.259998,40.689999,38.160000,38.520000,37.738808,664100
2018-10-08,38.529999,38.590000,35.689999,35.970001,35.240520,753200
2018-10-15,35.910000,36.930000,35.650002,35.919998,35.191536,643200
2018-10-22,35.930000,36.209999,33.779999,34.200001,33.506420,658800
2018-10-29,34.549999,36.310001,33.330002,36.080002,35.348293,907700
2018-11-05,36.040001,37.939999,34.799999,36.709999,35.965511,901400
2018-11-12,36.790001,37.509998,36.169998,36.720001,35.975315,677700
2018-11-19,36.750000,36.860001,34.299999,35.130001,34.417561,338500
2018-11-26,35.279999,35.919998,34.259998,35.070000,34.358776,770100
2018-12-03,35.490002,35.779999,32.020000,32.459999,31.801702,792000
2018-12-10,32.369999,34.029999,31.730000,33.400002,32.918587,920800
2018-12-17,33.209999,33.740002,30.860001,30.950001,30.503899,1054400
2018-12-24,30.940001,32.200001,30.400000,31.600000,31.144531,429500
2018-12-31,31.820000,33.009998,31.280001,32.689999,32.218819,563800
2019-01-07,32.759998,34.080002,31.309999,33.790001,33.302963,791200
2019-01-14,33.619999,35.840000,33.380001,35.220001,34.712353,688000
2019-01-21,35.020000,36.169998,34.590000,35.959999,35.441689,656400
2019-01-28,35.820000,36.500000,34.650002,36.360001,35.835922,456500
2019-02-04,36.410000,42.759998,35.900002,41.250000,40.655437,1130200
2019-02-11,41.230000,41.779999,40.450001,41.250000,40.655437,998500
2019-02-18,41.110001,42.430000,40.529999,42.369999,41.759293,1081600
2019-02-25,42.369999,42.560001,41.110001,41.820000,41.217224,643500
2019-03-04,41.799999,42.049999,40.270000,41.150002,40.556885,791900
2019-03-11,41.169998,41.970001,40.360001,41.450001,40.852558,931900
2019-03-18,41.540001,42.279999,41.009998,41.279999,40.904430,910400
2019-03-25,41.320000,42.529999,40.750000,42.299999,41.915154,774900
2019-04-01,42.520000,44.529999,42.490002,44.360001,43.956413,693200
2019-04-08,44.250000,44.950001,43.419998,44.709999,44.303230,707300
2019-04-15,44.820000,44.849998,43.500000,43.810001,43.411419,424400
2019-04-22,43.650002,45.459999,43.509998,44.439999,44.035686,762400
2019-04-29,44.590000,49.750000,44.130001,46.290001,45.868855,1557200
2019-05-06,45.650002,47.610001,45.389999,46.330002,45.908489,853500
2019-05-13,45.790001,46.779999,44.990002,45.490002,45.076134,796700
2019-05-20,45.410000,46.400002,44.779999,45.380001,44.967133,846800
2019-05-27,45.630001,45.630001,44.250000,44.849998,44.441952,647000
2019-06-03,44.880001,46.639999,43.959999,46.410000,45.987762,863400
2019-06-10,46.529999,47.730000,46.250000,47.209999,47.014240,639800
2019-06-17,47.330002,49.200001,46.689999,48.490002,48.288937,1035600
2019-06-24,48.500000,48.930000,47.740002,48.830002,48.627529,1317500
2019-07-01,49.400002,49.860001,48.349998,49.220001,49.015911,637300
2019-07-08,49.189999,49.779999,47.880001,48.820000,48.617565,771800
2019-07-15,49.009998,49.450001,48.180000,48.599998,48.398479,973400
2019-07-22,48.790001,52.119999,47.669998,51.840000,51.625046,1111000
2019-07-29,52.029999,52.720001,49.880001,50.279999,50.071510,1026100
2019-08-05,49.450001,57.200001,42.560001,50.470001,50.260727,1382800
2019-08-12,50.250000,52.810001,49.250000,52.700001,52.481480,1159000
2019-08-19,53.330002,54.779999,51.639999,51.790001,51.575253,900500
2019-08-26,50.560001,53.950001,48.029999,53.880001,53.656586,867400
2019-09-02,53.500000,54.810001,52.790001,53.680000,53.457417,1237700
2019-09-09,53.720001,54.180000,51.880001,52.889999,52.670689,850100
2019-09-16,52.570000,54.220001,52.009998,52.930000,52.930000,1326000
2019-09-23,52.849998,53.349998,50.830002,51.320000,51.320000,1015500
2019-09-30,51.419998,53.599998,49.820000,51.990002,51.990002,1425700
2019-10-07,51.910000,51.980000,50.029999,51.320000,51.320000,1214700
2019-10-10,51.080002,51.980000,50.910000,51.320000,51.320000,111122
