Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.000510,0.000510,0.000510,0.000510,0.000510,0
2017-10-16,0.000500,0.001040,0.000400,0.000400,0.000400,274500
2017-10-23,0.000400,0.000400,0.000400,0.000400,0.000400,0
2017-10-30,0.000400,0.000400,0.000400,0.000400,0.000400,0
2017-11-06,0.000400,0.000400,0.000400,0.000400,0.000400,31089
2017-11-13,0.000500,0.000500,0.000500,0.000500,0.000500,100
2017-11-20,0.000400,0.000520,0.000400,0.000520,0.000520,52035
2017-11-27,0.000200,0.000900,0.000200,0.000900,0.000900,729765
2017-12-04,0.000900,0.000900,0.000700,0.000700,0.000700,13830
2017-12-11,0.000300,0.000300,0.000300,0.000300,0.000300,200500
2017-12-18,0.000400,0.000900,0.000400,0.000500,0.000500,1113261
2017-12-25,0.000500,0.000500,0.000500,0.000500,0.000500,3000
2018-01-01,0.000500,0.000500,0.000500,0.000500,0.000500,0
2018-01-08,0.000500,0.000500,0.000500,0.000500,0.000500,4600
2018-01-15,0.000500,0.000540,0.000500,0.000540,0.000540,1000
2018-01-22,0.000540,0.000540,0.000540,0.000540,0.000540,0
2018-01-29,0.000500,0.000700,0.000500,0.000600,0.000600,35000
2018-02-05,0.000600,0.000600,0.000600,0.000600,0.000600,40000
2018-02-12,0.000600,0.000900,0.000500,0.000900,0.000900,311100
2018-02-19,0.000900,0.000900,0.000500,0.000500,0.000500,10000
2018-02-26,0.000500,0.001500,0.000500,0.000500,0.000500,2000
2018-03-05,0.000500,0.000890,0.000500,0.000500,0.000500,10600
2018-03-12,0.000500,0.000660,0.000500,0.000500,0.000500,30000
2018-03-19,0.000500,0.000500,0.000500,0.000500,0.000500,0
2018-03-26,0.000500,0.000900,0.000400,0.000900,0.000900,877973
2018-04-02,0.000900,0.001400,0.000500,0.001100,0.001100,22500
2018-04-09,0.001100,0.001420,0.000600,0.001420,0.001420,4600
2018-04-16,0.001420,0.001420,0.001420,0.001420,0.001420,0
