Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,15100.000000,15900.000000,15100.000000,15500.000000,15500.000000,407400
2017-10-16,15600.000000,16500.000000,15400.000000,16000.000000,16000.000000,555310
2017-10-23,16100.000000,16200.000000,14500.000000,14500.000000,14500.000000,507790
2017-10-30,14500.000000,14500.000000,13100.000000,13500.000000,13500.000000,534100
2017-11-06,13500.000000,17200.000000,13400.000000,16050.000000,16050.000000,1113170
2017-11-13,15600.000000,18000.000000,15600.000000,16200.000000,16200.000000,871530
2017-11-20,16200.000000,17000.000000,14900.000000,15000.000000,15000.000000,605990
2017-11-27,14600.000000,16000.000000,14600.000000,15550.000000,15550.000000,441550
2017-12-04,15500.000000,15550.000000,14300.000000,14900.000000,14900.000000,597360
2017-12-11,15000.000000,15100.000000,14500.000000,14800.000000,14800.000000,391360
2017-12-18,14800.000000,17550.000000,14800.000000,15400.000000,15400.000000,570320
2017-12-25,15400.000000,15700.000000,13700.000000,13700.000000,13700.000000,489780
2018-01-01,13700.000000,13700.000000,2.390000,2.440000,2.440000,313003
2018-01-08,2.430000,2.520000,2.400000,2.400000,2.400000,403984
2018-01-15,2.400000,2.505000,2.280000,2.350000,2.350000,717702
2018-01-22,2.350000,2.355000,2.300000,2.340000,2.340000,316879
2018-01-29,2.340000,2.460000,2.325000,2.360000,2.360000,642992
2018-02-05,2.380000,2.435000,2.145000,2.265000,2.265000,864367
2018-02-12,2.295000,2.450000,2.280000,2.300000,2.300000,557527
2018-02-19,2.320000,2.370000,2.280000,2.310000,2.310000,378314
2018-02-26,2.325000,2.325000,2.140000,2.145000,2.145000,350582
2018-03-05,null,null,null,null,null,null
2018-03-12,null,null,null,null,null,null
2018-03-19,null,null,null,null,null,null
2018-03-26,null,null,null,null,null,null
2018-04-02,null,null,null,null,null,null
2018-04-09,null,null,null,null,null,null
2018-04-16,null,null,null,null,null,null
2018-04-23,11500.000000,11600.000000,10100.000000,10650.000000,10650.000000,296780
2018-04-30,10650.000000,11350.000000,9810.000000,9810.000000,9810.000000,322220
2018-05-07,10200.000000,10500.000000,9950.000000,10000.000000,10000.000000,507530
2018-05-14,10000.000000,11000.000000,9850.000000,10850.000000,10850.000000,696620
2018-05-21,10400.000000,10850.000000,9700.000000,10000.000000,10000.000000,655600
2018-05-28,9900.000000,10700.000000,9520.000000,10600.000000,10600.000000,628150
2018-06-04,10750.000000,11100.000000,10150.000000,10600.000000,10600.000000,601680
2018-06-11,10400.000000,12000.000000,10400.000000,11700.000000,11700.000000,654270
2018-06-18,11800.000000,11800.000000,10050.000000,10100.000000,10100.000000,570100
2018-06-25,10400.000000,10600.000000,9600.000000,10000.000000,10000.000000,564350
2018-07-02,10200.000000,10200.000000,9100.000000,9100.000000,9100.000000,407300
2018-07-09,9400.000000,9500.000000,8800.000000,9200.000000,9200.000000,608140
2018-07-16,9300.000000,9300.000000,8650.000000,8970.000000,8970.000000,358670
2018-07-23,8990.000000,9500.000000,8900.000000,9200.000000,9200.000000,185000
2018-07-30,8950.000000,9200.000000,8500.000000,8950.000000,8950.000000,238700
2018-08-06,9490.000000,9490.000000,8950.000000,9180.000000,9180.000000,302950
2018-08-13,9180.000000,9250.000000,8800.000000,9000.000000,9000.000000,299420
2018-08-20,8930.000000,9150.000000,8300.000000,8550.000000,8550.000000,370950
2018-08-27,8600.000000,9000.000000,8500.000000,8910.000000,8910.000000,341520
2018-09-03,8910.000000,8980.000000,8680.000000,8850.000000,8850.000000,283750
2018-09-10,8830.000000,9100.000000,8800.000000,8860.000000,8860.000000,327380
2018-09-17,8860.000000,9200.000000,8600.000000,9050.000000,9050.000000,729830
2018-09-24,9100.000000,9700.000000,9010.000000,9490.000000,9490.000000,990930
2018-10-01,9410.000000,9500.000000,8800.000000,9000.000000,9000.000000,692940
2018-10-08,9100.000000,9300.000000,8000.000000,8130.000000,8130.000000,477960
2018-10-15,8400.000000,8490.000000,8110.000000,8240.000000,8240.000000,347470
2018-10-22,8220.000000,8440.000000,7620.000000,7740.000000,7740.000000,482530
2018-10-29,7750.000000,8000.000000,7400.000000,7890.000000,7890.000000,291730
2018-11-05,7990.000000,7990.000000,7800.000000,7800.000000,7800.000000,211740
2018-11-12,7810.000000,7990.000000,7800.000000,7800.000000,7800.000000,192670
2018-11-19,7810.000000,7980.000000,7500.000000,7730.000000,7730.000000,203920
2018-11-26,7600.000000,8000.000000,7580.000000,7600.000000,7600.000000,221480
2018-12-03,7600.000000,7890.000000,7540.000000,7540.000000,7540.000000,202880
2018-12-10,7770.000000,8100.000000,7520.000000,7900.000000,7900.000000,222530
2018-12-17,7900.000000,7940.000000,7500.000000,7500.000000,7500.000000,207540
2018-12-24,7500.000000,7800.000000,7300.000000,7680.000000,7680.000000,122330
2018-12-31,7680.000000,8000.000000,7300.000000,7400.000000,7400.000000,34680
2019-01-07,7500.000000,7500.000000,7100.000000,7420.000000,7420.000000,24750
2019-01-14,7400.000000,7400.000000,7110.000000,7300.000000,7300.000000,30980
2019-01-21,7230.000000,7780.000000,7230.000000,7310.000000,7310.000000,17560
2019-01-28,7230.000000,7650.000000,7050.000000,7450.000000,7450.000000,28660
2019-02-04,7450.000000,7450.000000,7450.000000,7450.000000,7450.000000,0
2019-02-11,7600.000000,7930.000000,7000.000000,7350.000000,7350.000000,27540
2019-02-18,7350.000000,7350.000000,7010.000000,7100.000000,7100.000000,58600
2019-02-25,7100.000000,7350.000000,7000.000000,7100.000000,7100.000000,23080
2019-03-04,7100.000000,7290.000000,6960.000000,6980.000000,6980.000000,108380
2019-03-11,7000.000000,8000.000000,6980.000000,7040.000000,7040.000000,572200
2019-03-18,7000.000000,7060.000000,6610.000000,6680.000000,6680.000000,225700
2019-03-25,6680.000000,6990.000000,6370.000000,6620.000000,6620.000000,77250
2019-04-01,6690.000000,6800.000000,6420.000000,6770.000000,6770.000000,63640
2019-04-08,6610.000000,6750.000000,6550.000000,6750.000000,6750.000000,132550
2019-04-15,6750.000000,7000.000000,6550.000000,6900.000000,6900.000000,173770
2019-04-22,6900.000000,6900.000000,6420.000000,6550.000000,6550.000000,263420
2019-04-29,6550.000000,6710.000000,6550.000000,6710.000000,6710.000000,14610
2019-05-06,6600.000000,7300.000000,6600.000000,6660.000000,6660.000000,216660
