Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,5.020000,5.090000,4.900000,4.960000,4.449161,607300
2017-10-16,4.980000,5.030000,4.750000,4.860000,4.359460,1494800
2017-10-23,4.790000,4.870000,4.550000,4.650000,4.171089,1593800
2017-10-30,4.650000,4.970000,4.650000,4.720000,4.233879,1718800
2017-11-06,4.740000,5.070000,4.680000,4.820000,4.323580,1188800
2017-11-13,4.830000,4.830000,4.630000,4.650000,4.171089,1033800
2017-11-20,4.650000,4.680000,4.460000,4.480000,4.018598,898700
2017-11-27,4.500000,4.700000,4.480000,4.570000,4.099328,1214400
2017-12-04,4.570000,4.680000,4.100000,4.360000,3.910956,2014200
2017-12-11,4.320000,4.420000,4.100000,4.100000,3.762086,2843300
2017-12-18,4.140000,4.150000,3.800000,3.930000,3.606097,3505400
2017-12-25,3.930000,4.300000,3.900000,4.280000,3.927251,2709000
2018-01-01,4.400000,4.690000,4.340000,4.590000,4.211701,2524500
2018-01-08,4.600000,4.600000,3.990000,4.060000,3.725382,2694700
2018-01-15,4.060000,4.330000,4.010000,4.040000,3.707031,1351300
2018-01-22,4.030000,4.250000,4.010000,4.040000,3.707031,1052600
2018-01-29,4.040000,4.190000,4.010000,4.080000,3.743734,1257700
2018-02-05,4.050000,4.150000,4.000000,4.040000,3.707031,1112500
2018-02-12,4.050000,4.140000,4.050000,4.050000,3.716207,659100
2018-02-19,4.050000,4.090000,3.920000,3.960000,3.633624,842900
2018-02-26,3.990000,4.010000,3.870000,3.900000,3.578569,981900
2018-03-05,3.910000,4.000000,3.740000,3.760000,3.450108,1368200
2018-03-12,3.760000,3.770000,3.210000,3.210000,3.023774,3587600
2018-03-19,3.200000,3.210000,2.920000,3.110000,2.929575,2148200
2018-03-26,3.160000,3.190000,2.870000,3.120000,2.938995,1510400
2018-04-02,3.120000,3.450000,3.110000,3.230000,3.042614,940600
2018-04-09,3.250000,3.270000,3.040000,3.180000,2.995514,665000
2018-04-16,3.170000,3.450000,3.120000,3.450000,3.249851,949900
2018-04-23,3.450000,3.990000,3.420000,3.660000,3.447668,1386400
2018-04-30,3.660000,3.940000,3.660000,3.750000,3.532446,767700
2018-05-07,3.740000,3.900000,3.520000,3.530000,3.325209,861900
2018-05-14,3.550000,3.800000,3.530000,3.730000,3.513607,553000
2018-05-21,3.730000,3.800000,3.600000,3.780000,3.560706,641500
2018-05-28,3.760000,3.800000,3.650000,3.720000,3.504187,486900
2018-06-04,3.750000,3.870000,3.450000,3.510000,3.306370,1544400
2018-06-11,3.520000,3.670000,3.300000,3.410000,3.297829,1578800
2018-06-18,3.450000,3.640000,3.310000,3.330000,3.220460,1058600
2018-06-25,3.330000,3.400000,3.260000,3.360000,3.249474,705500
2018-07-02,3.360000,3.390000,3.330000,3.350000,3.239803,307700
