Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,11.500000,12.250000,11.500000,12.250000,12.250000,7200
2019-01-08,12.250000,12.250000,11.200000,11.520000,11.520000,14100
2019-01-15,11.520000,12.000000,11.250000,12.000000,12.000000,1000
2019-01-22,12.000000,12.600000,11.510000,11.510000,11.510000,2200
2019-01-29,11.510000,11.800000,11.510000,11.750000,11.750000,3000
2019-02-05,11.750000,11.750000,11.360000,11.700000,11.700000,22700
2019-02-12,11.700000,11.950000,11.700000,11.950000,11.950000,2600
2019-02-19,11.950000,13.220000,11.950000,13.220000,13.220000,16300
2019-02-26,12.750000,14.000000,12.633000,13.500000,13.500000,3800
2019-03-05,14.240000,14.240000,11.060000,11.310000,11.310000,9400
2019-03-12,11.750000,13.040000,11.210000,11.880000,11.880000,5300
2019-03-19,11.880000,11.880000,11.256000,11.500000,11.500000,1600
2019-03-26,11.210000,12.000000,11.210000,12.000000,12.000000,7800
2019-04-02,11.800000,12.000000,11.800000,11.850000,11.850000,3800
2019-04-09,11.500000,11.500000,10.770000,10.770000,10.770000,7300
2019-04-16,10.770000,12.890000,10.770000,10.780000,10.780000,3100
2019-04-23,10.780000,11.050000,10.780000,11.050000,11.050000,8500
2019-04-30,10.800000,11.400000,10.800000,11.400000,11.400000,700
2019-05-07,11.750000,12.500000,11.000000,12.500000,12.500000,2800
2019-05-14,12.500000,12.500000,11.250000,11.250000,11.250000,5200
2019-05-21,11.250000,12.250000,11.250000,12.250000,12.250000,200
2019-05-28,12.250000,12.250000,12.250000,12.250000,12.250000,200
2019-06-04,12.250000,12.250000,11.600000,11.600000,11.600000,5000
2019-06-11,11.600000,11.600000,11.400000,11.400000,11.400000,2000
2019-06-18,11.400000,11.400000,11.400000,11.400000,11.400000,0
2019-06-25,11.400000,11.400000,11.400000,11.400000,11.400000,0
2019-07-02,11.400000,11.400000,11.400000,11.400000,11.400000,0
2019-07-09,11.400000,12.000000,11.400000,12.000000,12.000000,600
2019-07-16,11.260000,11.500000,10.810000,10.810000,10.810000,4900
2019-07-23,10.810000,11.500000,10.810000,10.810000,10.810000,1700
2019-07-30,11.500000,11.500000,10.810000,10.900000,10.900000,7100
2019-08-06,10.900000,10.900000,10.900000,10.900000,10.900000,9500
2019-08-13,10.900000,11.050000,10.900000,11.050000,11.050000,2100
2019-08-20,11.050000,11.050000,11.050000,11.050000,11.050000,0
2019-08-27,11.050000,11.050000,11.050000,11.050000,11.050000,0
2019-09-03,11.050000,11.050000,11.050000,11.050000,11.050000,0
2019-09-10,11.050000,11.050000,11.050000,11.050000,11.050000,0
2019-09-17,11.250000,11.250000,11.250000,11.250000,11.250000,100
2019-09-24,11.250000,11.250000,11.250000,11.250000,11.250000,0
2019-10-01,11.250000,11.250000,11.250000,11.250000,11.250000,0
2019-10-08,11.250000,12.000000,11.250000,12.000000,12.000000,300
2019-10-10,11.300000,12.000000,11.300000,12.000000,12.000000,200
