Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,9.400000,9.400000,9.040000,9.100000,9.100000,4000
2017-10-16,9.500000,9.500000,8.550000,8.980000,8.980000,3400
2017-10-23,8.980000,8.980000,8.550000,8.550000,8.550000,2200
2017-10-30,8.550000,9.170000,8.550000,8.700000,8.700000,3231400
2017-11-06,8.600000,8.690000,8.190000,8.190000,8.190000,16400
2017-11-13,7.500000,7.990000,7.440000,7.500000,7.500000,32200
2017-11-20,7.650000,7.990000,7.480000,7.800000,7.800000,21300
2017-11-27,7.760000,8.790000,7.730000,8.200000,8.200000,99500
2017-12-04,8.000000,12.000000,7.650000,10.190000,10.190000,26200
2017-12-11,10.000000,10.000000,9.100000,9.950000,9.950000,88900
2017-12-18,10.300000,11.000000,10.110000,10.400000,10.400000,46100
2017-12-25,10.400000,12.700000,10.400000,12.500000,12.500000,35200
2018-01-01,12.550000,13.500000,11.760000,12.450000,12.450000,44900
2018-01-08,12.700000,12.700000,12.250000,12.500000,12.500000,20800
2018-01-15,12.550000,12.550000,12.300000,12.500000,12.500000,13100
2018-01-22,12.300000,12.300000,11.000000,11.200000,11.200000,14400
2018-01-29,11.790000,12.150000,10.750000,11.750000,11.750000,6400
2018-02-05,11.650000,11.900000,11.400000,11.750000,11.750000,7400
2018-02-12,11.500000,11.630000,10.220000,10.300000,10.300000,25300
2018-02-19,10.350000,10.550000,9.940000,9.950000,9.950000,25300
2018-02-26,9.950000,10.000000,9.500000,9.500000,9.500000,700
2018-03-05,9.500000,9.560000,9.260000,9.300000,9.300000,2100
2018-03-12,9.260000,9.400000,9.250000,9.280000,9.280000,6200
2018-03-19,9.280000,9.280000,8.500000,8.500000,8.500000,3000
2018-03-26,8.500000,8.500000,8.000000,8.490000,8.490000,5500
2018-04-02,8.490000,8.490000,8.490000,8.490000,8.490000,0
2018-04-09,8.000000,8.750000,8.000000,8.750000,8.750000,2300
2018-04-16,8.750000,9.250000,8.750000,9.250000,9.250000,2700
2018-04-23,9.250000,9.500000,9.250000,9.500000,9.500000,2100
2018-04-30,9.660000,9.660000,8.250000,8.300000,8.300000,3300
2018-05-07,8.300000,8.300000,8.300000,8.300000,8.300000,100
2018-05-14,8.000000,8.600000,8.000000,8.600000,8.600000,3500
2018-05-21,9.000000,9.000000,8.500000,8.500000,8.500000,4800
2018-05-28,8.740000,8.740000,8.690000,8.700000,8.700000,5600
2018-06-04,8.700000,8.750000,8.700000,8.750000,8.750000,100
2018-06-11,8.750000,9.000000,8.500000,8.550000,8.550000,64100
2018-06-18,8.550000,9.990000,8.550000,9.270000,9.270000,4900
2018-06-25,9.500000,9.500000,9.200000,9.250000,9.250000,9700
2018-07-02,9.400000,9.400000,9.400000,9.400000,9.400000,1300
2018-07-09,9.400000,9.400000,8.750000,8.750000,8.750000,17600
2018-07-16,8.750000,9.150000,8.750000,9.150000,9.150000,1300
2018-07-23,9.150000,9.150000,9.150000,9.150000,9.150000,0
2018-07-30,9.500000,9.750000,9.000000,9.000000,9.000000,1400
2018-08-06,9.000000,9.250000,9.000000,9.250000,9.250000,1300
2018-08-13,9.250000,9.250000,8.610000,8.610000,8.610000,6300
2018-08-20,8.610000,9.490000,8.610000,9.000000,9.000000,1900
2018-08-27,9.000000,9.000000,8.700000,8.750000,8.750000,900
2018-09-03,8.750000,8.780000,8.600000,8.600000,8.600000,400
2018-09-10,8.600000,8.790000,8.210000,8.210000,8.210000,1900
2018-09-17,8.100000,8.200000,8.100000,8.200000,8.200000,1500
2018-09-24,8.290000,8.290000,7.750000,8.250000,8.250000,1500
2018-10-01,7.510000,8.850000,7.510000,8.560000,8.560000,26500
2018-10-08,8.750000,8.950000,8.570000,8.690000,8.690000,11100
