Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,6.790000,6.850000,6.300000,6.690000,6.690000,658800
2017-10-16,6.760000,6.780000,6.400000,6.750000,6.750000,8619400
2017-10-23,6.800000,6.880000,6.410000,6.470000,6.470000,6031700
2017-10-30,6.460000,6.690000,6.290000,6.290000,6.290000,2050600
2017-11-06,6.300000,6.400000,5.950000,6.060000,6.060000,4256100
2017-11-13,6.000000,6.100000,5.600000,5.650000,5.650000,3054400
2017-11-20,5.650000,5.900000,5.370000,5.700000,5.700000,4178600
2017-11-27,5.650000,6.780000,5.510000,6.400000,6.400000,6495800
2017-12-04,6.400000,8.500000,5.900000,7.050000,7.050000,5060600
2017-12-11,7.010000,7.950000,6.880000,7.820000,7.820000,2586800
2017-12-18,7.980000,8.850000,7.950000,8.460000,8.460000,6248700
2017-12-25,8.420000,8.660000,8.340000,8.600000,8.600000,10238000
2018-01-01,8.600000,8.750000,8.260000,8.400000,8.400000,3117900
2018-01-08,8.400000,8.500000,7.620000,8.220000,8.220000,8917000
2018-01-15,8.220000,8.230000,7.850000,7.860000,7.860000,7675000
2018-01-22,7.850000,7.850000,6.850000,7.300000,7.300000,23510900
2018-01-29,7.300000,8.240000,7.050000,8.130000,8.130000,7702100
2018-02-05,8.130000,8.200000,7.300000,7.410000,7.410000,4929400
2018-02-12,7.430000,7.500000,6.950000,7.170000,7.170000,4162500
2018-02-19,7.200000,7.710000,6.850000,7.270000,7.270000,8669500
2018-02-26,7.280000,7.310000,6.540000,6.700000,6.700000,1842300
2018-03-05,6.640000,7.030000,6.550000,6.840000,6.840000,4968300
2018-03-12,6.840000,7.030000,6.840000,6.900000,6.900000,4192700
2018-03-19,6.920000,6.920000,5.850000,5.950000,5.950000,4154300
2018-03-26,5.930000,6.050000,5.650000,5.750000,5.750000,3106000
2018-04-02,5.790000,5.800000,5.650000,5.730000,5.730000,693000
2018-04-09,5.730000,6.570000,5.700000,6.240000,6.240000,3028800
2018-04-16,6.250000,6.860000,6.250000,6.820000,6.820000,3858200
2018-04-23,6.840000,6.930000,6.620000,6.660000,6.660000,2662500
2018-04-30,6.680000,6.700000,5.520000,5.770000,5.770000,1784900
2018-05-07,5.770000,5.820000,5.420000,5.490000,5.490000,1547300
