Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,10.050000,10.050000,10.050000,10.050000,10.050000,0
2017-10-16,10.050000,10.050000,10.050000,10.050000,10.050000,0
2017-10-23,10.050000,10.050000,9.000000,9.000000,9.000000,1900
2017-10-30,9.000000,9.000000,9.000000,9.000000,9.000000,0
2017-11-06,9.000000,9.000000,9.000000,9.000000,9.000000,0
2017-11-13,9.000000,9.000000,9.000000,9.000000,9.000000,0
2017-11-20,9.000000,9.000000,9.000000,9.000000,9.000000,0
2017-11-27,9.000000,9.000000,8.700000,8.700000,8.700000,100
2017-12-04,8.700000,8.870000,8.700000,8.840000,8.840000,150000
2017-12-11,8.840000,10.780000,8.840000,10.770000,10.770000,1600
2017-12-18,10.770000,10.770000,10.769900,10.769900,10.769900,1600
2017-12-25,11.420000,11.420000,11.419900,11.419900,11.419900,200
2018-01-01,11.419900,13.100000,11.419900,13.100000,13.100000,1700
2018-01-08,13.100000,13.100000,13.100000,13.100000,13.100000,0
2018-01-15,13.100000,13.100000,13.100000,13.100000,13.100000,0
2018-01-22,13.100000,17.150000,11.000000,11.290000,11.290000,2379700
2018-01-29,11.290000,11.950000,11.290000,11.950000,11.950000,200
2018-02-05,11.950000,11.950000,11.950000,11.950000,11.950000,0
2018-02-12,11.950000,11.950000,11.950000,11.950000,11.950000,0
2018-02-19,10.790000,10.790000,10.780000,10.780000,10.780000,300
2018-02-26,10.780000,10.780000,10.780000,10.780000,10.780000,0
2018-03-05,10.780000,10.780000,10.780000,10.780000,10.780000,0
2018-03-12,10.780000,10.780000,9.750000,9.750000,9.750000,400
2018-03-19,9.750000,9.750000,8.500000,8.500000,8.500000,1200
2018-03-26,8.500000,8.500000,8.500000,8.500000,8.500000,0
2018-04-02,8.500000,8.500000,8.500000,8.500000,8.500000,0
2018-04-09,8.500000,8.500000,8.500000,8.500000,8.500000,0
2018-04-16,8.500000,8.500000,8.500000,8.500000,8.500000,0
2018-04-23,8.500000,8.500000,8.500000,8.500000,8.500000,0
2018-04-30,8.500000,8.500000,8.500000,8.500000,8.500000,0
