Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.140000,0.140000,0.130000,0.130000,0.130000,7300
2017-10-16,0.130000,0.140000,0.114000,0.140000,0.140000,43600
2017-10-23,0.140000,0.140000,0.120000,0.140000,0.140000,55100
2017-10-30,0.140000,0.140000,0.120000,0.128000,0.128000,47200
2017-11-06,0.130000,0.130000,0.110000,0.110000,0.110000,53100
2017-11-13,0.138000,0.138000,0.107000,0.136000,0.136000,20100
2017-11-20,0.120000,0.140000,0.120000,0.140000,0.140000,115300
2017-11-27,0.149000,0.149000,0.121000,0.140000,0.140000,38200
2017-12-04,0.140000,0.140000,0.121000,0.130000,0.130000,43500
2017-12-11,0.140000,0.140000,0.121000,0.125000,0.125000,25100
2017-12-18,0.125000,0.140000,0.120000,0.120000,0.120000,112500
2017-12-25,0.120000,0.150000,0.120000,0.142000,0.142000,227100
2018-01-01,0.142000,0.210000,0.142000,0.175000,0.175000,456000
2018-01-08,0.199000,0.200000,0.160000,0.180000,0.180000,399400
2018-01-15,0.181000,0.190000,0.170000,0.180000,0.180000,205700
2018-01-22,0.180000,0.180000,0.160000,0.180000,0.180000,102800
2018-01-29,0.155000,0.180000,0.150000,0.160000,0.160000,166100
2018-02-05,0.140000,0.160000,0.140000,0.150000,0.150000,69300
2018-02-12,0.150000,0.160000,0.137000,0.160000,0.160000,117200
2018-02-19,0.160000,0.160000,0.160000,0.160000,0.160000,0
2018-02-26,0.126000,0.156000,0.126000,0.130000,0.130000,55400
2018-03-05,0.126000,0.126000,0.050000,0.120000,0.120000,140900
2018-03-12,0.105000,0.125000,0.105000,0.110000,0.110000,97700
2018-03-19,0.110000,0.120000,0.088000,0.110000,0.110000,74800
2018-03-26,0.110000,0.110000,0.077000,0.100000,0.100000,3900
2018-04-02,0.100000,0.110000,0.077000,0.110000,0.110000,34000
2018-04-09,0.120000,0.120000,0.110000,0.110000,0.110000,43800
2018-04-16,0.100000,0.125000,0.100000,0.125000,0.125000,80600
2018-04-23,0.125000,0.125000,0.110000,0.110000,0.110000,68400
2018-04-30,0.120000,0.135000,0.100000,0.120000,0.120000,204600
2018-05-07,0.100000,0.105000,0.100000,0.100000,0.100000,41800
2018-05-14,0.100000,0.109000,0.080000,0.080000,0.080000,147300
2018-05-21,0.080000,0.110000,0.080000,0.109000,0.109000,15800
2018-05-28,0.080000,0.109000,0.051000,0.106000,0.106000,44100
2018-06-04,0.106000,0.106000,0.090000,0.100000,0.100000,54200
2018-06-11,0.080000,0.100000,0.080000,0.085000,0.085000,33200
2018-06-18,0.085000,0.100000,0.080000,0.086000,0.086000,45400
2018-06-25,0.100000,0.100000,0.086000,0.100000,0.100000,64400
2018-07-02,0.100000,0.146000,0.100000,0.142000,0.142000,662500
2018-07-09,0.130000,0.143000,0.100000,0.130000,0.130000,50700
2018-07-16,0.130000,0.130000,0.100000,0.119000,0.119000,129400
2018-07-23,0.110000,0.114000,0.100000,0.100000,0.100000,86100
2018-07-30,0.094000,0.100000,0.076000,0.076000,0.076000,43000
2018-08-06,0.090000,0.090000,0.075000,0.075000,0.075000,83300
2018-08-13,0.075000,0.080000,0.054000,0.059000,0.059000,149900
2018-08-20,0.060000,0.101000,0.060000,0.101000,0.101000,319400
2018-08-27,0.101000,0.101000,0.080000,0.100000,0.100000,7800
2018-09-03,0.100000,0.100000,0.067000,0.067000,0.067000,273600
2018-09-10,0.093000,0.093000,0.070000,0.070000,0.070000,38900
2018-09-17,0.080000,0.098000,0.070000,0.076000,0.076000,192600
2018-09-24,0.080000,0.096000,0.065000,0.066000,0.066000,147700
2018-10-01,0.066000,0.066000,0.060000,0.060000,0.060000,58100
2018-10-08,0.060000,0.063000,0.059000,0.059000,0.059000,12200
2018-10-15,0.075000,0.075000,0.036000,0.036000,0.036000,372400
2018-10-22,0.050000,0.074000,0.030000,0.041000,0.041000,1246000
2018-10-29,0.044000,0.044000,0.030000,0.030000,0.030000,672900
2018-11-05,0.032000,0.047000,0.029000,0.047000,0.047000,764200
2018-11-12,0.045000,0.045000,0.035000,0.035000,0.035000,153300
2018-11-19,0.035000,0.050000,0.035000,0.050000,0.050000,4200
2018-11-26,0.045000,0.045000,0.035000,0.040000,0.040000,174900
2018-12-03,0.040000,0.040000,0.031000,0.031000,0.031000,334000
2018-12-10,0.035000,0.046000,0.033000,0.034000,0.034000,196600
2018-12-17,0.034000,0.034000,0.022000,0.022000,0.022000,508600
2018-12-24,0.022000,0.028000,0.022000,0.024000,0.024000,165400
2018-12-31,0.027000,0.045000,0.025000,0.045000,0.045000,236600
2019-01-07,0.045000,0.045000,0.045000,0.045000,0.045000,60500
2019-01-14,0.039000,0.045000,0.038000,0.038000,0.038000,77200
2019-01-21,0.038000,0.038000,0.036000,0.036000,0.036000,3000
2019-01-28,0.036000,0.036000,0.025000,0.025000,0.025000,142700
2019-02-04,0.037000,0.037000,0.037000,0.037000,0.037000,19700
2019-02-11,0.037000,0.037000,0.035000,0.037000,0.037000,50000
2019-02-18,0.011000,0.037000,0.011000,0.037000,0.037000,8800
2019-02-25,0.037000,0.037000,0.037000,0.037000,0.037000,200
2019-03-04,0.037000,0.037000,0.013000,0.037000,0.037000,4700
2019-03-11,0.020000,0.020000,0.015000,0.020000,0.020000,14500
2019-03-18,0.016000,0.016000,0.015000,0.015000,0.015000,7000
2019-03-25,0.015000,0.016000,0.015000,0.015000,0.015000,95400
2019-04-01,0.015000,0.015000,0.015000,0.015000,0.015000,0
2019-04-08,0.015000,0.015000,0.015000,0.015000,0.015000,0
2019-04-15,0.015000,0.015000,0.015000,0.015000,0.015000,100
2019-04-22,0.015000,0.015000,0.015000,0.015000,0.015000,0
2019-04-29,0.011000,0.012000,0.005000,0.008000,0.008000,301400
2019-05-06,0.009000,0.009000,0.005000,0.008000,0.008000,9100
2019-05-13,0.005000,0.005000,0.001000,0.004000,0.004000,241200
2019-05-20,0.008000,0.009000,0.008000,0.009000,0.009000,3000
2019-05-27,0.009000,0.009000,0.004000,0.008000,0.008000,123900
2019-06-03,0.007000,0.008000,0.007000,0.008000,0.008000,15100
2019-06-10,0.008000,0.008000,0.006000,0.006000,0.006000,8300
2019-06-17,0.006000,0.006000,0.006000,0.006000,0.006000,2000
2019-06-24,0.006000,0.008000,0.006000,0.007000,0.007000,22800
2019-07-01,0.007000,0.007000,0.005000,0.007000,0.007000,103000
2019-07-08,0.007000,0.007000,0.007000,0.007000,0.007000,0
2019-07-15,0.007000,0.007000,0.005000,0.005000,0.005000,168200
2019-07-22,0.005000,0.008000,0.005000,0.007000,0.007000,232300
2019-07-29,0.006000,0.008000,0.006000,0.008000,0.008000,289800
2019-08-05,0.008000,0.065000,0.008000,0.012000,0.012000,3873900
2019-08-12,0.013000,0.014000,0.008000,0.008000,0.008000,764900
2019-08-19,0.008000,0.009000,0.008000,0.009000,0.009000,252500
2019-08-26,0.007000,0.009000,0.007000,0.008000,0.008000,209800
2019-09-02,0.008000,0.008000,0.008000,0.008000,0.008000,5000
2019-09-09,0.008000,0.008000,0.008000,0.008000,0.008000,217700
2019-09-16,0.008000,0.009000,0.008000,0.008000,0.008000,164300
2019-09-23,0.008000,0.008000,0.008000,0.008000,0.008000,483500
2019-09-30,0.007000,0.008000,0.006000,0.006000,0.006000,203700
2019-10-07,0.006000,0.008000,0.005000,0.005000,0.005000,13800
2019-10-09,0.006380,0.005300,0.005300,0.005300,0.005300,13818
