Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.500000,0.500000,0.500000,0.500000,0.500000,8847
2017-10-16,0.500000,0.500000,0.050000,0.500000,0.500000,4145
2017-10-23,0.500000,0.500000,0.500000,0.500000,0.500000,969
2017-10-30,0.500000,0.500000,0.500000,0.500000,0.500000,312
2017-11-06,0.500000,0.500000,0.050000,0.500000,0.500000,10898
2017-11-13,0.050000,0.440000,0.010100,0.057500,0.057500,320593
2017-11-20,0.040000,0.100000,0.036000,0.038000,0.038000,52590
2017-11-27,0.041000,0.100000,0.041000,0.099500,0.099500,29204
2017-12-04,0.045000,0.100000,0.043000,0.045000,0.045000,68422
2017-12-11,0.050000,0.100000,0.050000,0.050000,0.050000,28645
2017-12-18,0.050000,0.090000,0.041000,0.045000,0.045000,48288
2017-12-25,0.045000,0.099500,0.031000,0.035500,0.035500,27264
2018-01-01,0.035500,0.100000,0.025600,0.035000,0.035000,18252
2018-01-08,0.025500,0.085000,0.025500,0.055700,0.055700,17209
2018-01-15,0.055700,0.055700,0.040000,0.040000,0.040000,14770
2018-01-22,0.045000,0.046000,0.022000,0.022000,0.022000,78454
2018-01-29,0.075000,0.097500,0.025000,0.071600,0.071600,67213
2018-02-05,0.054250,0.080000,0.040000,0.040000,0.040000,21061
2018-02-12,0.061950,0.070000,0.051000,0.052000,0.052000,21477
2018-02-19,0.052000,0.062270,0.020000,0.051000,0.051000,14501
2018-02-26,0.098000,0.098000,0.041500,0.060000,0.060000,29706
2018-03-05,0.052000,0.090000,0.050000,0.050000,0.050000,20518
2018-03-12,0.050000,0.090000,0.050000,0.055000,0.055000,28657
2018-03-19,0.089000,0.089000,0.050000,0.050000,0.050000,26414
2018-03-26,0.050000,0.075000,0.050000,0.075000,0.075000,4725
2018-04-02,0.050000,0.074500,0.035000,0.074500,0.074500,63863
2018-04-09,0.074200,0.074400,0.050000,0.050000,0.050000,7687
2018-04-16,0.050000,0.076000,0.035000,0.060000,0.060000,58118
2018-04-23,0.060000,0.080000,0.051000,0.051000,0.051000,4405
2018-04-30,0.051000,0.052900,0.042000,0.042000,0.042000,30177
2018-05-07,0.070000,0.070000,0.042000,0.044000,0.044000,4735
2018-05-14,0.043000,0.043000,0.040000,0.042000,0.042000,25670
2018-05-21,0.042000,0.042000,0.042000,0.042000,0.042000,0
2018-05-28,0.042000,0.070000,0.042000,0.042000,0.042000,8401
2018-06-04,0.042000,0.069000,0.042000,0.042000,0.042000,18410
2018-06-11,0.048500,0.048500,0.042000,0.048500,0.048500,9569
2018-06-18,0.048500,0.048500,0.042000,0.042000,0.042000,1608
2018-06-25,0.063000,0.070000,0.063000,0.070000,0.070000,11135
2018-07-02,0.042000,0.042000,0.042000,0.042000,0.042000,461
2018-07-09,0.042000,0.050000,0.042000,0.042000,0.042000,6443
2018-07-16,0.042000,0.047800,0.042000,0.047800,0.047800,337
2018-07-23,0.047800,0.047800,0.042000,0.042000,0.042000,2438
2018-07-30,0.042000,0.050000,0.042000,0.042000,0.042000,7595
2018-08-06,0.042000,0.100000,0.042000,0.042000,0.042000,42150
2018-08-13,0.042000,0.042000,0.032000,0.032000,0.032000,10318
