Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.900000,0.980000,0.900000,0.950000,0.950000,2600
2017-10-16,0.950000,0.950000,0.950000,0.950000,0.950000,0
2017-10-23,0.800000,1.000000,0.800000,0.950000,0.950000,31500
2017-10-30,0.950000,1.050000,0.950000,1.000000,1.000000,8700
2017-11-06,0.850000,0.985000,0.850000,0.985000,0.985000,800
2017-11-13,0.985000,1.000000,0.985000,1.000000,1.000000,1000
2017-11-20,1.000000,1.000000,1.000000,1.000000,1.000000,9000
2017-11-27,1.000000,1.200000,1.000000,1.120000,1.120000,93900
2017-12-04,1.150000,5.000000,1.139000,1.240000,1.240000,170400
2017-12-11,1.257000,1.570000,0.520000,1.250000,1.250000,116700
2017-12-18,1.280000,1.550000,1.190000,1.200000,1.200000,105600
2017-12-25,1.200000,1.350000,0.870000,1.150000,1.150000,52800
2018-01-01,1.150000,1.510000,1.100000,1.180000,1.180000,96500
2018-01-08,1.200000,1.390000,1.000000,1.030000,1.030000,92200
2018-01-15,1.000000,1.060000,0.751000,0.888000,0.888000,34100
2018-01-22,0.850000,0.900000,0.250000,0.890000,0.890000,56400
2018-01-29,0.700000,1.000000,0.627000,0.930000,0.930000,132300
2018-02-05,0.930000,0.930000,0.551000,0.910000,0.910000,85900
2018-02-12,1.000000,1.000000,0.790000,0.930000,0.930000,176500
2018-02-19,1.000000,1.800000,0.750000,0.830000,0.830000,1292200
2018-02-26,0.851000,0.900000,0.410000,0.511000,0.511000,358200
2018-03-05,0.800000,0.850000,0.436000,0.440000,0.440000,2316200
2018-03-12,0.440000,0.530000,0.400000,0.410000,0.410000,418900
2018-03-19,0.410000,0.450000,0.250000,0.330000,0.330000,191900
2018-03-26,0.330000,0.430000,0.250000,0.250000,0.250000,180800
2018-04-02,0.390000,0.598000,0.255000,0.280000,0.280000,1655600
2018-04-09,0.285000,0.310000,0.210000,0.247000,0.247000,2270300
2018-04-16,0.250000,0.250000,0.149000,0.170000,0.170000,1180000
2018-04-23,0.170000,0.198000,0.130000,0.140000,0.140000,455500
2018-04-30,0.140000,0.140000,0.103000,0.140000,0.140000,342300
2018-05-07,0.140000,0.210000,0.107000,0.152000,0.152000,154900
2018-05-14,0.123000,0.164000,0.123000,0.160000,0.160000,241400
2018-05-21,0.160000,0.320000,0.137000,0.245000,0.245000,1952400
2018-05-28,0.270000,0.300000,0.170000,0.231000,0.231000,3559600
2018-06-04,0.240000,0.290000,0.182000,0.210000,0.210000,1356000
2018-06-11,0.210000,0.210000,0.130000,0.162000,0.162000,739500
2018-06-18,0.162000,0.190000,0.120000,0.122000,0.122000,1403800
2018-06-25,0.121000,0.150000,0.100000,0.100000,0.100000,986500
2018-07-02,0.105000,0.130000,0.100000,0.105000,0.105000,595800
2018-07-09,0.105000,0.110000,0.063000,0.092000,0.092000,441900
2018-07-16,0.068000,0.110000,0.060000,0.068000,0.068000,662700
2018-07-23,0.063000,0.120000,0.052000,0.072000,0.072000,679400
2018-07-30,0.070000,0.090000,0.070000,0.085000,0.085000,170700
2018-08-06,0.090000,0.090000,0.061000,0.080000,0.080000,194300
2018-08-13,0.080000,0.081000,0.053000,0.065000,0.065000,297700
2018-08-20,0.063000,0.085000,0.062000,0.080000,0.080000,175300
2018-08-27,0.080000,0.085000,0.068000,0.074000,0.074000,187700
2018-09-03,0.085000,0.085000,0.070000,0.077000,0.077000,61500
2018-09-10,0.069000,0.080000,0.050000,0.060000,0.060000,548300
2018-09-17,0.060000,0.080000,0.050000,0.057000,0.057000,335100
2018-09-24,0.051000,0.060000,0.032000,0.044000,0.044000,431600
2018-10-01,0.031000,0.074000,0.031000,0.055000,0.055000,298200
2018-10-08,0.050000,0.100000,0.050000,0.075000,0.075000,414900
2018-10-15,0.075000,0.135000,0.065000,0.099000,0.099000,510000
2018-10-22,0.130000,0.130000,0.064000,0.068000,0.068000,320300
2018-10-29,0.070000,0.081000,0.060000,0.080000,0.080000,45900
2018-11-05,0.066000,0.080000,0.060000,0.061000,0.061000,169100
2018-11-12,0.064000,0.080000,0.060000,0.080000,0.080000,83000
2018-11-19,0.079000,0.085000,0.041000,0.077000,0.077000,61900
2018-11-26,0.058000,0.079000,0.040000,0.060000,0.060000,186600
2018-12-03,0.070000,0.088000,0.060000,0.077000,0.077000,260000
2018-12-10,0.071000,0.077000,0.051000,0.065000,0.065000,133100
2018-12-17,0.043000,0.077000,0.040000,0.045000,0.045000,192700
2018-12-24,0.050000,0.050000,0.040000,0.041000,0.041000,88200
2018-12-31,0.040000,0.055000,0.035000,0.041000,0.041000,141600
2019-01-07,0.035000,0.068000,0.035000,0.049000,0.049000,65500
2019-01-14,0.048000,0.065000,0.039000,0.042000,0.042000,147700
2019-01-21,0.046000,0.056000,0.035000,0.052000,0.052000,117600
2019-01-28,0.039000,0.060000,0.039000,0.052000,0.052000,75500
2019-02-04,0.052000,0.058000,0.042000,0.046000,0.046000,91000
2019-02-11,0.042000,0.088000,0.042000,0.049000,0.049000,141400
2019-02-18,0.048000,0.051000,0.040000,0.042000,0.042000,295200
2019-02-25,0.060000,0.060000,0.037000,0.043000,0.043000,635800
2019-03-04,0.037000,0.044000,0.026000,0.038000,0.038000,1473200
2019-03-11,0.040000,0.054000,0.029000,0.032000,0.032000,658900
2019-03-18,0.029000,0.042000,0.020000,0.028000,0.028000,449700
2019-03-25,0.030000,0.039000,0.021000,0.032000,0.032000,335700
2019-04-01,0.024000,0.034000,0.023000,0.032000,0.032000,251900
2019-04-08,0.030000,0.035000,0.021000,0.031000,0.031000,266800
2019-04-15,0.029000,0.036000,0.022000,0.029000,0.029000,70400
2019-04-22,0.023000,0.033000,0.023000,0.028000,0.028000,287000
2019-04-29,0.023000,0.034000,0.023000,0.027000,0.027000,279300
2019-05-06,0.023000,0.027000,0.021000,0.022000,0.022000,173900
2019-05-13,0.021000,0.030000,0.021000,0.022000,0.022000,296200
2019-05-20,0.022000,0.033000,0.022000,0.023000,0.023000,33000
2019-05-27,0.024000,0.030000,0.021000,0.023000,0.023000,56900
2019-06-03,0.021000,0.030000,0.016000,0.025000,0.025000,190900
2019-06-10,0.025000,0.025000,0.011000,0.017000,0.017000,188700
2019-06-17,0.020000,0.024000,0.015000,0.015000,0.015000,64500
2019-06-24,0.015000,0.025000,0.012000,0.019000,0.019000,204400
