Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,4.000000,4.375000,2.750000,3.250000,3.250000,126725
2017-10-16,3.700000,4.325000,2.625000,3.500000,3.500000,103038
2017-10-23,3.750000,5.875000,3.025000,3.275000,3.275000,333591
2017-10-30,3.475000,3.625000,2.325000,2.425000,2.425000,140551
2017-11-06,2.425000,2.700000,2.075000,2.500000,2.500000,151754
2017-11-13,2.575000,3.142250,1.650000,1.750000,1.750000,196553
2017-11-20,1.750000,1.900000,1.500000,1.725000,1.725000,119207
2017-11-27,1.625000,1.875000,1.275000,1.375000,1.375000,80323
2017-12-04,1.275000,1.500000,0.875000,0.950000,0.950000,238839
2017-12-11,0.850000,1.212500,0.675000,0.700000,0.700000,276212
2017-12-18,0.725000,1.050000,0.725000,1.050000,1.050000,138325
2017-12-25,1.050000,2.200000,0.775000,1.650000,1.650000,375194
2018-01-01,1.650000,2.500000,1.075000,1.500000,1.500000,287670
2018-01-08,1.500000,1.925000,1.275000,1.425000,1.425000,107042
2018-01-15,1.425000,1.500000,0.725000,0.775000,0.775000,214552
2018-01-22,0.825000,1.150000,0.725000,0.775000,0.775000,262966
2018-01-29,0.775000,0.925000,0.700000,0.800000,0.800000,285930
2018-02-05,0.787500,0.875000,0.300000,0.400000,0.400000,578685
2018-02-12,0.425000,0.450000,0.275000,0.275000,0.275000,357092
2018-02-19,0.275000,0.300000,0.200000,0.225000,0.225000,196406
2018-02-26,0.250000,0.275000,0.175000,0.200000,0.200000,216157
2018-03-05,0.200000,0.225000,0.175000,0.175000,0.175000,282746
2018-03-12,0.175000,0.250000,0.175000,0.200000,0.200000,185880
2018-03-19,0.200000,0.300000,0.150000,0.175000,0.175000,518406
2018-03-26,0.200000,0.200000,0.137500,0.150000,0.150000,139490
2018-04-02,0.175000,0.175000,0.100000,0.100000,0.100000,267253
2018-04-09,0.100000,0.150000,0.075000,0.100000,0.100000,140668
2018-04-16,0.100000,0.150000,0.100000,0.125000,0.125000,46555
2018-04-23,0.125000,0.150000,0.075000,0.125000,0.125000,46783
2018-04-30,0.100000,0.150000,0.075000,0.100000,0.100000,24990
2018-05-07,0.150000,0.275000,0.125000,0.175000,0.175000,103954
2018-05-14,0.225000,0.225000,0.175000,0.175000,0.175000,12699
2018-05-21,0.200000,0.250000,0.175000,0.250000,0.250000,9835
2018-05-28,0.250000,0.250000,0.175000,0.250000,0.250000,17023
2018-06-04,0.225000,0.450000,0.200000,0.300000,0.300000,138627
2018-06-11,0.337500,0.550000,0.275000,0.400000,0.400000,240280
2018-06-18,0.300000,0.475000,0.300000,0.375000,0.375000,59942
2018-06-25,0.375000,0.450000,0.225000,0.247500,0.247500,57112
2018-07-02,0.275000,0.400000,0.250000,0.250000,0.250000,35996
2018-07-09,0.225000,0.300000,0.200000,0.250000,0.250000,45556
2018-07-16,0.225000,0.300000,0.100000,0.100000,0.100000,370977
2018-07-23,0.100000,0.250000,0.025000,0.025000,0.025000,85589
2018-07-30,0.150000,0.150000,0.021000,0.085500,0.085500,106321
