Date,Open,High,Low,Close,Adj Close,Volume
2018-08-27,0.085000,0.085000,0.085000,0.085000,0.085000,0
2018-09-03,null,null,null,null,null,null
2018-09-10,null,null,null,null,null,null
2018-09-17,null,null,null,null,null,null
2018-09-24,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-10-08,null,null,null,null,null,null
2018-10-15,null,null,null,null,null,null
2018-10-22,null,null,null,null,null,null
2018-10-29,null,null,null,null,null,null
2018-11-05,null,null,null,null,null,null
2018-11-12,null,null,null,null,null,null
2018-11-19,null,null,null,null,null,null
2018-11-26,null,null,null,null,null,null
2018-12-03,null,null,null,null,null,null
2018-12-10,null,null,null,null,null,null
2018-12-17,null,null,null,null,null,null
2018-12-24,null,null,null,null,null,null
2018-12-31,null,null,null,null,null,null
2019-01-07,0.145000,0.145000,0.145000,0.145000,0.145000,0
2019-01-14,null,null,null,null,null,null
2019-01-21,0.400000,0.450000,0.245000,0.250000,0.250000,51666
2019-01-28,null,null,null,null,null,null
2019-02-04,null,null,null,null,null,null
2019-02-11,null,null,null,null,null,null
2019-02-18,null,null,null,null,null,null
2019-02-25,null,null,null,null,null,null
2019-03-04,null,null,null,null,null,null
2019-03-11,null,null,null,null,null,null
2019-03-18,null,null,null,null,null,null
2019-03-25,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-04-08,null,null,null,null,null,null
2019-04-15,null,null,null,null,null,null
2019-04-22,null,null,null,null,null,null
2019-04-29,null,null,null,null,null,null
2019-05-06,null,null,null,null,null,null
2019-05-13,null,null,null,null,null,null
2019-05-20,null,null,null,null,null,null
2019-05-27,null,null,null,null,null,null
2019-06-03,null,null,null,null,null,null
2019-06-10,null,null,null,null,null,null
2019-06-17,null,null,null,null,null,null
2019-06-24,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-07-08,null,null,null,null,null,null
2019-07-15,null,null,null,null,null,null
2019-07-22,null,null,null,null,null,null
2019-07-29,null,null,null,null,null,null
2019-08-05,null,null,null,null,null,null
2019-08-12,null,null,null,null,null,null
2019-08-19,5.760000,5.880000,4.810000,5.000000,5.000000,33900
2019-08-26,4.970000,5.670000,3.780000,4.000000,4.000000,53900
2019-09-02,3.800000,4.400000,3.775000,3.900000,3.900000,30900
2019-09-09,3.850000,4.190000,3.770000,3.990000,3.990000,34600
2019-09-16,4.000000,4.190000,3.000000,3.350000,3.350000,42900
2019-09-23,3.150000,3.900000,3.030000,3.100000,3.100000,43900
2019-09-30,3.750000,3.750000,1.420000,1.500000,1.500000,111800
2019-10-07,1.500000,2.000000,1.500000,1.810000,1.810000,35900
2019-10-10,2.000000,2.000000,1.810000,1.810000,1.810000,2783
