Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,75.449997,76.339996,71.180000,74.580002,73.004509,13921300
2017-10-16,74.290001,81.139999,74.250000,81.050003,79.337830,22087000
2017-10-23,81.330002,81.769997,75.980003,76.669998,75.050354,14477500
2017-10-30,76.260002,77.610001,74.989998,76.430000,74.815422,14764600
2017-11-06,76.449997,79.620003,76.430000,78.680000,77.017883,11289200
2017-11-13,78.529999,78.529999,74.839996,75.239998,73.650558,11955400
2017-11-20,75.239998,78.190002,74.260002,77.190002,75.559357,6047300
2017-11-27,77.190002,86.040001,76.480003,84.050003,82.274452,17984900
2017-12-04,84.750000,85.879997,82.080002,84.839996,83.047752,12365700
2017-12-11,84.809998,88.690002,84.620003,88.459999,86.591286,13958100
2017-12-18,88.989998,90.290001,84.720001,89.089996,87.207977,12366200
2017-12-25,89.239998,89.940002,87.230003,87.839996,85.984383,5090900
2018-01-01,88.000000,89.809998,85.239998,86.930000,85.093605,10058500
2018-01-08,86.639999,89.029999,84.919998,88.800003,86.924103,8733500
2018-01-15,89.029999,93.320000,88.510002,93.010002,91.045174,10047900
2018-01-22,92.879997,97.120003,91.059998,97.070000,95.019394,10229600
2018-01-29,96.760002,106.839996,96.360001,99.690002,97.584061,19515700
2018-02-05,98.930000,100.300003,94.110001,97.839996,95.773125,12580500
2018-02-12,98.529999,102.220001,96.419998,101.000000,98.866379,8769600
2018-02-19,100.680000,101.940002,99.820000,100.839996,98.709755,5889500
2018-02-26,100.699997,102.980003,98.040001,101.379997,99.238350,12212100
2018-03-05,100.900002,104.169998,99.720001,103.900002,102.056816,7847600
2018-03-12,103.760002,104.199997,101.599998,102.769997,100.946869,9365800
2018-03-19,102.580002,102.820000,98.589996,98.779999,97.027657,8294400
2018-03-26,99.699997,99.989998,95.800003,97.000000,95.279243,9532500
2018-04-02,97.330002,98.400002,94.669998,96.239998,94.532715,12607200
2018-04-09,96.739998,97.559998,95.720001,96.279999,94.572006,8012500
