Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,5.200000,5.600000,4.600000,5.200000,5.200000,0
2017-10-16,4.800000,5.000000,4.600000,4.600000,4.600000,0
2017-10-23,4.600000,5.200000,4.600000,5.000000,5.000000,0
2017-10-30,4.600000,5.600000,1.740000,2.000000,2.000000,3400
2017-11-06,2.000000,2.000000,1.100000,1.110000,1.110000,2600
2017-11-13,1.100000,1.100000,1.000000,1.045000,1.045000,700
2017-11-20,1.045000,1.050000,1.045000,1.050000,1.050000,300
2017-11-27,1.150000,1.950000,1.150000,1.150000,1.150000,1200
2017-12-04,1.150000,1.350000,1.150000,1.350000,1.350000,100
2017-12-11,1.350000,1.750000,1.300000,1.750000,1.750000,1200
2017-12-18,1.750000,1.750000,1.750000,1.750000,1.750000,200
2017-12-25,1.750000,2.100000,1.750000,2.100000,2.100000,1000
2018-01-01,2.250000,3.000000,2.250000,3.000000,3.000000,3600
2018-01-08,3.000000,5.900000,3.000000,3.950000,3.950000,3400
2018-01-15,3.950000,4.490000,3.950000,3.950000,3.950000,500
2018-01-22,4.500000,5.000000,4.500000,5.000000,5.000000,700
2018-01-29,5.000000,6.030000,5.000000,6.030000,6.030000,3600
2018-02-05,6.030000,6.300000,6.030000,6.300000,6.300000,300
2018-02-12,6.990000,7.050000,6.990000,7.050000,7.050000,2500
2018-02-19,6.850000,6.850000,6.700000,6.740000,6.740000,900
2018-02-26,6.000000,6.000000,6.000000,6.000000,6.000000,400
2018-03-05,6.000000,6.000000,4.700000,4.700000,4.700000,700
2018-03-12,4.700000,4.700000,2.340000,2.340000,2.340000,1100
2018-03-19,2.350000,2.500000,2.350000,2.500000,2.500000,700
2018-03-26,2.500000,4.250000,2.500000,4.250000,4.250000,1100
2018-04-02,4.250000,4.250000,4.250000,4.250000,4.250000,0
2018-04-09,4.250000,4.250000,4.250000,4.250000,4.250000,0
2018-04-16,4.250000,4.250000,4.250000,4.250000,4.250000,0
2018-04-23,5.000000,5.000000,2.500000,2.500000,2.500000,400
2018-04-30,2.500000,2.500000,2.500000,2.500000,2.500000,200
2018-05-07,2.500000,2.500000,2.500000,2.500000,2.500000,0
2018-05-14,2.500000,2.500000,2.500000,2.500000,2.500000,0
2018-05-21,2.400000,2.400000,1.740000,1.740000,1.740000,500
2018-05-28,1.740000,1.740000,1.740000,1.740000,1.740000,0
2018-06-04,1.740000,3.000000,1.140000,3.000000,3.000000,1000
2018-06-11,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-06-18,3.000000,3.100000,2.700000,3.100000,3.100000,300
2018-06-25,3.100000,3.500000,3.100000,3.450000,3.450000,1300
2018-07-02,3.450000,3.450000,3.450000,3.450000,3.450000,0
2018-07-09,2.500000,3.010000,2.500000,3.010000,3.010000,1800
2018-07-16,3.010000,3.010000,3.010000,3.010000,3.010000,200
2018-07-23,3.010000,3.010000,3.010000,3.010000,3.010000,0
2018-07-30,3.010000,3.050000,3.010000,3.050000,3.050000,100
2018-08-06,3.050000,3.060000,3.050000,3.060000,3.060000,200
2018-08-13,3.060000,3.060000,3.060000,3.060000,3.060000,100
2018-08-20,3.060000,3.070000,3.060000,3.070000,3.070000,1000
2018-08-27,3.070000,3.150000,2.850000,3.100000,3.100000,2000
2018-09-03,3.100000,3.100000,3.100000,3.100000,3.100000,0
2018-09-10,3.100000,3.600000,3.100000,3.600000,3.600000,1000
2018-09-17,3.600000,4.480000,3.600000,4.480000,4.480000,600
2018-09-24,4.750000,4.750000,4.750000,4.750000,4.750000,600
2018-10-01,4.750000,5.000000,4.750000,5.000000,5.000000,200
2018-10-08,5.000000,5.000000,5.000000,5.000000,5.000000,0
2018-10-15,4.750000,5.500000,4.750000,5.500000,5.500000,500
2018-10-22,5.500000,5.500000,4.750000,4.750000,4.750000,300
2018-10-29,4.750000,5.000000,4.100000,5.000000,5.000000,600
2018-11-05,5.000000,5.000000,5.000000,5.000000,5.000000,400
2018-11-12,5.000000,5.000000,5.000000,5.000000,5.000000,300
2018-11-19,5.000000,5.000000,5.000000,5.000000,5.000000,200
2018-11-26,5.000000,5.000000,5.000000,5.000000,5.000000,700
2018-12-03,5.000000,5.000000,5.000000,5.000000,5.000000,200
2018-12-10,5.000000,5.000000,5.000000,5.000000,5.000000,700
2018-12-17,5.000000,5.000000,5.000000,5.000000,5.000000,300
2018-12-24,5.000000,5.000000,1.000000,1.000000,1.000000,300
2018-12-31,2.000000,2.000000,1.150000,1.150000,1.150000,1600
