Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.029500,0.050000,0.029500,0.050000,0.050000,45000
2017-10-16,0.040000,0.060000,0.040000,0.056700,0.056700,6300
2017-10-23,0.056700,0.056700,0.056700,0.056700,0.056700,0
2017-10-30,0.056700,0.207500,0.040000,0.040500,0.040500,33662
2017-11-06,0.040500,0.040500,0.040500,0.040500,0.040500,2700
2017-11-13,0.040000,0.040000,0.040000,0.040000,0.040000,10600
2017-11-20,0.050000,0.050000,0.030000,0.030000,0.030000,17250
2017-11-27,0.030000,0.040000,0.030000,0.036550,0.036550,1100
2017-12-04,0.040000,0.040000,0.025000,0.030000,0.030000,41225
2017-12-11,0.040000,0.040000,0.035000,0.035000,0.035000,51800
2017-12-18,0.035000,0.070000,0.030100,0.030100,0.030100,5502
2017-12-25,0.030100,0.080000,0.030100,0.040000,0.040000,31916
2018-01-01,0.040000,0.130000,0.040000,0.070000,0.070000,135919
2018-01-08,0.070000,0.120000,0.060000,0.100000,0.100000,45150
2018-01-15,0.100000,0.340000,0.100000,0.160000,0.160000,128035
2018-01-22,0.180000,0.250000,0.101000,0.161500,0.161500,73617
2018-01-29,0.240000,0.240000,0.062000,0.170000,0.170000,190270
2018-02-05,0.160000,0.250000,0.074000,0.250000,0.250000,144613
2018-02-12,0.250000,0.250000,0.150000,0.213020,0.213020,44751
2018-02-19,0.213020,0.250000,0.101000,0.101000,0.101000,113967
2018-02-26,0.101000,0.150000,0.101000,0.140000,0.140000,34065
2018-03-05,0.140000,0.140000,0.081000,0.086000,0.086000,16500
2018-03-12,0.086000,0.161000,0.082000,0.082000,0.082000,5493
2018-03-19,0.082000,0.188200,0.082000,0.188200,0.188200,1150
2018-03-26,0.190000,0.190000,0.082000,0.150000,0.150000,27725
2018-04-02,0.160000,0.160000,0.088000,0.088000,0.088000,10467
2018-04-09,0.088000,0.160000,0.088000,0.130000,0.130000,35644
2018-04-16,0.130000,0.130000,0.130000,0.130000,0.130000,0
2018-04-23,0.090000,0.095000,0.090000,0.091000,0.091000,16780
2018-04-30,0.130000,0.155000,0.100000,0.100000,0.100000,49075
2018-05-07,0.082000,0.086800,0.082000,0.085000,0.085000,7000
2018-05-14,0.085000,0.086250,0.083000,0.083000,0.083000,12580
2018-05-21,0.140000,0.140000,0.083000,0.083000,0.083000,10100
2018-05-28,0.083000,0.099000,0.057000,0.057000,0.057000,45030
2018-06-04,0.057000,0.057000,0.057000,0.057000,0.057000,0
2018-06-11,0.110000,0.110000,0.038000,0.038000,0.038000,88178
2018-06-18,0.094000,0.118000,0.053000,0.057700,0.057700,16600
2018-06-25,0.057700,0.057700,0.057700,0.057700,0.057700,0
2018-07-02,0.057700,0.057700,0.057700,0.057700,0.057700,0
2018-07-09,0.057700,0.057700,0.053000,0.053000,0.053000,12410
2018-07-16,0.053000,0.060000,0.053000,0.060000,0.060000,15352
2018-07-23,0.060000,0.060000,0.050000,0.050000,0.050000,2120
2018-07-30,0.050000,0.050000,0.050000,0.050000,0.050000,0
2018-08-06,0.050000,0.050000,0.050000,0.050000,0.050000,406
2018-08-13,0.200000,0.200000,0.050000,0.050000,0.050000,2845
2018-08-20,0.050000,0.194500,0.040000,0.055000,0.055000,23176
2018-08-27,0.055000,0.090000,0.055000,0.072590,0.072590,53600
2018-09-03,0.072590,0.072590,0.042100,0.042100,0.042100,20250
2018-09-10,0.042100,0.042100,0.042100,0.042100,0.042100,4150
2018-09-17,0.087000,0.087000,0.042100,0.054900,0.054900,30080
2018-09-24,0.045500,0.078000,0.033500,0.036000,0.036000,88530
2018-10-01,0.078000,0.090000,0.040000,0.040000,0.040000,44853
2018-10-08,0.040000,0.040000,0.040000,0.040000,0.040000,0
2018-10-15,0.040000,0.040000,0.040000,0.040000,0.040000,0
2018-10-22,0.040000,0.041000,0.040000,0.041000,0.041000,3600
2018-10-29,0.041000,0.096000,0.041000,0.041000,0.041000,24051
2018-11-05,0.073900,0.200000,0.041000,0.100000,0.100000,11909
2018-11-12,0.100000,0.100000,0.041000,0.046900,0.046900,6550
2018-11-19,0.041000,0.046990,0.041000,0.046990,0.046990,816
2018-11-26,0.046990,0.100000,0.046990,0.060000,0.060000,17008
2018-12-03,0.095200,0.095200,0.090800,0.093000,0.093000,6921
2018-12-10,0.062000,0.118000,0.062000,0.100000,0.100000,12569
2018-12-17,0.100000,0.100000,0.088200,0.088200,0.088200,1715
2018-12-24,0.099000,0.099000,0.063000,0.063000,0.063000,2630
2018-12-31,0.099000,0.120000,0.050000,0.050000,0.050000,44956
2019-01-07,0.050000,0.110000,0.050000,0.110000,0.110000,1375
2019-01-14,0.120000,0.120000,0.050400,0.050400,0.050400,17750
2019-01-21,1.880000,1.880000,0.086060,0.090000,0.090000,198580
2019-01-28,0.090000,0.100000,0.090000,0.100000,0.100000,3750
2019-02-04,0.100000,0.100000,0.055600,0.055600,0.055600,11600
2019-02-11,0.055600,0.100000,0.055600,0.097800,0.097800,38757
2019-02-18,0.097800,0.100000,0.091100,0.091100,0.091100,5340
2019-02-25,0.065000,0.136000,0.065000,0.098000,0.098000,2687
2019-03-04,0.057900,0.090000,0.055900,0.086300,0.086300,13150
2019-03-11,0.028750,0.089400,0.028750,0.050000,0.050000,4500
2019-03-18,0.050000,0.050000,0.050000,0.050000,0.050000,0
2019-03-25,0.050000,0.084500,0.050000,0.070000,0.070000,24606
2019-04-01,0.070000,0.070000,0.060500,0.060500,0.060500,9000
2019-04-08,0.060500,0.070000,0.060450,0.068820,0.068820,42100
2019-04-15,0.068820,0.068820,0.060000,0.060000,0.060000,1000
2019-04-22,0.050000,0.080000,0.050000,0.051000,0.051000,11125
2019-04-29,0.051000,0.103000,0.051000,0.051000,0.051000,18479
2019-05-06,0.051000,0.105000,0.051000,0.051000,0.051000,8797
2019-05-13,0.051000,0.075000,0.051000,0.075000,0.075000,11550
2019-05-20,0.057000,0.110000,0.051000,0.056000,0.056000,28340
2019-05-27,0.056000,0.056000,0.056000,0.056000,0.056000,0
2019-06-03,0.056000,0.100000,0.056000,0.056000,0.056000,2180
2019-06-10,0.056000,0.056000,0.041000,0.041000,0.041000,403
2019-06-17,0.056000,0.056000,0.056000,0.056000,0.056000,577
2019-06-24,0.056000,0.056000,0.056000,0.056000,0.056000,0
2019-07-01,0.056000,0.056000,0.056000,0.056000,0.056000,0
2019-07-08,0.056000,0.100000,0.029700,0.029700,0.029700,1215
2019-07-15,0.029850,0.031850,0.029850,0.031850,0.031850,1107
2019-07-22,0.039180,0.039180,0.039180,0.039180,0.039180,200
2019-07-29,0.031950,0.098000,0.031950,0.098000,0.098000,1200
2019-08-05,0.093600,0.093600,0.070000,0.070000,0.070000,11228
2019-08-12,0.070000,0.070000,0.070000,0.070000,0.070000,1000
2019-08-19,0.070000,0.070000,0.065000,0.065000,0.065000,2957
2019-08-26,0.045000,0.055500,0.040000,0.040000,0.040000,48004
2019-09-02,0.040000,0.040000,0.040000,0.040000,0.040000,0
2019-09-09,0.040000,0.040000,0.040000,0.040000,0.040000,0
2019-09-16,0.040000,0.075000,0.035000,0.074900,0.074900,20074
