Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.435000,0.460000,0.430000,0.460000,0.460000,181800
2017-10-16,0.460000,0.460000,0.430000,0.430000,0.430000,98800
2017-10-23,0.420000,0.455000,0.415000,0.415000,0.415000,161100
2017-10-30,0.415000,0.460000,0.415000,0.460000,0.460000,357400
2017-11-06,0.453000,0.480000,0.408000,0.440000,0.440000,678400
2017-11-13,0.431000,0.450000,0.420000,0.430000,0.430000,116100
2017-11-20,0.420000,0.450000,0.420000,0.431000,0.431000,104400
2017-11-27,0.431000,0.440000,0.350000,0.380000,0.380000,333300
2017-12-04,0.385000,0.410000,0.370000,0.395000,0.395000,500400
2017-12-11,0.388000,0.419000,0.381000,0.395000,0.395000,380200
2017-12-18,0.395000,0.400000,0.340000,0.378000,0.378000,290400
2017-12-25,0.372000,0.385000,0.362000,0.365000,0.365000,241200
2018-01-01,0.367000,0.395000,0.360000,0.385000,0.385000,195400
2018-01-08,0.405000,0.405000,0.362000,0.386000,0.386000,104100
2018-01-15,0.371000,0.420000,0.362000,0.410000,0.410000,149100
2018-01-22,0.362000,0.414000,0.362000,0.399000,0.399000,106200
2018-01-29,0.390000,0.415000,0.362000,0.380000,0.380000,77000
2018-02-05,0.380000,0.405000,0.307000,0.367000,0.367000,492000
2018-02-12,0.350000,0.370000,0.350000,0.360000,0.360000,118800
2018-02-19,0.360000,0.370000,0.332000,0.352000,0.352000,68500
2018-02-26,0.350000,0.369000,0.312000,0.336000,0.336000,301600
2018-03-05,0.320000,0.367000,0.320000,0.340000,0.340000,116300
2018-03-12,0.370000,0.370000,0.320000,0.349000,0.349000,172100
2018-03-19,0.321000,0.365000,0.253000,0.360000,0.360000,628400
2018-03-26,0.355000,0.380000,0.330000,0.355000,0.355000,539500
2018-04-02,0.360000,0.360000,0.260000,0.320000,0.320000,251700
2018-04-09,0.310000,0.310000,0.263000,0.290000,0.290000,317600
2018-04-16,0.282000,0.310000,0.280000,0.300000,0.300000,88400
2018-04-23,0.300000,0.339000,0.300000,0.310000,0.310000,110600
2018-04-30,0.310000,0.335000,0.282000,0.310000,0.310000,214900
2018-05-07,0.310000,0.320000,0.272000,0.285000,0.285000,302300
2018-05-14,0.285000,0.320000,0.280000,0.285000,0.285000,49500
2018-05-21,0.295000,0.300000,0.270000,0.275000,0.275000,100800
2018-05-28,0.275000,0.293000,0.255000,0.280000,0.280000,224800
2018-06-04,0.264000,0.293000,0.255000,0.280000,0.280000,121000
2018-06-11,0.340000,0.340000,0.255000,0.290000,0.290000,384400
2018-06-18,0.253000,0.290000,0.251000,0.275000,0.275000,479800
2018-06-25,0.286000,0.289000,0.270000,0.277000,0.277000,307400
2018-07-02,0.260000,0.287000,0.260000,0.284000,0.284000,48600
2018-07-09,0.281000,0.320000,0.274000,0.307000,0.307000,301500
2018-07-16,0.305000,0.310000,0.262000,0.267000,0.267000,683100
2018-07-23,0.269000,0.300000,0.251000,0.256000,0.256000,300200
2018-07-30,0.254000,0.292000,0.250000,0.271000,0.271000,180400
2018-08-06,0.269000,0.280000,0.260000,0.268000,0.268000,168100
2018-08-13,0.280000,0.280000,0.255000,0.270000,0.270000,132600
2018-08-20,0.271000,0.365000,0.270000,0.338000,0.338000,900200
2018-08-27,0.350000,0.355000,0.312000,0.333000,0.333000,321900
2018-09-03,0.370000,0.410000,0.315000,0.357000,0.357000,182100
