Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,13.420000,13.630000,12.400000,12.410000,12.410000,215900
2017-10-16,12.580000,12.890000,10.560000,10.580000,10.580000,414100
2017-10-23,10.620000,10.700000,9.110000,10.200000,10.200000,647000
2017-10-30,10.260000,11.150000,9.860000,10.480000,10.480000,361600
2017-11-06,10.610000,13.070000,10.230000,10.240000,10.240000,907300
2017-11-13,10.180000,10.270000,8.200000,10.140000,10.140000,980800
2017-11-20,10.060000,10.820000,9.930000,10.070000,10.070000,299400
2017-11-27,9.980000,10.820000,9.770000,10.400000,10.400000,619900
2017-12-04,10.370000,10.990000,9.560000,9.910000,9.910000,354900
2017-12-11,10.010000,10.970000,9.920000,10.460000,10.460000,676100
2017-12-18,10.510000,12.900000,10.470000,12.350000,12.350000,551200
2017-12-25,12.210000,12.620000,11.540000,11.790000,11.790000,230000
2018-01-01,11.840000,14.990000,11.630000,14.790000,14.790000,884200
2018-01-08,14.830000,17.870001,14.670000,17.330000,17.330000,864800
2018-01-15,17.480000,17.660000,15.720000,16.980000,16.980000,563100
2018-01-22,16.980000,17.799999,15.850000,16.010000,16.010000,678500
2018-01-29,16.000000,16.240000,13.800000,13.840000,13.840000,738500
2018-02-05,13.590000,14.080000,12.300000,12.850000,12.850000,602000
2018-02-12,13.000000,13.130000,11.540000,12.910000,12.910000,383700
2018-02-19,12.850000,13.930000,12.560000,13.790000,13.790000,287000
2018-02-26,13.840000,14.480000,13.140000,13.830000,13.830000,775800
2018-03-05,13.830000,15.100000,13.810000,14.500000,14.500000,568800
2018-03-12,14.670000,15.370000,12.940000,13.520000,13.520000,662900
2018-03-19,13.440000,13.760000,12.020000,12.530000,12.530000,492500
2018-03-26,12.770000,12.770000,11.340000,11.720000,11.720000,305600
2018-04-02,11.690000,12.890000,10.880000,11.890000,11.890000,264400
2018-04-09,12.140000,14.670000,11.670000,14.610000,14.610000,458700
2018-04-16,14.650000,15.960000,14.080000,14.970000,14.970000,404800
2018-04-23,15.000000,15.800000,14.370000,15.660000,15.660000,585100
2018-04-30,15.900000,17.129999,15.460000,16.219999,16.219999,419400
2018-05-07,15.910000,17.690001,15.700000,17.170000,17.170000,462800
2018-05-14,17.209999,17.990000,16.309999,17.299999,17.299999,951900
2018-05-21,17.480000,18.400000,16.610001,17.219999,17.219999,723400
2018-05-28,16.959999,17.450001,16.090000,16.139999,16.139999,384300
2018-06-04,16.360001,16.530001,15.200000,15.350000,15.350000,421400
2018-06-11,15.340000,15.900000,15.100000,15.570000,15.570000,477900
2018-06-18,15.460000,16.620001,15.460000,16.020000,16.020000,325000
2018-06-25,16.040001,16.750000,15.330000,16.240000,16.240000,492400
2018-07-02,16.070000,17.510000,15.610000,17.170000,17.170000,151200
2018-07-09,17.250000,17.770000,16.490000,16.830000,16.830000,196800
2018-07-16,16.690001,16.870001,15.950000,16.330000,16.330000,414900
2018-07-23,16.510000,16.980000,16.040001,16.660000,16.660000,184900
2018-07-30,16.950001,17.440001,14.690000,15.050000,15.050000,805500
2018-08-06,15.070000,15.730000,14.000000,15.030000,15.030000,352300
2018-08-13,15.060000,15.070000,12.750000,12.940000,12.940000,313800
2018-08-20,12.890000,13.550000,12.700000,13.300000,13.300000,271300
2018-08-27,13.350000,13.520000,13.110000,13.360000,13.360000,204300
2018-09-03,13.300000,13.860000,12.930000,13.160000,13.160000,404000
2018-09-10,13.210000,13.610000,12.900000,13.080000,13.080000,128200
2018-09-17,13.330000,13.880000,12.790000,13.590000,13.590000,154500
2018-09-24,13.590000,13.770000,11.150000,11.440000,11.440000,327900
2018-10-01,11.500000,11.850000,9.980000,10.160000,10.160000,210500
2018-10-08,10.020000,11.120000,9.630000,9.970000,9.970000,253300
2018-10-15,9.940000,10.430000,9.180000,9.280000,9.280000,450000
2018-10-22,9.290000,9.810000,8.570000,9.050000,9.050000,288200
2018-10-29,9.180000,9.300000,8.630000,9.200000,9.200000,271200
2018-11-05,9.240000,9.800000,8.400000,8.400000,8.400000,256400
2018-11-12,8.500000,8.620000,7.940000,8.290000,8.290000,263600
2018-11-19,8.040000,8.330000,6.700000,6.860000,6.860000,202000
2018-11-26,6.880000,7.140000,5.810000,5.830000,5.830000,205900
2018-12-03,5.880000,6.060000,4.540000,4.540000,4.540000,406600
2018-12-10,4.540000,4.690000,3.370000,3.420000,3.420000,858000
2018-12-17,3.400000,3.550000,2.390000,2.550000,2.550000,1541500
2018-12-24,2.510000,2.530000,1.590000,1.740000,1.740000,1638800
2018-12-31,1.800000,2.430000,1.800000,2.410000,2.410000,1066800
2019-01-07,2.450000,3.050000,2.090000,2.250000,2.250000,1420700
2019-01-14,2.280000,2.450000,2.100000,2.390000,2.390000,716800
2019-01-21,2.340000,2.430000,2.010000,2.060000,2.060000,531000
2019-01-28,2.030000,2.100000,1.590000,1.910000,1.910000,1284000
2019-02-04,1.910000,2.250000,1.780000,1.860000,1.860000,1094700
2019-02-11,1.920000,2.150000,1.780000,1.940000,1.940000,638600
2019-02-18,1.950000,2.020000,1.810000,1.830000,1.830000,414000
2019-02-25,1.900000,2.970000,1.840000,2.680000,2.680000,2427100
2019-03-04,2.720000,4.330000,2.720000,3.330000,3.330000,3655600
2019-03-11,3.340000,6.420000,3.200000,6.150000,6.150000,3299100
2019-03-18,6.190000,6.200000,4.650000,4.790000,4.790000,2053800
2019-03-25,4.750000,4.750000,3.800000,4.060000,4.060000,1940500
2019-04-01,4.050000,5.180000,3.950000,4.520000,4.520000,1321400
2019-04-08,4.510000,4.650000,3.430000,3.700000,3.700000,1343900
2019-04-15,3.700000,3.900000,3.140000,3.860000,3.860000,840000
2019-04-22,4.180000,5.640000,4.050000,4.440000,4.440000,3782300
2019-04-29,4.430000,4.670000,3.310000,3.700000,3.700000,1077200
2019-05-06,3.650000,3.690000,2.900000,3.110000,3.110000,1116500
2019-05-13,3.040000,3.400000,2.620000,2.740000,2.740000,1544800
2019-05-20,2.720000,2.930000,2.100000,2.180000,2.180000,2302600
2019-05-27,2.180000,2.180000,1.610000,1.700000,1.700000,1324000
2019-06-03,1.710000,2.200000,1.640000,1.980000,1.980000,1771700
2019-06-10,2.000000,2.180000,1.620000,1.700000,1.700000,1254300
2019-06-17,1.710000,2.050000,1.670000,1.890000,1.890000,1302000
2019-06-24,1.900000,2.400000,1.800000,2.250000,2.250000,2603200
2019-07-01,2.400000,3.140000,2.330000,2.900000,2.900000,1830900
2019-07-08,2.750000,2.970000,2.550000,2.890000,2.890000,915400
2019-07-15,2.870000,3.090000,2.620000,2.840000,2.840000,875100
2019-07-22,2.880000,3.550000,2.880000,3.160000,3.160000,1197800
2019-07-29,3.170000,3.180000,2.470000,2.470000,2.470000,1126600
2019-08-05,2.380000,2.490000,1.650000,1.730000,1.730000,971700
2019-08-12,1.810000,1.810000,1.280000,1.480000,1.480000,1316100
2019-08-19,1.500000,1.580000,1.210000,1.290000,1.290000,2582800
2019-08-26,1.310000,1.340000,0.980000,1.030000,1.030000,2018600
2019-09-02,1.030000,1.120000,0.960000,1.060000,1.060000,1064600
2019-09-09,1.100000,1.700000,1.080000,1.480000,1.480000,3284600
2019-09-16,1.860000,1.860000,1.430000,1.660000,1.660000,1309800
2019-09-23,1.630000,1.710000,1.320000,1.360000,1.360000,439800
2019-09-30,1.360000,1.550000,1.220000,1.300000,1.300000,532700
2019-10-07,1.230000,1.380000,1.130000,1.220000,1.220000,307800
2019-10-10,1.220000,1.250000,1.200000,1.220000,1.220000,32580
