Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,2.650000,2.650000,2.650000,2.650000,2.219084,11000
2017-10-16,2.650000,2.650000,2.610000,2.610000,2.185588,100
2017-10-23,2.610000,2.650000,2.260000,2.650000,2.219084,2100
2017-10-30,2.300000,2.640000,2.300000,2.640000,2.210710,4300
2017-11-06,2.640000,2.640000,2.540000,2.540000,2.126971,400
2017-11-13,2.540000,2.650000,2.540000,2.640000,2.210710,5600
2017-11-20,2.640000,2.650000,2.640000,2.650000,2.219084,500
2017-11-27,2.650000,2.800000,2.650000,2.750000,2.302823,15100
2017-12-04,2.750000,2.750000,2.560000,2.750000,2.302823,3500
2017-12-11,2.750000,2.750000,2.660000,2.750000,2.302823,11300
2017-12-18,2.740000,2.750000,2.570000,2.750000,2.302823,10000
2017-12-25,2.770000,2.990000,2.630000,2.700000,2.260953,28900
2018-01-01,2.630000,2.630000,2.000000,2.260000,2.068726,10100
2018-01-08,2.260000,2.260000,2.260000,2.260000,2.068726,0
2018-01-15,2.260000,2.700000,2.260000,2.700000,2.471487,5200
2018-01-22,2.700000,2.700000,2.530000,2.530000,2.315875,5100
2018-01-29,2.700000,2.700000,2.550000,2.690000,2.462333,44800
2018-02-05,2.690000,2.690000,2.560000,2.620000,2.398257,5300
2018-02-12,2.620000,2.620000,2.620000,2.620000,2.398257,100
2018-02-19,2.620000,2.620000,2.620000,2.620000,2.398257,0
2018-02-26,2.620000,2.700000,2.050000,2.700000,2.471487,17900
2018-03-05,2.700000,2.790000,2.680000,2.700000,2.471487,100600
2018-03-12,2.700000,2.700000,2.600000,2.700000,2.471487,15400
2018-03-19,2.700000,2.750000,2.700000,2.750000,2.517255,5600
2018-03-26,2.750000,2.750000,2.750000,2.750000,2.517255,0
2018-04-02,2.720000,2.750000,2.720000,2.750000,2.517255,22000
2018-04-09,2.750000,2.750000,2.750000,2.750000,2.517255,12100
2018-04-16,2.750000,2.750000,2.750000,2.750000,2.517255,11000
2018-04-23,2.750000,2.900000,2.750000,2.900000,2.654560,122400
2018-04-30,2.900000,2.950000,2.880000,2.950000,2.700328,1700
2018-05-07,2.950000,2.990000,2.950000,2.990000,2.736943,3900
2018-05-14,2.990000,2.990000,2.990000,2.990000,2.736943,1000
2018-05-21,2.990000,2.990000,2.990000,2.990000,2.736943,0
2018-05-28,2.990000,2.990000,2.900000,2.920000,2.672868,103900
2018-06-04,2.920000,2.990000,2.920000,2.990000,2.736943,5300
2018-06-11,2.950000,2.990000,2.950000,2.990000,2.736943,2600
2018-06-18,2.990000,2.990000,2.950000,2.950000,2.700328,300
2018-06-25,2.950000,2.950000,2.920000,2.920000,2.672868,2400
2018-07-02,2.990000,2.990000,2.990000,2.990000,2.736943,1900
2018-07-09,2.990000,3.500000,2.900000,3.210000,2.938323,30100
2018-07-16,3.210000,3.210000,2.910000,3.100000,2.837633,269200
2018-07-23,2.900000,3.000000,2.900000,3.000000,2.746097,7500
2018-07-30,2.950000,3.000000,2.930000,3.000000,2.746097,5300
2018-08-06,3.000000,3.000000,2.900000,2.900000,2.654560,3700
2018-08-13,2.900000,3.000000,2.900000,3.000000,2.746097,1500
2018-08-20,3.000000,3.000000,3.000000,3.000000,2.746097,20000
2018-08-27,2.980000,3.000000,2.980000,2.990000,2.736943,15200
2018-09-03,3.010000,3.020000,3.010000,3.020000,2.764404,1700
2018-09-10,3.020000,3.020000,2.950000,3.000000,2.746097,1500
2018-09-17,3.020000,3.050000,3.010000,3.030000,2.773557,298200
2018-09-24,3.030000,3.030000,3.000000,3.000000,2.746097,1300
2018-10-01,3.000000,3.010000,2.900000,2.900000,2.654560,3200
2018-10-08,3.020000,3.020000,3.000000,3.020000,2.764404,4900
2018-10-15,3.020000,3.020000,3.020000,3.020000,2.764404,0
