Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,69.500000,69.900002,69.500000,69.800003,66.306267,300
2017-10-16,69.800003,70.449997,69.800003,70.449997,66.923714,400
2017-10-23,70.449997,71.750000,70.449997,71.050003,67.493683,9700
2017-10-30,71.050003,72.699997,71.050003,72.610001,68.975601,3200
2017-11-06,72.550003,75.250000,72.500000,74.550003,70.818489,3700
2017-11-13,73.349998,73.349998,72.750000,72.750000,69.108589,2700
2017-11-20,72.750000,72.750000,72.750000,72.750000,69.108589,0
2017-11-27,72.750000,72.800003,72.750000,72.760002,69.118103,300
2017-12-04,74.139999,74.139999,72.199997,73.910004,70.210526,1700
2017-12-11,73.910004,73.910004,70.650002,71.449997,67.873657,4000
2017-12-18,72.250000,72.300003,71.750000,72.250000,69.816467,3200
2017-12-25,71.949997,73.400002,71.949997,73.349998,70.879402,9900
2018-01-01,72.550003,72.800003,72.000000,72.800003,70.347931,2000
2018-01-08,72.800003,73.500000,72.800003,72.820000,70.367256,2000
2018-01-15,72.599998,73.199997,72.400002,72.480003,70.038727,7300
2018-01-22,72.599998,72.599998,72.500000,72.500000,70.058037,300
2018-01-29,72.379997,72.500000,72.199997,72.500000,70.058037,2300
2018-02-05,72.500000,72.500000,71.099998,71.150002,68.753510,1200
2018-02-12,71.000000,71.370003,70.209999,71.370003,68.966095,1600
2018-02-19,71.370003,71.370003,70.199997,70.750000,68.366989,1000
2018-02-26,70.550003,71.099998,70.000000,71.050003,68.656891,2300
2018-03-05,70.349998,70.500000,70.010002,70.300003,67.932152,1300
2018-03-12,70.300003,70.519997,69.779999,70.250000,67.883820,1100
2018-03-19,70.250000,70.250000,70.250000,70.250000,68.174759,100
2018-03-26,69.250000,70.099998,68.849998,70.099998,68.029190,3400
2018-04-02,70.150002,70.470001,69.500000,69.500000,67.446907,2100
2018-04-09,69.500000,70.129997,67.199997,69.150002,67.107254,1300
2018-04-16,69.150002,69.550003,68.550003,69.000000,66.961678,500
2018-04-23,68.000000,69.500000,66.949997,69.500000,67.446907,1700
2018-04-30,69.500000,69.500000,66.809998,68.470001,66.447357,2500
2018-05-07,68.470001,68.470001,68.220001,68.220001,66.204727,200
2018-05-14,68.220001,68.220001,66.550003,66.940002,64.962540,4900
2018-05-21,67.050003,67.500000,65.099998,65.370003,63.438919,3900
2018-05-28,65.370003,66.750000,65.370003,66.250000,64.292923,4000
2018-06-04,66.699997,66.699997,65.449997,66.000000,64.050316,1100
2018-06-11,66.000000,67.349998,66.000000,66.110001,64.157059,1700
2018-06-18,66.000000,67.750000,65.199997,67.500000,65.802399,4700
2018-06-25,65.919998,68.730003,65.000000,67.000000,65.314980,11700
2018-07-02,67.000000,69.949997,67.000000,69.949997,68.190788,2600
2018-07-09,68.900002,69.800003,67.050003,67.050003,65.363724,600
2018-07-16,67.239998,68.099998,67.050003,68.000000,66.289825,1400
2018-07-23,67.599998,68.050003,67.000000,67.000000,65.314980,13700
2018-07-30,67.000000,67.000000,67.000000,67.000000,65.314980,1200
2018-08-06,67.000000,67.000000,66.199997,66.199997,64.535103,4400
2018-08-13,66.199997,66.199997,64.500000,66.000000,64.340134,1500
2018-08-20,64.550003,65.250000,62.000000,65.099998,63.462761,4500
2018-08-27,65.099998,65.099998,65.099998,65.099998,63.462761,0
2018-09-03,65.099998,65.099998,65.099998,65.099998,63.462761,0
2018-09-10,63.860001,66.500000,63.259998,64.849998,63.219048,10800
2018-09-17,63.509998,68.050003,63.509998,67.500000,66.112785,21300
2018-09-24,67.500000,67.500000,65.010002,67.250000,65.867928,700
2018-10-01,65.730003,65.730003,65.099998,65.410004,64.065742,600
2018-10-08,65.410004,65.410004,63.849998,64.510002,63.184242,1200
2018-10-15,64.910004,65.699997,64.120003,64.120003,62.802258,3800
2018-10-22,64.150002,65.349998,62.000000,63.970001,62.655338,5200
2018-10-29,63.970001,63.970001,62.130001,62.730000,61.440819,5600
2018-11-05,62.299999,64.000000,62.200001,62.500000,61.215546,2900
2018-11-12,63.000000,63.049999,57.360001,57.549999,56.367275,17300
2018-11-19,57.549999,58.709999,57.549999,57.799999,56.612141,1200
2018-11-26,57.939999,59.299999,57.939999,59.009998,57.797268,5700
2018-12-03,59.000000,59.520000,56.820000,56.820000,55.652279,4000
2018-12-10,56.820000,59.310001,56.549999,59.000000,57.787476,3700
