Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.122000,0.138000,0.110000,0.121000,0.121000,542500
2017-10-16,0.125000,0.135000,0.121000,0.125000,0.125000,284800
2017-10-23,0.132000,0.134000,0.121000,0.130000,0.130000,263900
2017-10-30,0.130000,0.147000,0.130000,0.144000,0.144000,195100
2017-11-06,0.141000,0.148000,0.130000,0.143000,0.143000,299400
2017-11-13,0.143000,0.144000,0.130000,0.130000,0.130000,79700
2017-11-20,0.130000,0.130000,0.130000,0.130000,0.130000,11000
2017-11-27,0.130000,0.137000,0.125000,0.134000,0.134000,211700
2017-12-04,0.134000,0.147000,0.120000,0.138000,0.138000,197100
2017-12-11,0.138000,0.140000,0.116000,0.140000,0.140000,123800
2017-12-18,0.122000,0.149000,0.122000,0.140000,0.140000,111300
2017-12-25,0.149000,0.155000,0.130000,0.152000,0.152000,301000
2018-01-01,0.155000,0.185000,0.155000,0.175000,0.175000,1092100
2018-01-08,0.175000,0.181000,0.160000,0.173000,0.173000,359400
2018-01-15,0.175000,0.180000,0.160000,0.163000,0.163000,572800
2018-01-22,0.171000,0.173000,0.157000,0.172000,0.172000,612900
2018-01-29,0.172000,0.172000,0.150000,0.168000,0.168000,127300
2018-02-05,0.170000,0.172000,0.161000,0.170000,0.170000,274200
2018-02-12,0.170000,0.179000,0.160000,0.162000,0.162000,194900
2018-02-19,0.179000,0.179000,0.160000,0.170000,0.170000,63000
2018-02-26,0.170000,0.179000,0.170000,0.175000,0.175000,56000
2018-03-05,0.175000,0.175000,0.165000,0.170000,0.170000,118900
2018-03-12,0.165000,0.170000,0.160000,0.170000,0.170000,68400
2018-03-19,0.168000,0.170000,0.155000,0.170000,0.170000,68800
2018-03-26,0.165000,0.170000,0.141000,0.151000,0.151000,519000
2018-04-02,0.169000,0.170000,0.150000,0.170000,0.170000,248600
2018-04-09,0.170000,0.175000,0.155000,0.170000,0.170000,398100
2018-04-16,0.170000,0.180000,0.141000,0.170000,0.170000,228200
2018-04-23,0.170000,0.219000,0.170000,0.200000,0.200000,813800
2018-04-30,0.210000,0.210000,0.190000,0.195000,0.195000,324600
2018-05-07,0.200000,0.210000,0.195000,0.210000,0.210000,189400
2018-05-14,0.200000,0.200000,0.172000,0.185000,0.185000,229000
2018-05-21,0.195000,0.222000,0.191000,0.195000,0.195000,472100
2018-05-28,0.200000,0.210000,0.190000,0.210000,0.210000,317300
2018-06-04,0.205000,0.230000,0.200000,0.229000,0.229000,382600
2018-06-11,0.221000,0.247000,0.220000,0.225000,0.225000,462300
2018-06-18,0.220000,0.240000,0.211000,0.235000,0.235000,207200
2018-06-25,0.230000,0.235000,0.210000,0.220000,0.220000,321700
2018-07-02,0.205000,0.220000,0.200000,0.220000,0.220000,141700
2018-07-09,0.220000,0.220000,0.185000,0.188000,0.188000,303200
2018-07-16,0.190000,0.210000,0.175000,0.195000,0.195000,416600
2018-07-23,0.180000,0.200000,0.160000,0.190000,0.190000,312300
2018-07-30,0.175000,0.190000,0.162000,0.174000,0.174000,326200
2018-08-06,0.174000,0.185000,0.162000,0.183000,0.183000,319900
2018-08-13,0.162000,0.185000,0.160000,0.180000,0.180000,189000
2018-08-20,0.179000,0.180000,0.165000,0.170000,0.170000,147600
2018-08-27,0.170000,0.180000,0.160000,0.170000,0.170000,350500
2018-09-03,0.170000,0.180000,0.145000,0.169000,0.169000,95100
2018-09-10,0.162000,0.170000,0.150000,0.170000,0.170000,173400
2018-09-17,0.170000,0.170000,0.150000,0.169000,0.169000,125000
2018-09-24,0.165000,0.170000,0.152000,0.157000,0.157000,94000
2018-10-01,0.160000,0.175000,0.160000,0.175000,0.175000,304900
2018-10-08,0.175000,0.175000,0.127000,0.170000,0.170000,205700
2018-10-15,0.169000,0.174000,0.150000,0.160000,0.160000,79100
2018-10-22,0.149000,0.150000,0.135000,0.150000,0.150000,110000
2018-10-29,0.150000,0.198000,0.145000,0.160000,0.160000,79800
2018-11-05,0.160000,0.165000,0.154000,0.165000,0.165000,45500
2018-11-12,0.165000,0.165000,0.145000,0.160000,0.160000,117400
2018-11-19,0.160000,0.170000,0.157000,0.170000,0.170000,87900
2018-11-26,0.145000,0.175000,0.135000,0.175000,0.175000,522100
2018-12-03,0.170000,0.187000,0.162000,0.187000,0.187000,315400
2018-12-10,0.180000,0.185000,0.160000,0.175000,0.175000,263900
2018-12-17,0.175000,0.175000,0.141000,0.160000,0.160000,275600
2018-12-24,0.159000,0.170000,0.142000,0.142000,0.142000,253500
2018-12-31,0.169000,0.170000,0.152000,0.161000,0.161000,268300
2019-01-07,0.157000,0.169000,0.140000,0.165000,0.165000,402300
2019-01-14,0.165000,0.169000,0.148000,0.169000,0.169000,247600
2019-01-21,0.169000,0.200000,0.160000,0.180000,0.180000,662300
2019-01-28,0.180000,0.200000,0.160000,0.199000,0.199000,220400
2019-02-04,0.180000,0.198000,0.155000,0.170000,0.170000,1408500
2019-02-11,0.165000,0.180000,0.156000,0.180000,0.180000,317900
2019-02-18,0.180000,0.183000,0.169000,0.180000,0.180000,98000
2019-02-25,0.170000,0.188000,0.165000,0.186000,0.186000,155200
2019-03-04,0.170000,0.190000,0.170000,0.180000,0.180000,164200
2019-03-11,0.170000,0.180000,0.160000,0.160000,0.160000,796300
2019-03-18,0.156000,0.180000,0.145000,0.155000,0.155000,863000
2019-03-25,0.156000,0.190000,0.142000,0.170000,0.170000,200500
2019-04-01,0.155000,0.170000,0.155000,0.170000,0.170000,250000
2019-04-08,0.150000,0.200000,0.140000,0.162000,0.162000,655800
2019-04-15,0.156000,0.160000,0.150000,0.160000,0.160000,92500
2019-04-22,0.149000,0.160000,0.145000,0.158000,0.158000,59600
2019-04-29,0.150000,0.158000,0.138000,0.140000,0.140000,203500
2019-05-06,0.137000,0.169000,0.137000,0.162000,0.162000,210200
2019-05-13,0.146000,0.158000,0.125000,0.127000,0.127000,558400
2019-05-20,0.130000,0.135000,0.119000,0.130000,0.130000,522300
2019-05-27,0.128000,0.148000,0.111000,0.148000,0.148000,586600
2019-06-03,0.145000,0.155000,0.111000,0.155000,0.155000,55300
2019-06-10,0.135000,0.135000,0.120000,0.135000,0.135000,394200
2019-06-17,0.135000,0.160000,0.130000,0.140000,0.140000,575800
2019-06-24,0.145000,0.150000,0.132000,0.146000,0.146000,147600
2019-07-01,0.150000,0.160000,0.140000,0.150000,0.150000,129000
2019-07-08,0.140000,0.200000,0.140000,0.150000,0.150000,255500
2019-07-15,0.150000,0.170000,0.140000,0.160000,0.160000,187800
2019-07-22,0.165000,0.170000,0.150000,0.170000,0.170000,104500
2019-07-29,0.162000,0.175000,0.150000,0.170000,0.170000,280700
2019-08-05,0.155000,0.180000,0.143000,0.175000,0.175000,710800
2019-08-12,0.165000,0.175000,0.145000,0.170000,0.170000,332700
2019-08-19,0.170000,0.170000,0.125000,0.160000,0.160000,178500
2019-08-26,0.160000,0.160000,0.140000,0.160000,0.160000,24900
2019-09-02,0.150000,0.158000,0.145000,0.150000,0.150000,60600
2019-09-09,0.150000,0.150000,0.140000,0.145000,0.145000,193800
2019-09-16,0.150000,0.160000,0.140000,0.150000,0.150000,747900
2019-09-23,0.148000,0.172000,0.126000,0.172000,0.172000,683900
2019-09-30,0.179000,0.179000,0.153000,0.155000,0.155000,480400
2019-10-07,0.145000,0.159000,0.145000,0.157000,0.157000,235300
2019-10-10,0.150000,0.157000,0.146000,0.157000,0.157000,113800
