Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.001000,0.001000,0.001000,0.001000,0.001000,9500
2017-10-16,0.001000,0.001000,0.001000,0.001000,0.001000,1947900
2017-10-23,0.001000,0.001000,0.001000,0.001000,0.001000,150000
2017-10-30,0.001000,0.001000,0.001000,0.001000,0.001000,94600
2017-11-06,0.001000,0.001000,0.001000,0.001000,0.001000,300
2017-11-13,0.001000,0.001000,0.001000,0.001000,0.001000,254000
2017-11-20,0.001000,0.001000,0.001000,0.001000,0.001000,981800
2017-11-27,0.001000,0.001000,0.001000,0.001000,0.001000,3034900
2017-12-04,0.001000,0.007000,0.001000,0.003000,0.003000,30238300
2017-12-11,0.002000,0.003000,0.002000,0.002000,0.002000,4812200
2017-12-18,0.003000,0.005000,0.001000,0.002000,0.002000,4325600
2017-12-25,0.002000,0.004000,0.002000,0.003000,0.003000,5821100
2018-01-01,0.003000,0.004000,0.002000,0.004000,0.004000,1333300
2018-01-08,0.002000,0.003000,0.002000,0.002000,0.002000,3650400
2018-01-15,0.002000,0.004000,0.002000,0.002000,0.002000,8973100
2018-01-22,0.002000,0.004000,0.002000,0.003000,0.003000,2855300
2018-01-29,0.003000,0.003000,0.002000,0.003000,0.003000,3271600
2018-02-05,0.003000,0.007000,0.003000,0.006000,0.006000,14683100
2018-02-12,0.006000,0.048000,0.006000,0.040000,0.040000,58904900
2018-02-19,0.043000,0.045000,0.027000,0.032000,0.032000,22734700
2018-02-26,0.040000,0.043000,0.029000,0.029000,0.029000,19814700
2018-03-05,0.030000,0.032000,0.020000,0.024000,0.024000,6319900
2018-03-12,0.020000,0.031000,0.020000,0.027000,0.027000,11109500
2018-03-19,0.027000,0.027000,0.021000,0.023000,0.023000,4777000
2018-03-26,0.023000,0.028000,0.022000,0.023000,0.023000,2204600
2018-04-02,0.022000,0.028000,0.016000,0.017000,0.017000,3328800
2018-04-09,0.016000,0.020000,0.010000,0.016000,0.016000,4211400
2018-04-16,0.013000,0.016000,0.012000,0.013000,0.013000,2247300
2018-04-23,0.013000,0.015000,0.011000,0.014000,0.014000,1931400
2018-04-30,0.014000,0.014000,0.011000,0.013000,0.013000,1379100
2018-05-07,0.013000,0.019000,0.008000,0.014000,0.014000,5393100
2018-05-14,0.010000,0.014000,0.008000,0.013000,0.013000,2296900
2018-05-21,0.013000,0.014000,0.009000,0.009000,0.009000,1188400
2018-05-28,0.009000,0.012000,0.009000,0.012000,0.012000,299500
2018-06-04,0.008000,0.012000,0.008000,0.011000,0.011000,3117700
2018-06-11,0.010000,0.012000,0.009000,0.009000,0.009000,2164300
2018-06-18,0.009000,0.011000,0.008000,0.010000,0.010000,2252100
2018-06-25,0.009000,0.012000,0.008000,0.010000,0.010000,4270000
2018-07-02,0.010000,0.010000,0.009000,0.009000,0.009000,880700
2018-07-09,0.009000,0.010000,0.008000,0.009000,0.009000,1166500
2018-07-16,0.009000,0.010000,0.008000,0.008000,0.008000,2387300
2018-07-23,0.008000,0.009000,0.006000,0.008000,0.008000,1236700
2018-07-30,0.008000,0.008000,0.006000,0.007000,0.007000,613100
2018-08-06,0.006000,0.008000,0.006000,0.007000,0.007000,555800
2018-08-13,0.006000,0.007000,0.003000,0.007000,0.007000,944300
2018-08-20,0.007000,0.007000,0.004000,0.005000,0.005000,696500
2018-08-27,0.004000,0.006000,0.004000,0.006000,0.006000,312700
2018-09-03,0.006000,0.006000,0.004000,0.006000,0.006000,341900
2018-09-10,0.006000,0.010000,0.004000,0.008000,0.008000,2897900
2018-09-17,0.008000,0.012000,0.006000,0.009000,0.009000,3696400
2018-09-24,0.010000,0.012000,0.008000,0.010000,0.010000,999200
2018-10-01,0.010000,0.010000,0.007000,0.010000,0.010000,340700
2018-10-08,0.009000,0.012000,0.007000,0.009000,0.009000,651700
2018-10-15,0.009000,0.011000,0.007000,0.010000,0.010000,494800
2018-10-22,0.008000,0.010000,0.008000,0.010000,0.010000,227500
2018-10-29,0.010000,0.011000,0.007000,0.009000,0.009000,245600
2018-11-05,0.009000,0.010000,0.008000,0.009000,0.009000,480700
2018-11-12,0.008000,0.009000,0.008000,0.009000,0.009000,508000
2018-11-19,0.009000,0.009000,0.007000,0.009000,0.009000,295100
2018-11-26,0.008000,0.009000,0.007000,0.007000,0.007000,476800
2018-12-03,0.007000,0.008000,0.007000,0.007000,0.007000,218300
2018-12-10,0.007000,0.008000,0.007000,0.008000,0.008000,414900
2018-12-17,0.008000,0.008000,0.005000,0.007000,0.007000,156900
2018-12-24,0.007000,0.007000,0.005000,0.007000,0.007000,591300
2018-12-31,0.006000,0.008000,0.005000,0.007000,0.007000,906700
2019-01-07,0.007000,0.009000,0.007000,0.008000,0.008000,337500
2019-01-14,0.008000,0.009000,0.007000,0.009000,0.009000,2954300
2019-01-21,0.009000,0.010000,0.008000,0.009000,0.009000,692000
2019-01-28,0.009000,0.009000,0.008000,0.009000,0.009000,39800
2019-02-04,0.008000,0.009000,0.008000,0.009000,0.009000,637600
2019-02-11,0.009000,0.009000,0.007000,0.009000,0.009000,33000
2019-02-18,0.007000,0.009000,0.007000,0.009000,0.009000,10000
2019-02-25,0.009000,0.009000,0.009000,0.009000,0.009000,0
2019-03-04,0.009000,0.009000,0.007000,0.009000,0.009000,603200
2019-03-11,0.009000,0.009000,0.008000,0.009000,0.009000,233900
2019-03-18,0.008000,0.009000,0.008000,0.009000,0.009000,108400
2019-03-25,0.008000,0.009000,0.008000,0.009000,0.009000,649300
2019-04-01,0.009000,0.010000,0.008000,0.008000,0.008000,349000
2019-04-08,0.008000,0.011000,0.008000,0.009000,0.009000,645000
2019-04-15,0.009000,0.009000,0.009000,0.009000,0.009000,15700
2019-04-22,0.009000,0.009000,0.009000,0.009000,0.009000,75300
2019-04-29,0.009000,0.011000,0.007000,0.009000,0.009000,819100
2019-05-06,0.007000,0.009000,0.007000,0.009000,0.009000,95700
2019-05-13,0.009000,0.009000,0.007000,0.007000,0.007000,629500
2019-05-20,0.007000,0.009000,0.006000,0.007000,0.007000,771900
2019-05-27,0.007000,0.008000,0.007000,0.007000,0.007000,40800
2019-06-03,0.007000,0.008000,0.007000,0.007000,0.007000,160600
2019-06-10,0.007000,0.009000,0.007000,0.008000,0.008000,49900
2019-06-17,0.008000,0.010000,0.007000,0.008000,0.008000,662400
2019-06-24,0.008000,0.008000,0.007000,0.007000,0.007000,506900
2019-07-01,0.006000,0.008000,0.006000,0.008000,0.008000,258000
2019-07-08,0.008000,0.008000,0.005000,0.005000,0.005000,2276800
2019-07-15,0.005000,0.007000,0.004000,0.007000,0.007000,221300
2019-07-22,0.005000,0.007000,0.005000,0.007000,0.007000,74100
2019-07-29,0.006000,0.006000,0.003000,0.004000,0.004000,4022100
2019-08-05,0.003000,0.004000,0.002000,0.003000,0.003000,4902800
2019-08-12,0.004000,0.004000,0.003000,0.004000,0.004000,153800
2019-08-19,0.003000,0.004000,0.003000,0.004000,0.004000,122700
2019-08-26,0.004000,0.006000,0.003000,0.005000,0.005000,1488900
2019-09-02,0.004000,0.005000,0.004000,0.005000,0.005000,24000
2019-09-09,0.004000,0.005000,0.004000,0.005000,0.005000,20000
2019-09-16,0.005000,0.005000,0.004000,0.005000,0.005000,174500
2019-09-23,0.004000,0.005000,0.003000,0.005000,0.005000,363400
2019-09-30,0.005000,0.005000,0.003000,0.005000,0.005000,172900
2019-10-07,0.004000,0.005000,0.003000,0.005000,0.005000,631600
2019-10-10,0.003800,0.004800,0.003600,0.004800,0.004800,158911
