Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,1.580000,1.610000,1.360000,1.560000,1.560000,247800
2017-10-16,1.530000,1.570000,1.300000,1.510000,1.510000,175700
2017-10-23,1.470000,1.570000,1.450000,1.570000,1.570000,285600
2017-10-30,1.570000,1.620000,1.510000,1.610000,1.610000,472200
2017-11-06,1.580000,1.900000,1.580000,1.770000,1.770000,718400
2017-11-13,2.680000,3.100000,1.690000,1.870000,1.870000,18306800
2017-11-20,1.960000,2.240000,1.810000,1.980000,1.980000,1599400
2017-11-27,1.980000,2.330000,1.900000,1.950000,1.950000,1654500
2017-12-04,1.970000,1.990000,1.750000,1.950000,1.950000,820700
2017-12-11,1.950000,2.450000,1.870000,1.950000,1.950000,3547700
2017-12-18,2.160000,3.000000,2.100000,2.590000,2.590000,15241800
2017-12-25,2.600000,2.900000,2.200000,2.400000,2.400000,5267200
2018-01-01,2.310000,2.620000,2.280000,2.340000,2.340000,1103400
2018-01-08,2.310000,2.700000,2.310000,2.680000,2.680000,1468800
2018-01-15,2.700000,2.820000,2.450000,2.710000,2.710000,986400
2018-01-22,2.710000,2.790000,2.350000,2.400000,2.400000,1385400
2018-01-29,2.360000,2.450000,2.110000,2.320000,2.320000,883200
2018-02-05,2.340000,2.450000,1.950000,2.100000,2.100000,663500
2018-02-12,2.120000,2.260000,1.980000,2.120000,2.120000,533900
2018-02-19,2.130000,2.200000,2.080000,2.120000,2.120000,233300
2018-02-26,2.120000,2.320000,2.120000,2.150000,2.150000,435800
2018-03-05,2.140000,2.210000,2.040000,2.070000,2.070000,300000
2018-03-12,2.060000,2.130000,1.970000,2.100000,2.100000,306400
2018-03-19,2.080000,2.150000,2.030000,2.130000,2.130000,293300
2018-03-26,2.110000,2.630000,2.110000,2.160000,2.160000,2802500
2018-04-02,2.300000,2.300000,1.500000,1.700000,1.700000,1605700
2018-04-09,1.690000,1.980000,1.630000,1.700000,1.700000,601100
2018-04-16,1.700000,1.770000,1.680000,1.700000,1.700000,225900
2018-04-23,1.700000,1.750000,1.600000,1.720000,1.720000,363800
2018-04-30,1.740000,1.880000,1.670000,1.860000,1.860000,471200
2018-05-07,1.900000,1.950000,1.810000,1.950000,1.950000,423200
2018-05-14,1.900000,1.910000,1.770000,1.880000,1.880000,493300
2018-05-21,1.880000,2.020000,1.870000,1.890000,1.890000,415400
2018-05-28,1.880000,1.900000,1.810000,1.840000,1.840000,104500
2018-06-04,1.840000,1.980000,1.790000,1.820000,1.820000,232800
2018-06-11,1.820000,1.870000,1.740000,1.820000,1.820000,268700
2018-06-18,1.820000,1.860000,1.720000,1.790000,1.790000,102900
2018-06-25,1.750000,1.820000,1.650000,1.670000,1.670000,157100
2018-07-02,1.670000,1.770000,1.620000,1.690000,1.690000,79100
2018-07-09,1.700000,1.850000,1.630000,1.780000,1.780000,118100
2018-07-16,1.760000,1.850000,1.760000,1.830000,1.830000,154100
2018-07-23,1.820000,1.840000,1.730000,1.800000,1.800000,134500
2018-07-30,1.800000,1.880000,1.770000,1.850000,1.850000,144600
2018-08-06,1.840000,1.860000,1.770000,1.840000,1.840000,74800
2018-08-13,1.860000,1.980000,1.620000,1.690000,1.690000,789900
2018-08-20,1.740000,1.880000,1.630000,1.850000,1.850000,393800
2018-08-27,1.870000,1.880000,1.750000,1.780000,1.780000,119600
2018-09-03,1.770000,1.780000,1.690000,1.740000,1.740000,112600
2018-09-10,1.710000,1.760000,1.700000,1.700000,1.700000,81100
2018-09-17,1.720000,1.760000,1.680000,1.750000,1.750000,109600
2018-09-24,1.750000,1.820000,1.700000,1.740000,1.740000,89900
2018-10-01,1.710000,1.770000,1.680000,1.720000,1.720000,125600
2018-10-08,1.720000,1.740000,1.420000,1.540000,1.540000,237200
2018-10-15,1.540000,1.580000,1.400000,1.410000,1.410000,206200
2018-10-22,1.410000,1.420000,1.270000,1.350000,1.350000,154600
2018-10-29,1.310000,1.440000,1.200000,1.250000,1.250000,343900
2018-11-05,1.270000,1.310000,1.160000,1.260000,1.260000,350600
2018-11-12,1.190000,1.230000,0.820000,0.900000,0.900000,649600
2018-11-19,0.930000,1.040000,0.820000,1.040000,1.040000,175000
2018-11-26,1.040000,1.080000,0.940000,0.990000,0.990000,153600
2018-12-03,1.040000,1.050000,0.910000,0.930000,0.930000,174800
2018-12-10,0.930000,0.970000,0.770000,0.800000,0.800000,221600
2018-12-17,0.730000,0.920000,0.410000,0.460000,0.460000,798700
2018-12-24,0.430000,0.560000,0.420000,0.470000,0.470000,413800
2018-12-31,0.450000,0.650000,0.450000,0.630000,0.630000,283300
2019-01-07,0.640000,0.750000,0.630000,0.740000,0.740000,221900
2019-01-14,0.770000,0.770000,0.680000,0.720000,0.720000,116100
2019-01-21,0.730000,0.730000,0.700000,0.710000,0.710000,85700
2019-01-28,0.710000,0.730000,0.620000,0.680000,0.680000,117700
2019-02-04,0.680000,0.690000,0.650000,0.650000,0.650000,102500
2019-02-11,0.660000,0.880000,0.640000,0.810000,0.810000,325900
2019-02-18,0.820000,0.870000,0.820000,0.840000,0.840000,86100
2019-02-25,0.850000,0.850000,0.790000,0.830000,0.830000,55200
2019-03-04,0.790000,0.830000,0.790000,0.800000,0.800000,68300
2019-03-11,0.770000,0.960000,0.750000,0.910000,0.910000,428500
2019-03-18,0.910000,0.910000,0.760000,0.760000,0.760000,152400
2019-03-25,0.760000,0.990000,0.750000,0.880000,0.880000,515500
2019-04-01,0.920000,1.030000,0.880000,1.030000,1.030000,374500
2019-04-08,1.020000,1.020000,0.950000,0.980000,0.980000,102000
2019-04-15,1.020000,1.020000,0.980000,0.980000,0.980000,61900
2019-04-22,1.000000,1.000000,0.800000,0.810000,0.810000,292100
2019-04-29,0.810000,0.850000,0.740000,0.750000,0.750000,194400
2019-05-06,0.800000,0.800000,0.700000,0.700000,0.700000,99700
2019-05-13,0.700000,0.720000,0.680000,0.680000,0.680000,173200
2019-05-20,0.700000,0.710000,0.660000,0.700000,0.700000,104200
