Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.000500,0.000500,0.000400,0.000400,0.000400,810000
2017-10-16,0.000400,0.000400,0.000400,0.000400,0.000400,0
2017-10-23,0.000400,0.000400,0.000400,0.000400,0.000400,1500
2017-10-30,0.000400,0.000400,0.000400,0.000400,0.000400,3000
2017-11-06,0.000400,0.000400,0.000400,0.000400,0.000400,4192
2017-11-13,0.000400,0.000400,0.000400,0.000400,0.000400,401100
2017-11-20,0.000400,0.000490,0.000400,0.000490,0.000490,1000
2017-11-27,0.000400,0.001300,0.000400,0.001300,0.001300,1217530
2017-12-04,0.001300,0.001300,0.000400,0.000500,0.000500,327000
2017-12-11,0.000300,0.000300,0.000300,0.000300,0.000300,97742
2017-12-18,0.000300,0.000800,0.000300,0.000800,0.000800,26113
2017-12-25,0.000800,0.000800,0.000700,0.000700,0.000700,35000
2018-01-01,0.000700,0.000700,0.000300,0.000700,0.000700,76360
2018-01-08,0.000700,0.000700,0.000300,0.000300,0.000300,5830
2018-01-15,0.000300,0.000400,0.000300,0.000400,0.000400,100000
2018-01-22,0.000400,0.000400,0.000300,0.000300,0.000300,166
2018-01-29,0.000300,0.000300,0.000300,0.000300,0.000300,946990
2018-02-05,0.000300,0.000300,0.000300,0.000300,0.000300,0
2018-02-12,0.000300,0.000300,0.000300,0.000300,0.000300,20100
2018-02-19,0.000300,0.000300,0.000300,0.000300,0.000300,0
2018-02-26,0.000300,0.000700,0.000300,0.000700,0.000700,10950
2018-03-05,0.000700,0.001000,0.000300,0.000700,0.000700,102300
2018-03-12,0.000700,0.000700,0.000700,0.000700,0.000700,10000
2018-03-19,0.000400,0.000400,0.000300,0.000300,0.000300,600
2018-03-26,0.000300,0.000300,0.000300,0.000300,0.000300,107000
2018-04-02,0.000300,0.000300,0.000300,0.000300,0.000300,0
2018-04-09,0.000300,0.000300,0.000300,0.000300,0.000300,100
2018-04-16,0.000300,0.000300,0.000300,0.000300,0.000300,70650
2018-04-23,0.000300,0.000300,0.000300,0.000300,0.000300,0
2018-04-30,0.000300,0.000300,0.000300,0.000300,0.000300,400
2018-05-07,0.000300,0.001300,0.000300,0.001100,0.001100,20000
2018-05-14,0.001100,0.001100,0.001100,0.001100,0.001100,0
2018-05-21,0.001100,0.001350,0.001000,0.001000,0.001000,25300
2018-05-28,0.001000,0.001000,0.001000,0.001000,0.001000,0
2018-06-04,0.001000,0.001000,0.001000,0.001000,0.001000,0
2018-06-11,0.001000,0.001000,0.001000,0.001000,0.001000,10757
2018-06-18,0.001000,0.001000,0.001000,0.001000,0.001000,13000
2018-06-25,0.001000,0.001000,0.001000,0.001000,0.001000,0
2018-07-02,0.001200,0.001200,0.000500,0.000500,0.000500,29485
2018-07-09,0.000500,0.000500,0.000300,0.000300,0.000300,40000
2018-07-16,0.000300,0.000650,0.000300,0.000300,0.000300,90514
2018-07-23,0.000300,0.000300,0.000300,0.000300,0.000300,465177
