Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,1.050000,1.150000,1.000000,1.120000,1.055849,144200
2017-10-16,1.080000,1.140000,1.040000,1.100000,1.058158,73100
2017-10-23,1.120000,1.120000,1.000000,1.050000,1.010060,69400
2017-10-30,1.060000,1.100000,1.000000,1.010000,0.971581,121400
2017-11-06,1.050000,1.060000,1.010000,1.010000,0.971581,19900
2017-11-13,1.050000,1.050000,0.965000,1.000000,0.961962,64100
2017-11-20,1.000000,1.020000,0.950000,1.000000,0.961962,51700
2017-11-27,0.960000,1.000000,0.912000,0.970000,0.933103,61400
2017-12-04,0.950000,1.200000,0.920000,1.150000,1.106256,268500
2017-12-11,1.160000,1.170000,1.060000,1.070000,1.029299,281600
2017-12-18,1.070000,1.100000,1.020000,1.050000,1.010060,245700
2017-12-25,1.050000,1.100000,0.979000,1.100000,1.058158,93300
2018-01-01,1.090000,1.090000,1.020000,1.050000,1.010060,87300
2018-01-08,1.020000,1.090000,0.980000,1.090000,1.048538,193100
2018-01-15,1.080000,1.090000,1.020000,1.074000,1.052733,39400
2018-01-22,1.090000,1.090000,1.005000,1.060000,1.039010,30100
2018-01-29,1.020000,1.060000,0.980000,1.000000,0.980198,45500
2018-02-05,1.010000,1.040000,0.941000,0.941000,0.922366,35500
2018-02-12,0.941000,1.050000,0.930000,1.050000,1.029208,68100
2018-02-19,1.040000,1.070000,1.020000,1.050000,1.029208,128800
2018-02-26,1.030000,1.080000,1.000000,1.040000,1.019406,57600
2018-03-05,1.000000,1.050000,1.000000,1.030000,1.009604,21300
2018-03-12,1.040000,1.050000,1.000000,1.024000,1.003723,154400
2018-03-19,1.055000,1.055000,1.005000,1.050000,1.029208,155900
2018-03-26,1.060000,1.080000,1.000000,1.020000,0.999802,58100
2018-04-02,1.050000,1.050000,1.000000,1.020000,0.999802,64200
2018-04-09,1.010000,1.040000,0.980000,1.000000,0.980198,91400
2018-04-16,1.000000,1.080000,0.990000,1.030000,1.030000,26700
2018-04-23,0.990000,1.060000,0.961000,1.035000,1.035000,40200
2018-04-30,1.030000,1.080000,0.970000,1.000000,1.000000,492700
2018-05-07,1.000000,1.040000,0.995000,1.020000,1.020000,72900
2018-05-14,0.990000,1.050000,0.962000,1.010000,1.010000,399800
2018-05-21,1.010000,1.020000,0.990000,0.990000,0.990000,18200
2018-05-28,1.020000,1.030000,0.991000,1.030000,1.030000,35600
2018-06-04,1.030000,1.100000,1.030000,1.090000,1.090000,173100
2018-06-11,1.050000,1.100000,1.030000,1.090000,1.090000,85400
2018-06-18,1.060000,1.090000,1.040000,1.090000,1.090000,96000
2018-06-25,1.060000,1.095000,1.040000,1.095000,1.095000,25800
2018-07-02,1.050000,1.090000,1.045000,1.090000,1.090000,42400
2018-07-09,1.100000,1.110000,1.000000,1.095000,1.095000,700900
2018-07-16,1.110000,1.270000,1.050000,1.270000,1.270000,375700
2018-07-23,1.290000,1.310000,1.100000,1.130000,1.130000,370100
2018-07-30,1.100000,1.150000,1.060000,1.070000,1.070000,214200
2018-08-06,1.070000,1.130000,1.040000,1.110000,1.110000,198900
2018-08-13,1.120000,1.590000,1.070000,1.530000,1.530000,1236300
2018-08-20,1.530000,1.565000,1.400000,1.565000,1.565000,117100
2018-08-27,1.570000,1.650000,1.570000,1.620000,1.620000,93100
2018-09-03,1.600000,1.610000,1.500000,1.580000,1.580000,106400
2018-09-10,1.620000,1.820000,1.610000,1.810000,1.810000,258600
2018-09-17,1.840000,1.840000,1.690000,1.690000,1.690000,111600
2018-09-24,1.740000,1.810000,1.583000,1.710000,1.710000,70100
2018-10-01,1.725000,1.800000,1.650000,1.690000,1.690000,90100
2018-10-08,1.690000,1.710000,1.540000,1.570000,1.570000,51400
2018-10-15,1.605000,1.700000,1.570000,1.590000,1.590000,31900
2018-10-22,1.580000,1.580000,1.370000,1.450000,1.450000,272800
2018-10-29,1.460000,1.700000,1.438000,1.550000,1.550000,146800
2018-11-05,1.550000,1.650000,1.450000,1.500000,1.500000,24300
2018-11-12,1.530000,1.530000,1.485000,1.500000,1.500000,56600
2018-11-19,1.520000,1.520000,1.450000,1.520000,1.520000,26500
2018-11-26,1.530000,1.560000,1.450000,1.500000,1.500000,40100
2018-12-03,1.500000,1.550000,1.470000,1.550000,1.550000,12300
2018-12-10,1.480000,1.540000,1.420000,1.500000,1.500000,115800
2018-12-17,1.520000,1.530000,1.060000,1.350000,1.350000,353300
2018-12-24,1.331000,1.350000,1.215000,1.320000,1.320000,17600
2018-12-31,1.310000,1.470000,1.310000,1.360000,1.360000,34400
2019-01-07,1.360000,1.505000,1.250000,1.500000,1.500000,184500
2019-01-14,1.460000,1.510000,1.420000,1.460000,1.460000,39300
2019-01-21,1.460000,1.510000,1.400000,1.510000,1.510000,22100
2019-01-28,1.490000,1.880000,1.480000,1.770000,1.770000,150700
2019-02-04,1.755000,1.800000,1.720000,1.750000,1.750000,15800
2019-02-11,1.760000,2.060000,1.760000,1.950000,1.950000,287100
2019-02-18,1.900000,2.050000,1.890000,1.890000,1.890000,117700
2019-02-25,1.890000,2.000000,1.820000,1.840000,1.840000,85500
2019-03-04,1.920000,2.050000,1.770000,2.030000,2.030000,61700
2019-03-11,2.050000,2.050000,1.860000,1.950000,1.950000,24100
2019-03-18,2.000000,2.050000,1.965000,1.990000,1.990000,105800
2019-03-25,2.000000,2.050000,1.960000,2.000000,2.000000,33600
2019-04-01,2.000000,2.051000,1.980000,2.050000,2.050000,40100
2019-04-08,2.050000,2.130000,1.970000,2.050000,2.050000,77900
2019-04-15,1.980000,2.070000,1.980000,2.050000,2.050000,32500
2019-04-22,2.000000,2.065000,2.000000,2.010000,2.010000,54900
2019-04-29,2.020000,2.100000,1.900000,1.970000,1.970000,67900
2019-05-06,2.000000,2.090000,1.960000,2.000000,2.000000,138500
2019-05-13,2.000000,2.310000,1.960000,2.190000,2.190000,224500
2019-05-20,2.215000,2.300000,2.150000,2.200000,2.200000,123700
2019-05-27,2.200000,2.250000,2.140000,2.160000,2.160000,157500
2019-06-03,2.160000,2.190000,2.000000,2.045000,2.045000,91300
2019-06-10,2.090000,2.160000,1.980000,2.070000,2.070000,111300
2019-06-17,2.050000,2.100000,1.995000,2.100000,2.100000,136700
2019-06-24,2.010000,2.080000,1.990000,2.060000,2.060000,44400
2019-07-01,2.020000,2.100000,2.000000,2.070000,2.070000,17400
2019-07-08,2.065000,2.065000,1.980000,2.000000,2.000000,43800
2019-07-15,2.000000,2.050000,1.990000,2.040000,2.040000,75600
2019-07-22,1.990000,2.040000,1.920000,1.970000,1.970000,24800
2019-07-29,1.980000,2.050000,1.935000,1.950000,1.950000,33800
2019-08-05,1.950000,2.000000,1.870000,1.900000,1.900000,42300
2019-08-12,1.870000,1.915000,1.500000,1.520000,1.520000,203800
2019-08-19,1.520000,1.590000,1.480000,1.560000,1.560000,47000
2019-08-26,1.560000,1.790000,1.520000,1.690000,1.690000,40800
2019-09-02,1.700000,1.700000,1.650000,1.650000,1.650000,9100
2019-09-09,1.620000,1.700000,1.570000,1.700000,1.700000,7900
2019-09-16,1.670000,1.680000,1.588000,1.600000,1.600000,12200
2019-09-23,1.600000,1.625000,1.530000,1.560000,1.560000,15900
2019-09-30,1.560000,1.640000,1.560000,1.640000,1.640000,30000
2019-10-07,1.630000,1.690000,1.560000,1.580000,1.580000,21000
2019-10-10,1.600000,1.600000,1.580000,1.580000,1.580000,1323
