Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,0.003500,0.003500,0.003500,0.003500,0.003500,30000
2017-10-16,0.003500,0.003500,0.003500,0.003500,0.003500,0
2017-10-23,0.003500,0.003500,0.003460,0.003460,0.003460,1500
2017-10-30,0.003460,0.005000,0.003460,0.005000,0.005000,13510
2017-11-06,0.005000,0.005000,0.003100,0.003100,0.003100,22001
2017-11-13,0.003100,0.007400,0.003100,0.003200,0.003200,414573
2017-11-20,0.003200,0.003200,0.003200,0.003200,0.003200,0
2017-11-27,0.003400,0.004500,0.003100,0.003100,0.003100,120000
2017-12-04,0.003100,0.003100,0.003100,0.003100,0.003100,0
2017-12-11,0.003100,0.004950,0.003100,0.003680,0.003680,2046
2017-12-18,0.003680,0.005600,0.003100,0.004000,0.004000,242347
2017-12-25,0.004000,0.005000,0.004000,0.005000,0.005000,149422
2018-01-01,0.005000,0.010500,0.004550,0.005500,0.005500,1429147
2018-01-08,0.006000,0.007000,0.004300,0.005000,0.005000,214244
2018-01-15,0.005000,0.009600,0.004100,0.008800,0.008800,340000
2018-01-22,0.007700,0.007700,0.005000,0.005500,0.005500,341000
2018-01-29,0.005100,0.005100,0.004200,0.004200,0.004200,156125
2018-02-05,0.004940,0.004940,0.004940,0.004940,0.004940,2500
2018-02-12,0.004940,0.004940,0.003500,0.003500,0.003500,167499
2018-02-19,0.003500,0.004000,0.003500,0.003500,0.003500,300000
2018-02-26,0.003500,0.004800,0.003100,0.004700,0.004700,20000
2018-03-05,0.004700,0.004700,0.003100,0.003100,0.003100,1000
2018-03-12,0.003100,0.006700,0.003100,0.006000,0.006000,207676
2018-03-19,0.003100,0.005000,0.003000,0.005000,0.005000,193000
2018-03-26,0.005000,0.005000,0.003000,0.003000,0.003000,1107
2018-04-02,0.003000,0.004700,0.003000,0.004700,0.004700,15000
2018-04-09,0.004700,0.004700,0.003500,0.003500,0.003500,160000
2018-04-16,0.003500,0.003500,0.003100,0.003100,0.003100,5320
2018-04-23,0.003100,0.003100,0.003100,0.003100,0.003100,0
