Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,167.199997,175.000000,164.649994,173.750000,173.750000,648200
2017-10-16,173.899994,181.100006,171.800003,172.850006,172.850006,1248600
2017-10-23,172.250000,181.199997,165.399994,167.250000,167.250000,1309900
2017-10-30,167.250000,180.899994,167.149994,173.500000,173.500000,908800
2017-11-06,172.649994,177.750000,170.559998,176.399994,176.399994,490800
2017-11-13,168.199997,176.100006,168.050003,174.600006,174.600006,565400
2017-11-20,174.850006,179.550003,174.100006,177.699997,177.699997,317100
2017-11-27,177.949997,183.500000,174.160004,182.250000,182.250000,477200
2017-12-04,184.000000,194.300003,180.000000,194.000000,194.000000,750700
2017-12-11,193.699997,194.149994,183.580002,187.449997,187.449997,878700
2017-12-18,191.300003,193.800003,185.500000,191.300003,191.300003,1036000
2017-12-25,192.100006,197.050003,190.649994,191.100006,191.100006,497100
2018-01-01,190.000000,191.649994,185.649994,187.350006,187.350006,506600
2018-01-08,187.000000,195.000000,184.639999,190.500000,190.500000,604900
2018-01-15,191.000000,193.350006,187.699997,188.899994,188.899994,460300
2018-01-22,188.000000,192.850006,185.050003,189.649994,189.649994,634200
2018-01-29,189.649994,192.649994,184.009995,185.300003,185.300003,534400
2018-02-05,184.949997,186.149994,175.300003,181.350006,181.350006,770900
2018-02-12,182.050003,202.350006,181.550003,200.699997,200.699997,770400
2018-02-19,199.449997,199.850006,166.399994,170.050003,170.050003,1185800
2018-02-26,170.100006,172.149994,160.399994,164.550003,164.550003,818600
2018-03-05,164.000000,182.050003,163.949997,181.699997,181.699997,794100
2018-03-12,181.750000,183.300003,178.250000,180.500000,180.500000,586800
2018-03-19,180.350006,188.899994,178.449997,186.800003,186.800003,775100
2018-03-26,187.899994,192.850006,185.550003,189.050003,189.050003,554200
2018-04-02,188.449997,208.750000,185.949997,203.149994,203.149994,958000
2018-04-09,204.300003,219.229996,202.320007,212.649994,212.649994,739100
2018-04-16,220.000000,227.750000,214.250000,220.500000,220.500000,766300
2018-04-23,220.850006,237.000000,215.050003,229.300003,229.300003,1199400
2018-04-30,228.500000,231.500000,221.050003,227.050003,227.050003,702900
2018-05-07,227.250000,234.800003,225.500000,232.300003,232.300003,509800
