Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,10.000000,10.200000,8.900000,8.950000,8.950000,1628800
2017-10-16,9.100000,9.850000,8.950000,9.800000,9.800000,1577100
2017-10-23,9.750000,9.900000,9.050000,9.100000,9.100000,1495800
2017-10-30,9.050000,9.600000,7.100000,8.000000,8.000000,3498700
2017-11-06,8.050000,9.900000,7.850000,9.450000,9.450000,3051900
2017-11-13,9.200000,9.300000,7.900000,8.350000,8.350000,2391000
2017-11-20,9.000000,9.000000,7.550000,8.550000,8.550000,1773900
2017-11-27,8.550000,9.700000,8.350000,9.350000,9.350000,2509700
2017-12-04,9.550000,10.000000,8.150000,9.300000,9.300000,1967000
2017-12-11,9.350000,11.500000,8.950000,11.150000,11.150000,3024200
2017-12-18,11.200000,12.775000,10.600000,12.700000,12.700000,2649700
2017-12-25,12.700000,12.750000,12.000000,12.100000,12.100000,1037400
2018-01-01,12.100000,13.450000,12.100000,12.650000,12.650000,1485700
2018-01-08,12.550000,15.700000,12.350000,15.200000,15.200000,3215000
2018-01-15,15.350000,16.299999,14.739000,14.900000,14.900000,2478500
2018-01-22,14.900000,15.525000,13.950000,14.650000,14.650000,1779000
2018-01-29,14.600000,16.100000,14.300000,14.650000,14.650000,1578900
2018-02-05,14.500000,15.800000,13.250000,14.800000,14.800000,2147600
2018-02-12,14.900000,17.200001,14.450000,16.250000,16.250000,1104900
2018-02-19,15.850000,16.850000,15.700000,15.950000,15.950000,882500
2018-02-26,16.100000,16.799999,14.250000,16.000000,16.000000,1847000
2018-03-05,16.250000,17.750000,16.100000,17.299999,17.299999,2352500
2018-03-12,17.400000,17.549999,16.549999,17.150000,17.150000,1227900
2018-03-19,17.350000,17.350000,16.000000,16.299999,16.299999,1195500
2018-03-26,16.600000,17.450001,16.250000,17.150000,17.150000,959100
2018-04-02,16.950001,18.200001,16.700001,17.700001,17.700001,1587300
2018-04-09,17.900000,18.500000,15.925000,16.500000,16.500000,1769900
2018-04-16,16.549999,18.250000,16.299999,17.549999,17.549999,1800300
2018-04-23,17.549999,17.775000,15.625000,15.700000,15.700000,1034400
2018-04-30,15.850000,17.200001,15.350000,16.100000,16.100000,1510500
2018-05-07,16.200001,19.900000,15.400000,19.350000,19.350000,2677700
2018-05-14,19.299999,19.950001,18.549999,18.700001,18.700001,1897800
2018-05-21,19.000000,19.000000,16.299999,16.549999,16.549999,1352300
2018-05-28,16.350000,16.799999,15.810000,16.299999,16.299999,796600
