Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,2.440000,2.450000,2.320000,2.370000,2.370000,14700
2017-10-16,2.370000,2.440000,2.200000,2.290000,2.290000,9000
2017-10-23,2.300000,2.300000,2.080000,2.200000,2.200000,65800
2017-10-30,2.190000,2.290000,2.160000,2.260000,2.260000,23400
2017-11-06,2.250000,2.290000,2.150000,2.200000,2.200000,31300
2017-11-13,2.140000,2.650000,2.120000,2.500000,2.500000,217500
2017-11-20,2.500000,2.550000,2.430000,2.450000,2.450000,86300
2017-11-27,2.510000,2.510000,2.420000,2.450000,2.450000,33800
2017-12-04,2.420000,2.600000,2.410000,2.490000,2.490000,76300
2017-12-11,2.580000,2.580000,2.460000,2.550000,2.550000,48000
2017-12-18,2.550000,2.750000,2.510000,2.650000,2.650000,96000
2017-12-25,2.650000,2.900000,2.600000,2.900000,2.900000,81800
2018-01-01,2.900000,2.900000,2.680000,2.890000,2.890000,8700
2018-01-08,2.890000,3.080000,2.800000,3.080000,3.080000,88100
2018-01-15,3.090000,3.170000,3.070000,3.110000,3.110000,60400
2018-01-22,3.130000,3.310000,3.100000,3.290000,3.290000,66800
2018-01-29,3.210000,3.310000,3.050000,3.310000,3.310000,163700
2018-02-05,3.310000,3.380000,2.980000,3.210000,3.210000,312700
2018-02-12,3.150000,3.650000,3.100000,3.520000,3.520000,137700
2018-02-19,3.500000,3.680000,3.300000,3.500000,3.500000,46300
2018-02-26,3.500000,3.600000,2.900000,3.050000,3.050000,59400
2018-03-05,3.070000,3.140000,2.940000,3.100000,3.100000,15100
2018-03-12,3.100000,3.100000,3.000000,3.000000,3.000000,17700
2018-03-19,3.000000,3.300000,3.000000,3.270000,3.270000,52200
2018-03-26,3.250000,3.530000,3.250000,3.450000,3.450000,37100
2018-04-02,3.270000,3.600000,3.150000,3.350000,3.350000,175500
2018-04-09,3.390000,3.480000,3.340000,3.450000,3.450000,80200
2018-04-16,3.480000,3.500000,3.330000,3.400000,3.400000,42400
2018-04-23,3.400000,3.420000,3.250000,3.400000,3.400000,92300
2018-04-30,3.400000,3.430000,3.250000,3.260000,3.260000,24300
2018-05-07,3.340000,3.400000,3.250000,3.400000,3.400000,11700
2018-05-14,3.350000,3.400000,1.750000,2.000000,2.000000,488700
2018-05-21,2.000000,2.230000,2.000000,2.150000,2.150000,70600
2018-05-28,2.080000,2.090000,1.890000,2.000000,2.000000,27100
2018-06-04,1.950000,2.040000,1.900000,2.000000,2.000000,28000
2018-06-11,1.880000,2.070000,1.880000,2.000000,2.000000,64700
2018-06-18,1.980000,2.170000,1.980000,2.090000,2.090000,19200
2018-06-25,2.100000,2.150000,2.010000,2.150000,2.150000,19400
2018-07-02,2.110000,2.150000,2.110000,2.150000,2.150000,6000
2018-07-09,2.150000,2.170000,2.100000,2.170000,2.170000,38200
2018-07-16,2.160000,2.230000,2.150000,2.150000,2.150000,38500
2018-07-23,2.150000,2.380000,2.150000,2.300000,2.300000,39600
2018-07-30,2.250000,2.350000,2.050000,2.350000,2.350000,21800
2018-08-06,2.250000,2.360000,2.050000,2.140000,2.140000,56900
2018-08-13,2.500000,2.750000,2.320000,2.500000,2.500000,52000
2018-08-20,2.570000,2.650000,2.200000,2.550000,2.550000,33400
2018-08-27,2.550000,2.670000,2.530000,2.670000,2.670000,18400
2018-09-03,2.670000,2.670000,2.380000,2.400000,2.400000,73700
2018-09-10,2.400000,2.670000,2.310000,2.510000,2.510000,38700
2018-09-17,2.550000,2.680000,2.430000,2.640000,2.640000,102900
2018-09-24,2.600000,2.790000,2.430000,2.750000,2.750000,31500
2018-10-01,2.750000,2.890000,2.500000,2.750000,2.750000,37500
2018-10-08,2.880000,2.880000,2.580000,2.580000,2.580000,8900
2018-10-15,2.690000,2.790000,2.690000,2.750000,2.750000,12700
2018-10-22,2.740000,2.780000,2.500000,2.600000,2.600000,8700
2018-10-29,2.560000,2.560000,2.450000,2.560000,2.560000,10200
2018-11-05,2.560000,2.770000,2.560000,2.740000,2.740000,505200
2018-11-12,2.740000,2.740000,2.450000,2.510000,2.510000,13500
2018-11-19,2.500000,2.500000,2.310000,2.450000,2.450000,29200
2018-11-26,2.320000,2.550000,2.270000,2.550000,2.550000,42100
2018-12-03,2.550000,2.630000,2.300000,2.630000,2.630000,3800
2018-12-10,2.400000,2.650000,2.330000,2.550000,2.550000,17700
2018-12-17,2.450000,2.720000,2.450000,2.540000,2.540000,17400
2018-12-24,2.540000,2.540000,2.450000,2.500000,2.500000,3500
2018-12-31,2.550000,2.550000,2.360000,2.510000,2.510000,9100
2019-01-07,2.530000,2.530000,2.360000,2.500000,2.500000,16300
2019-01-14,2.650000,2.650000,2.450000,2.550000,2.550000,16300
2019-01-21,2.700000,2.720000,2.560000,2.720000,2.720000,34300
2019-01-28,2.800000,2.840000,2.620000,2.690000,2.690000,16500
2019-02-04,2.750000,2.950000,2.750000,2.950000,2.950000,8800
2019-02-11,2.950000,3.300000,2.750000,3.240000,3.240000,25400
2019-02-18,3.100000,3.250000,3.100000,3.250000,3.250000,107600
2019-02-25,3.250000,3.300000,3.060000,3.100000,3.100000,13100
2019-03-04,3.060000,3.100000,3.060000,3.060000,3.060000,15100
2019-03-11,3.150000,3.200000,3.090000,3.200000,3.200000,14800
2019-03-18,3.250000,3.290000,2.500000,2.700000,2.700000,25100
2019-03-25,2.630000,2.650000,2.500000,2.500000,2.500000,13700
2019-04-01,2.600000,2.800000,2.500000,2.510000,2.510000,4900
2019-04-08,2.500000,2.500000,2.100000,2.310000,2.310000,19900
2019-04-15,2.380000,2.380000,2.200000,2.200000,2.200000,11500
2019-04-22,2.200000,2.290000,2.200000,2.290000,2.290000,6700
2019-04-29,2.290000,2.290000,2.200000,2.200000,2.200000,4200
2019-05-06,2.210000,2.210000,2.150000,2.150000,2.150000,5000
