Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,2.800000,2.890000,2.630000,2.650000,2.650000,564600
2017-10-16,2.670000,2.910000,2.660000,2.880000,2.880000,752500
2017-10-23,2.880000,2.900000,2.530000,2.560000,2.560000,829300
2017-10-30,2.540000,2.650000,2.340000,2.350000,2.350000,1051900
2017-11-06,2.380000,2.470000,1.370000,1.400000,1.400000,3990700
2017-11-13,1.360000,1.750000,1.360000,1.640000,1.640000,5676800
2017-11-20,1.700000,1.920000,1.650000,1.720000,1.720000,2113200
2017-11-27,1.710000,1.890000,1.640000,1.790000,1.790000,1985900
2017-12-04,1.830000,1.870000,1.530000,1.560000,1.560000,2083500
2017-12-11,1.570000,1.620000,1.470000,1.490000,1.490000,2203300
2017-12-18,1.490000,1.770000,1.490000,1.750000,1.750000,1962800
2017-12-25,1.760000,1.940000,1.660000,1.780000,1.780000,2304100
2018-01-01,1.810000,1.950000,1.780000,1.880000,1.880000,791700
2018-01-08,1.900000,1.930000,1.730000,1.830000,1.830000,481600
2018-01-15,1.830000,1.850000,1.600000,1.720000,1.720000,743400
2018-01-22,1.710000,2.090000,1.630000,1.820000,1.820000,1051800
2018-01-29,1.810000,1.870000,1.520000,1.560000,1.560000,1009300
2018-02-05,1.560000,1.620000,1.510000,1.580000,1.580000,1044600
2018-02-12,1.580000,1.800000,1.580000,1.730000,1.730000,611500
2018-02-19,1.730000,2.010000,1.720000,2.010000,2.010000,1082200
2018-02-26,2.030000,2.380000,1.900000,2.290000,2.290000,1856400
2018-03-05,2.290000,2.410000,2.140000,2.300000,2.300000,831500
2018-03-12,2.310000,2.450000,2.280000,2.450000,2.450000,800200
2018-03-19,2.450000,2.490000,2.290000,2.290000,2.290000,538000
2018-03-26,2.310000,2.340000,2.080000,2.090000,2.090000,456500
2018-04-02,2.080000,2.110000,1.840000,1.870000,1.870000,638100
2018-04-09,1.870000,2.010000,1.810000,1.850000,1.850000,774500
2018-04-16,1.850000,1.950000,1.780000,1.900000,1.900000,463500
2018-04-23,1.900000,1.960000,1.870000,1.920000,1.920000,400700
2018-04-30,1.950000,2.000000,1.680000,1.810000,1.810000,476400
2018-05-07,1.810000,1.830000,1.630000,1.710000,1.710000,600500
2018-05-14,1.690000,1.920000,1.670000,1.890000,1.890000,733300
2018-05-21,1.880000,2.090000,1.840000,2.080000,2.080000,529300
2018-05-28,2.070000,2.170000,2.000000,2.020000,2.020000,500700
2018-06-04,2.030000,2.140000,1.970000,1.970000,1.970000,414400
2018-06-11,1.970000,2.040000,1.860000,1.860000,1.860000,495700
2018-06-18,1.870000,1.890000,1.740000,1.740000,1.740000,5367600
2018-06-25,1.760000,2.130000,1.760000,1.970000,1.970000,849200
2018-07-02,1.970000,2.040000,1.780000,2.010000,2.010000,604200
2018-07-09,2.010000,2.040000,1.870000,1.980000,1.980000,491100
2018-07-16,1.980000,2.200000,1.960000,2.170000,2.170000,721400
2018-07-23,2.180000,2.200000,1.990000,2.110000,2.110000,339100
