Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,4.900000,4.980000,4.750000,4.820000,4.820000,128800
2018-11-12,4.740000,4.880000,4.210000,4.530000,4.530000,91600
2018-11-19,4.460000,4.850000,4.360000,4.700000,4.700000,36400
2018-11-26,4.800000,5.050000,4.700000,4.890000,4.890000,111700
2018-12-03,4.990000,5.000000,4.140000,4.460000,4.460000,41300
2018-12-10,4.410000,4.580000,4.240000,4.240000,4.240000,19600
2018-12-17,4.200000,4.310000,3.510000,3.780000,3.780000,66000
2018-12-24,3.660000,4.200000,3.660000,4.150000,4.150000,15600
2018-12-31,3.940000,4.350000,3.850000,4.000000,4.000000,33400
2019-01-07,4.000000,4.500000,4.000000,4.500000,4.500000,6400
2019-01-14,4.400000,6.000000,3.800000,5.500000,5.500000,279000
2019-01-21,6.000000,6.000000,5.250000,5.500000,5.500000,30100
2019-01-28,5.500000,5.900000,4.990000,5.300000,5.300000,163400
2019-02-04,5.210000,5.580000,5.210000,5.500000,5.500000,42300
2019-02-11,5.500000,5.530000,5.200000,5.430000,5.430000,34800
2019-02-18,5.300000,5.310000,4.650000,5.250000,5.250000,24100
2019-02-25,5.300000,5.400000,5.200000,5.310000,5.310000,13800
2019-03-04,5.250000,5.300000,5.250000,5.250000,5.250000,8000
2019-03-11,5.470000,5.490000,5.140000,5.200000,5.200000,70700
2019-03-18,5.150000,5.250000,5.140000,5.250000,5.250000,42200
2019-03-25,5.250000,5.300000,5.200000,5.250000,5.250000,9500
2019-04-01,5.200000,5.210000,5.150000,5.200000,5.200000,14400
2019-04-08,5.250000,5.250000,5.000000,5.150000,5.150000,7200
2019-04-15,5.160000,5.160000,5.100000,5.100000,5.100000,1300
2019-04-22,5.100000,5.100000,5.100000,5.100000,5.100000,200
2019-04-29,5.100000,5.100000,5.100000,5.100000,5.100000,200
2019-05-06,4.040000,5.000000,4.040000,5.000000,5.000000,2100
2019-05-13,4.800000,5.000000,4.500000,4.500000,4.500000,500
2019-05-20,4.500000,4.500000,4.000000,4.000000,4.000000,4400
2019-05-27,3.810000,4.070000,3.810000,4.070000,4.070000,6400
2019-06-03,4.070000,4.070000,4.070000,4.070000,4.070000,100
2019-06-10,4.070000,4.070000,2.000000,2.400000,2.400000,7300
2019-06-17,2.030000,2.030000,1.500000,1.510000,1.510000,4200
2019-06-24,1.510000,2.480000,1.510000,2.130000,2.130000,2800
2019-07-01,2.020000,2.730000,1.940000,2.390000,2.390000,2400
2019-07-08,2.810000,2.810000,0.960000,1.490000,1.490000,11900
2019-07-15,1.810000,2.180000,1.550000,1.640000,1.640000,7100
2019-07-22,1.720000,2.210000,1.390000,1.480000,1.480000,44400
2019-07-29,1.480000,3.500000,1.440000,3.500000,3.500000,27200
2019-08-05,3.300000,5.560000,2.640000,4.450000,4.450000,56800
2019-08-12,4.800000,4.800000,1.860000,2.750000,2.750000,9400
2019-08-19,2.590000,3.210000,1.480000,1.800000,1.800000,33000
2019-08-26,1.710000,2.000000,1.710000,1.760000,1.760000,5200
2019-09-02,1.740000,2.260000,1.740000,1.940000,1.940000,12800
2019-09-09,1.750000,1.900000,1.710000,1.710000,1.710000,7100
2019-09-16,1.710000,1.970000,1.710000,1.970000,1.970000,900
2019-09-23,1.700000,1.920000,1.700000,1.880000,1.880000,700
2019-09-30,1.830000,1.830000,1.780000,1.780000,1.780000,1400
2019-10-07,1.780000,1.790000,1.310000,1.480000,1.480000,1400
2019-10-10,1.550000,1.560000,1.424900,1.560000,1.560000,935
