Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,1.090000,1.350000,1.070000,1.200000,1.200000,2954400
2017-10-16,1.200000,1.410000,1.000000,1.080000,1.080000,2992900
2017-10-23,1.280000,1.350000,1.080000,1.150000,1.150000,5785300
2017-10-30,1.170000,1.260000,1.050000,1.110000,1.110000,5410100
2017-11-06,1.090000,1.130000,0.800000,0.880000,0.880000,7166600
2017-11-13,0.890000,0.980000,0.810000,0.810000,0.810000,3605900
2017-11-20,0.850000,1.030000,0.820000,0.920000,0.920000,4009500
2017-11-27,1.330000,1.560000,0.860000,0.900000,0.900000,77198900
2017-12-04,0.920000,0.920000,0.540000,0.800000,0.800000,13552900
2017-12-11,0.790000,0.840000,0.660000,0.790000,0.790000,19668400
2017-12-18,0.870000,1.960000,0.860000,1.270000,1.270000,123333600
2017-12-25,1.380000,3.150000,1.350000,2.070000,2.070000,127470500
2018-01-01,2.400000,3.390000,2.130000,2.830000,2.830000,88817900
2018-01-08,2.710000,2.740000,2.210000,2.380000,2.380000,29019900
2018-01-15,2.280000,2.510000,2.210000,2.330000,2.330000,10163200
2018-01-22,2.450000,2.450000,2.100000,2.260000,2.260000,12398800
2018-01-29,2.260000,2.320000,1.800000,1.890000,1.890000,7576300
2018-02-05,1.760000,2.110000,1.540000,1.880000,1.880000,9464800
2018-02-12,1.990000,2.150000,1.840000,2.020000,2.020000,6525600
2018-02-19,2.080000,2.120000,1.840000,1.940000,1.940000,3375300
2018-02-26,1.960000,2.340000,1.930000,2.250000,2.250000,9016900
2018-03-05,2.310000,3.040000,2.230000,2.850000,2.850000,15080300
2018-03-12,2.910000,2.980000,2.720000,2.860000,2.860000,6196400
2018-03-19,2.900000,3.590000,2.830000,3.130000,3.130000,23299400
2018-03-26,3.240000,3.330000,2.400000,2.440000,2.440000,12726900
2018-04-02,2.400000,2.450000,1.950000,2.290000,2.290000,11946000
2018-04-09,2.400000,2.460000,2.250000,2.310000,2.310000,5225700
2018-04-16,2.350000,2.720000,2.270000,2.520000,2.520000,8255100
2018-04-23,2.560000,2.830000,2.470000,2.780000,2.780000,7105000
2018-04-30,2.880000,3.010000,2.750000,2.820000,2.820000,8163200
2018-05-07,2.850000,3.150000,2.220000,2.540000,2.540000,15977200
2018-05-14,2.580000,2.580000,2.320000,2.420000,2.420000,6607800
2018-05-21,2.430000,2.450000,2.330000,2.400000,2.400000,3537300
2018-05-28,2.400000,2.470000,2.350000,2.420000,2.420000,3133200
2018-06-04,2.440000,2.450000,2.110000,2.330000,2.330000,7288900
2018-06-11,2.350000,2.680000,2.320000,2.650000,2.650000,10076800
2018-06-18,2.700000,2.700000,2.420000,2.600000,2.600000,5088200
2018-06-25,2.580000,2.590000,2.310000,2.500000,2.500000,4434500
2018-07-02,2.490000,2.510000,2.360000,2.460000,2.460000,2883700
2018-07-09,2.470000,2.510000,2.350000,2.370000,2.370000,5204600
2018-07-16,2.360000,2.740000,2.280000,2.590000,2.590000,8830600
2018-07-23,2.660000,3.070000,2.600000,2.920000,2.920000,9617600
2018-07-30,2.940000,3.050000,2.810000,2.920000,2.920000,5729400
2018-08-06,3.300000,3.360000,2.520000,2.660000,2.660000,14623900
2018-08-13,2.610000,2.640000,2.370000,2.560000,2.560000,5622900
2018-08-20,2.530000,2.630000,2.460000,2.560000,2.560000,4130800
2018-08-27,2.500000,2.950000,2.500000,2.760000,2.760000,8994100
2018-09-03,2.810000,2.850000,2.610000,2.700000,2.700000,4400200
2018-09-10,2.700000,2.900000,2.620000,2.810000,2.810000,4957100
2018-09-17,2.900000,2.990000,2.750000,2.830000,2.830000,6043400
2018-09-24,3.000000,3.050000,2.860000,3.000000,3.000000,6910400
2018-10-01,3.000000,3.050000,2.630000,2.670000,2.670000,6305900
2018-10-08,2.740000,2.780000,2.500000,2.550000,2.550000,6851600
2018-10-15,2.550000,2.630000,2.450000,2.470000,2.470000,4723100
2018-10-22,2.410000,2.460000,2.160000,2.230000,2.230000,5744400
2018-10-29,2.230000,2.280000,2.050000,2.150000,2.150000,4039300
2018-11-05,2.150000,2.360000,2.050000,2.220000,2.220000,5540200
2018-11-12,2.150000,2.240000,1.810000,2.030000,2.030000,6182900
2018-11-19,2.000000,2.010000,1.730000,1.910000,1.910000,3470600
2018-11-26,1.950000,1.950000,1.660000,1.860000,1.860000,3362600
2018-12-03,1.890000,1.920000,1.640000,1.720000,1.720000,2886300
2018-12-10,1.720000,1.760000,1.550000,1.630000,1.630000,3343300
2018-12-17,1.630000,1.660000,1.450000,1.570000,1.570000,5619800
2018-12-24,1.550000,1.660000,1.450000,1.640000,1.640000,2693800
2018-12-31,1.640000,2.000000,1.600000,1.970000,1.970000,3205700
2019-01-07,2.020000,2.300000,1.990000,2.230000,2.230000,6329000
2019-01-14,2.250000,2.360000,2.200000,2.340000,2.340000,4735000
2019-01-21,2.280000,2.350000,2.120000,2.310000,2.310000,3102100
2019-01-28,2.360000,2.680000,2.350000,2.640000,2.640000,8188100
2019-02-04,2.670000,3.020000,2.650000,2.850000,2.850000,10133700
2019-02-11,2.870000,3.760000,2.780000,3.730000,3.730000,15969900
2019-02-18,3.720000,3.960000,3.350000,3.910000,3.910000,11571300
2019-02-25,3.940000,4.110000,3.470000,3.970000,3.970000,13372000
2019-03-04,3.940000,3.970000,3.530000,3.900000,3.900000,12525300
2019-03-11,3.950000,5.290000,3.900000,5.210000,5.210000,39313100
2019-03-18,5.200000,5.930000,4.390000,4.610000,4.610000,33264400
2019-03-25,4.570000,4.970000,4.300000,4.550000,4.550000,18505000
2019-04-01,4.550000,5.260000,4.460000,4.960000,4.960000,17732200
2019-04-08,4.960000,4.990000,3.920000,4.040000,4.040000,22518200
2019-04-15,3.980000,4.140000,3.740000,4.100000,4.100000,12638900
2019-04-22,4.010000,4.290000,3.830000,4.110000,4.110000,14697000
2019-04-29,4.140000,4.910000,4.120000,4.800000,4.800000,22602300
2019-05-06,4.640000,5.380000,4.120000,4.360000,4.360000,32475500
2019-05-13,4.250000,4.710000,3.920000,4.590000,4.590000,18141900
2019-05-20,4.500000,5.000000,4.410000,4.720000,4.720000,15890700
2019-05-27,4.800000,4.900000,3.890000,3.920000,3.920000,19465700
2019-06-03,3.920000,4.180000,2.020000,2.580000,2.580000,45597800
2019-06-10,2.750000,3.230000,2.600000,2.990000,2.990000,37643200
2019-06-17,3.010000,3.070000,2.500000,2.580000,2.580000,19511700
2019-06-24,2.570000,2.700000,1.990000,2.610000,2.610000,44114200
2019-07-01,2.860000,2.910000,2.400000,2.840000,2.840000,19608400
2019-07-08,2.840000,3.430000,2.810000,3.120000,3.120000,16946600
2019-07-15,3.140000,3.380000,2.860000,3.140000,3.140000,11502200
2019-07-22,3.110000,3.350000,2.960000,3.300000,3.300000,8831700
2019-07-29,3.320000,3.750000,3.110000,3.550000,3.550000,11143900
2019-08-05,3.540000,3.820000,2.750000,2.960000,2.960000,23825700
2019-08-12,3.010000,3.160000,2.700000,3.060000,3.060000,12033800
2019-08-19,3.080000,3.240000,2.740000,2.760000,2.760000,10893000
2019-08-26,2.810000,2.820000,2.070000,2.140000,2.140000,19770700
2019-09-02,2.050000,2.150000,1.700000,1.880000,1.880000,21219400
2019-09-09,1.910000,2.310000,1.810000,2.230000,2.230000,16904200
2019-09-16,2.210000,2.330000,1.510000,1.670000,1.670000,29564900
2019-09-23,1.670000,1.690000,1.100000,1.330000,1.330000,36257700
2019-09-30,1.380000,1.390000,1.160000,1.300000,1.300000,17483300
2019-10-07,1.280000,1.300000,1.160000,1.220000,1.220000,8238400
2019-10-10,1.210000,1.270000,1.200000,1.220000,1.220000,2258462
